slug,outcome_truth,pnl,cost,cash_in,rebates,fees,leftover_redeemed,n_merges,pairs_merged,n_maker_bid_up,n_maker_bid_dn,n_maker_ask_up,n_maker_ask_dn,n_pat_up,n_pat_dn,strategy
btc-updown-15m-1777255200,Down,0.5556700362133979,9.099999964237213,10.0,0.0,0.3443299995493889,0.0,1,10.0,0,0,0,0,1,1,PAT+ACC-M-t30
btc-updown-15m-1777256100,Down,2.671629057416518,77.14319992594719,82.48000001907349,0.0,2.6651710357097818,0.0,6,82.48000001907349,0,0,0,0,6,6,PAT+ACC-M-t30
btc-updown-15m-1777257000,Down,17.403207614293144,120.69240332404377,142.8000030517578,0.0,4.704392113420903,0.0,8,142.8000030517578,0,0,0,0,8,8,PAT+ACC-M-t30
btc-updown-15m-1777258800,Up,0.6579098683857918,28.30000013113022,30.0,0.0,1.0420900004839897,0.0,2,30.0,0,0,0,0,2,2,PAT+ACC-M-t30
btc-updown-15m-1777259700,Up,5.253900288438797,187.7999997138977,200.0,0.0,6.946099997663498,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t30
btc-updown-15m-1777260600,Down,3.6876603728199004,83.1999996304512,90.0,0.0,3.112339996728897,0.0,5,90.0,0,0,0,0,5,5,PAT+ACC-M-t30
btc-updown-15m-1777261500,Down,19.917942049798967,173.39999794960022,200.0,0.0,6.6820600006008135,0.0,10,200.0,0,0,0,0,10,10,PAT+ACC-M-t30
btc-updown-15m-1777262400,Down,2.244543279930628,177.98399700260163,186.71999979019165,0.0,6.491459507659396,0.0,10,186.71999979019165,0,0,0,0,10,10,PAT+ACC-M-t30
btc-updown-15m-1777263300,Up,0.051119916086196926,9.600000083446503,10.0,0.0,0.3488800004673004,0.0,1,10.0,0,0,0,0,1,1,PAT+ACC-M-t30
btc-updown-15m-1777264200,Down,0.051119916086196926,9.600000083446503,10.0,0.0,0.3488800004673004,0.0,1,10.0,0,0,0,0,1,1,PAT+ACC-M-t30
btc-updown-15m-1777265100,Down,0.051119916086196926,9.600000083446503,10.0,0.0,0.3488800004673004,0.0,1,10.0,0,0,0,0,1,1,PAT+ACC-M-t30
