wallet,feature,coef,abs_coef
0x04b6d7e9,hour_utc,1.5589785635384177,1.5589785635384177
0x04b6d7e9,vol_10m,1.221511593343666,1.221511593343666
0x04b6d7e9,weekday,1.116001126938712,1.116001126938712
0x04b6d7e9,ret_120s,-0.4045384053991622,0.4045384053991622
0x04b6d7e9,tf_5m,-0.37983118704008617,0.37983118704008617
0x04b6d7e9,tf_15m,0.379831187040086,0.379831187040086
0x04b6d7e9,vol_5m,0.3101022914662607,0.3101022914662607
0x04b6d7e9,mid_diff,0.2973416338668899,0.2973416338668899
0x04b6d7e9,ret_60s,0.22786184322765132,0.22786184322765132
0x04b6d7e9,abs_ret_60s,-0.22063811516828732,0.22063811516828732
0x04b6d7e9,depth_up,-0.17963314628346533,0.17963314628346533
0x04b6d7e9,depth_dn,-0.17963314628346533,0.17963314628346533
0x04b6d7e9,depth_tot,-0.1796331406107405,0.1796331406107405
0x04b6d7e9,abs_ret_120s,0.08894884468515951,0.08894884468515951
0x04b6d7e9,sum_bids,-0.08550027396063087,0.08550027396063087
0x04b6d7e9,sum_asks,0.08550027396063087,0.08550027396063087
0x04b6d7e9,spread_up,0.08550025726297683,0.08550025726297683
0x04b6d7e9,spread_dn,0.08550025726297683,0.08550025726297683
0x04b6d7e9,min_in_hour,-0.005773492858886749,0.005773492858886749
0x04b6d7e9,depth_imb,0.0,0.0
0x89b5cdaa,weekday,0.2674394573575361,0.2674394573575361
0x89b5cdaa,ret_120s,0.23408107644826295,0.23408107644826295
0x89b5cdaa,abs_ret_60s,0.22015292423566657,0.22015292423566657
0x89b5cdaa,vol_10m,-0.18393763174347083,0.18393763174347083
0x89b5cdaa,abs_ret_120s,-0.1570281256227896,0.1570281256227896
0x89b5cdaa,tf_15m,-0.12572948026074215,0.12572948026074215
0x89b5cdaa,tf_5m,0.12572948026074215,0.12572948026074215
0x89b5cdaa,vol_5m,0.12555339202650498,0.12555339202650498
0x89b5cdaa,min_in_hour,-0.1004630340435045,0.1004630340435045
0x89b5cdaa,spread_dn,0.04996730811619535,0.04996730811619535
0x89b5cdaa,spread_up,0.04996727059436574,0.04996727059436574
0x89b5cdaa,sum_bids,-0.04996721395642944,0.04996721395642944
0x89b5cdaa,sum_asks,0.04996721395642944,0.04996721395642944
0x89b5cdaa,mid_diff,0.04843917264466144,0.04843917264466144
0x89b5cdaa,depth_tot,0.02390203134685428,0.02390203134685428
0x89b5cdaa,depth_up,0.023902025723867237,0.023902025723867237
0x89b5cdaa,depth_dn,0.023902025723867237,0.023902025723867237
0x89b5cdaa,ret_60s,0.02184778087001706,0.02184778087001706
0x89b5cdaa,hour_utc,0.003292010739598677,0.003292010739598677
0x89b5cdaa,depth_imb,0.0,0.0
0xcfb103c3,tf_5m,1.5070501811540238,1.5070501811540238
0xcfb103c3,tf_15m,-1.5070501811540225,1.5070501811540225
0xcfb103c3,vol_10m,-0.8463729895154258,0.8463729895154258
0xcfb103c3,weekday,0.5278277077400532,0.5278277077400532
0xcfb103c3,min_in_hour,0.25406810607416225,0.25406810607416225
0xcfb103c3,depth_tot,-0.19563252451371582,0.19563252451371582
0xcfb103c3,depth_up,-0.19563251248040892,0.19563251248040892
0xcfb103c3,depth_dn,-0.19563251248040892,0.19563251248040892
0xcfb103c3,mid_diff,0.19212228845050944,0.19212228845050944
0xcfb103c3,abs_ret_60s,-0.19032929443362126,0.19032929443362126
0xcfb103c3,abs_ret_120s,0.17705054991661848,0.17705054991661848
0xcfb103c3,sum_bids,0.1546494917676556,0.1546494917676556
0xcfb103c3,sum_asks,-0.1546494917676556,0.1546494917676556
0xcfb103c3,spread_up,-0.15464934476968464,0.15464934476968464
0xcfb103c3,spread_dn,-0.1546493388617301,0.1546493388617301
0xcfb103c3,ret_120s,-0.041599386444103305,0.041599386444103305
0xcfb103c3,hour_utc,0.032898606150946974,0.032898606150946974
0xcfb103c3,ret_60s,0.026695513106507498,0.026695513106507498
0xcfb103c3,vol_5m,-0.01834852264386542,0.01834852264386542
0xcfb103c3,depth_imb,0.0,0.0
0xce25e214,weekday,-1.061037848050691,1.061037848050691
0xce25e214,vol_10m,1.0331933368663457,1.0331933368663457
0xce25e214,hour_utc,-0.6822069383986104,0.6822069383986104
0xce25e214,vol_5m,0.4914551568188479,0.4914551568188479
0xce25e214,abs_ret_60s,-0.42675513970294565,0.42675513970294565
0xce25e214,ret_120s,0.3595549671068358,0.3595549671068358
0xce25e214,tf_15m,0.30514356004370813,0.30514356004370813
0xce25e214,tf_5m,-0.30514356004370813,0.30514356004370813
0xce25e214,abs_ret_120s,0.2182582249211515,0.2182582249211515
0xce25e214,ret_60s,-0.21698432800585502,0.21698432800585502
0xce25e214,depth_up,0.15285454367616666,0.15285454367616666
0xce25e214,depth_dn,0.15285454367616666,0.15285454367616666
0xce25e214,depth_tot,0.15285453392676504,0.15285453392676504
0xce25e214,min_in_hour,-0.08181208016846753,0.08181208016846753
0xce25e214,spread_up,0.030562750474652043,0.030562750474652043
0xce25e214,sum_bids,-0.030562708977004565,0.030562708977004565
0xce25e214,sum_asks,0.030562708977004555,0.030562708977004555
0xce25e214,spread_dn,0.030562691533492142,0.030562691533492142
0xce25e214,mid_diff,0.02682197983840773,0.02682197983840773
0xce25e214,depth_imb,0.0,0.0
