slug,outcome_truth,n_events,n_l25,n_trades,span_s,accm_inv_up,accm_inv_dn,accm_cost,accm_rebates,accm_taker_fees,accm_cash_recovered,accm_leftover_redeemed_usd,accm_leftover_burned_usd,accm_pnl,accm_n_merges,accm_pairs_merged,accm_n_maker_fills_up,accm_n_maker_fills_dn,accm_n_taker_buys_up,accm_n_taker_buys_dn,accpc_inv_up,accpc_inv_dn,accpc_cost,accpc_rebates,accpc_taker_fees,accpc_cash_recovered,accpc_leftover_redeemed_usd,accpc_leftover_burned_usd,accpc_pnl,accpc_n_merges,accpc_pairs_merged,accpc_n_maker_fills_up,accpc_n_maker_fills_dn,accpc_n_taker_buys_up,accpc_n_taker_buys_dn,pnl_diff,accm_total_buys,accpc_total_buys
btc-updown-5m-1777656600,Down,12322,7430,4892,300.0,8.119999237060547,0.0,40.96000100135803,0.24361400283551193,0.0,36.88000076293945,0.0,15.000000298023224,-3.8363862355830634,6,36.88000076293945,14,12,0,0,10.459999694824218,0.0,43.93780074214935,0.26709874893007446,0.0,39.54000030517578,0.0,16.450000256299973,-4.130701688043494,7,39.54000030517578,16,13,0,0,-0.294315452460431,26,29
btc-updown-5m-1777668600,Down,8062,5016,3046,300.0,5.0,0.0,17.200000137090683,0.12371799951267237,0.0,20.0,0.0,8.500000089406967,2.923717862421988,4,20.0,7,5,0,0,0.0,0.0,21.55000016093254,0.13163499926567074,0.0,25.0,0.0,0.0,3.5816348383331302,5,25.0,7,7,0,0,0.6579169759111423,12,14
btc-updown-5m-1777680900,Down,9342,5579,3763,300.0,3.4100000143051146,0.0,22.625600268590453,0.12819920278845015,0.0,18.139999999999997,0.0,11.601000122773648,-4.357401065802005,4,18.139999999999997,8,6,0,0,0.0,1.5899999856948854,26.375600268590453,0.14132420278845015,0.0,23.139999999999997,1.5899999856948854,0.0,-3.0942760658020063,4,21.550000014305112,8,7,0,0,1.2631249999999987,14,15
btc-updown-5m-1777693500,Down,6932,3876,3056,300.0,5.0,0.0,10.049999859184027,0.05310900029873848,0.0,10.0,0.0,2.4499999545514584,0.003109141114711278,2,10.0,3,2,0,0,5.0,0.0,12.449999954551458,0.05310900029873848,0.12516000327110285,15.0,0.0,3.3499999903142452,2.477949042476177,3,15.0,3,2,1,1,2.4748399013614657,5,7
btc-updown-5m-1777706100,Down,6762,3840,2922,300.0,5.319999923706053,0.0,41.19720045633316,0.25120183135632024,0.0,40.0,0.0,13.94720021791458,-0.9459986249768377,8,40.0,15,9,0,0,10.319999923706053,0.0,42.847200521898266,0.2666788316684101,0.0,40.0,0.0,15.597200283479689,-2.5805216902298582,8,40.0,16,9,0,0,-1.6345230652530205,24,25
btc-updown-5m-1777718100,Down,5139,2988,2151,300.0,2.000000000000007,0.0,43.29000060260296,0.17636779806287264,0.0,42.0,0.0,8.870000228285791,-1.1136328045400887,8,42.0,10,9,0,0,7.000000000000007,0.0,44.140000611543655,0.18624479814548467,0.0,42.0,0.0,9.720000237226488,-1.9537558133981676,8,42.0,12,9,0,0,-0.8401230088580789,19,21
btc-updown-5m-1777730100,Up,6906,3940,2966,300.0,0.0,7.280000057220459,22.406000058472156,0.057586200715553704,0.0,20.0,0.0,3.6560000584721566,-2.3484138577566007,4,20.0,4,7,0,0,0.0,7.8600003623962404,30.933600086176394,0.07856559399153082,0.0869400002336502,30.0,0.0,5.1336001040577885,-0.9419744924185136,5,30.0,5,10,1,0,1.406439365338087,11,16
btc-updown-5m-1777742100,Up,8027,4628,3399,300.0,0.0,6.000000648498538,42.37239927134513,0.245589399244869,0.0,36.079999389648435,0.0,18.252799954557418,-6.046810482451825,6,36.079999389648435,11,10,0,0,0.0,11.000000648498538,51.77239924750328,0.29034739990910313,0.0,41.079999389648435,0.0,23.502800014162062,-10.402052457945743,7,41.079999389648435,14,12,0,0,-4.355241975493918,21,26
btc-updown-5m-1777754100,Up,7668,4505,3163,300.0,0.0,8.0,22.169999919831753,0.08202180083162777,0.0,20.0,0.0,4.870000027120113,-2.0879781190001268,3,20.0,6,6,0,0,0.0,5.0,28.969999976456165,0.09937480115373126,0.2129750014185905,33.0,0.0,6.320000059902668,3.916399823278973,6,33.0,6,8,3,0,6.0043779422791,12,17
btc-updown-5m-1777766100,Down,6542,3410,3132,300.0,2.9199998855590827,0.0,46.35080024106502,0.2706483069962585,0.0,43.13000011444092,0.0,19.017499865591525,-2.9501518196278482,7,43.13000011444092,11,14,0,0,6.350000648498536,0.0,47.18390036199689,0.27598893037645866,0.0,43.13000011444092,0.0,19.85059998652339,-3.777911317179516,7,43.13000011444092,12,14,0,0,-0.8277594975516678,25,26
