slug,engaged,prob_lr,prob_gb,wallet,rank
btc-updown-15m-1778769000,1,0.7557493793046459,0.9916217696550307,0x04b6d7e9,13
btc-updown-15m-1778769900,1,0.25708226943529605,0.9595694632997914,0x04b6d7e9,170
btc-updown-15m-1778770800,1,0.7074424159895114,0.9894998816973828,0x04b6d7e9,17
btc-updown-15m-1778771700,1,0.5061882221215962,0.9919374399168204,0x04b6d7e9,11
btc-updown-15m-1778772600,1,0.37580272249094515,0.9882745644915721,0x04b6d7e9,21
btc-updown-15m-1778773500,1,0.4209560618321794,0.9924726775813352,0x04b6d7e9,1
btc-updown-15m-1778774400,1,0.23021309440192267,0.8873208832768086,0x04b6d7e9,209
btc-updown-15m-1778775300,1,0.25471917717641257,0.9817952619226975,0x04b6d7e9,78
btc-updown-15m-1778776200,1,0.3286482499417432,0.9574165147265612,0x04b6d7e9,173
btc-updown-15m-1778777100,1,0.29407250291850245,0.9688524877574335,0x04b6d7e9,148
btc-updown-15m-1778778000,1,0.791463394315726,0.9919636621332469,0x04b6d7e9,9
btc-updown-15m-1778778900,1,0.9465382024145605,0.9843862506034127,0x04b6d7e9,58
btc-updown-15m-1778779800,1,0.5606634776198448,0.9833474878200952,0x04b6d7e9,68
btc-updown-15m-1778780700,1,0.8435040666836277,0.9639897204638779,0x04b6d7e9,162
btc-updown-15m-1778781600,1,0.70429425258956,0.9911653561442708,0x04b6d7e9,14
btc-updown-15m-1778782500,1,0.16848249466479315,0.9839862336226181,0x04b6d7e9,62
btc-updown-15m-1778783400,1,0.2279740192957097,0.9648462773731425,0x04b6d7e9,158
btc-updown-15m-1778784300,1,0.2746540438251144,0.9736614976317224,0x04b6d7e9,123
btc-updown-15m-1778785200,1,0.4756439574584525,0.9829236036607281,0x04b6d7e9,72
btc-updown-15m-1778786100,1,0.8815901685962358,0.9919636621332469,0x04b6d7e9,8
btc-updown-15m-1778787000,1,0.25064572113104727,0.9662521812489203,0x04b6d7e9,154
btc-updown-15m-1778787900,1,0.5059840087433938,0.9608754368971163,0x04b6d7e9,168
btc-updown-15m-1778788800,0,0.39815746335171276,0.009583456877803544,0x04b6d7e9,380
btc-updown-15m-1778789700,0,0.5457970329208907,0.029421627382044777,0x04b6d7e9,282
btc-updown-15m-1778790600,0,0.8209559409983649,0.08230647927399207,0x04b6d7e9,255
btc-updown-15m-1778791500,0,0.23915340435461452,0.024674249499288328,0x04b6d7e9,294
btc-updown-15m-1778792400,0,0.1551235899915745,0.014590634193459818,0x04b6d7e9,345
btc-updown-15m-1778793300,0,0.2740327795155919,0.02459694716343517,0x04b6d7e9,295
btc-updown-15m-1778794200,0,0.6038203480636336,0.01209363448236627,0x04b6d7e9,362
btc-updown-15m-1778795100,0,0.5353357099244407,0.024882798659552004,0x04b6d7e9,293
btc-updown-15m-1778796000,0,0.24348425868132567,0.011952702264553455,0x04b6d7e9,364
btc-updown-15m-1778796900,0,0.22968609037962934,0.013877645110975166,0x04b6d7e9,349
btc-updown-15m-1778797800,0,0.39119728308540025,0.029421627382044777,0x04b6d7e9,281
btc-updown-15m-1778798700,0,0.1488089054333106,0.013277043877434076,0x04b6d7e9,353
btc-updown-15m-1778799600,0,0.2599398980619669,0.014045366496344532,0x04b6d7e9,348
btc-updown-15m-1778800500,0,0.15802369098519695,0.012943346827126992,0x04b6d7e9,356
btc-updown-15m-1778801400,0,0.3190765893855757,0.020291895673292086,0x04b6d7e9,311
btc-updown-15m-1778802300,0,0.8789272982632083,0.03167471884204647,0x04b6d7e9,276
btc-updown-15m-1778806800,0,0.40312312429700126,0.007925193319114824,0x04b6d7e9,387
btc-updown-15m-1778807700,0,0.06121528839540802,0.027131982610819276,0x04b6d7e9,289
btc-updown-15m-1778808600,0,0.05768160457286593,0.03005216621109126,0x04b6d7e9,279
