wallet,tf,bucket_start_s,bucket_end_s,n_buys,n_sells,n_maker,n_taker,n_total,frac_of_total
0xeebde7a0,5m,240,270,3078,2769,2769,3078,5847,0.09157543579382606
0xeebde7a0,5m,270,300,1599,1582,1582,1599,3181,0.049820670644802584
0xeebde7a0,15m,0,30,738,770,770,738,1508,0.04542031866510045
0xeebde7a0,15m,30,60,575,650,650,575,1225,0.036896479021716215
0xeebde7a0,15m,60,90,637,746,746,637,1383,0.04165537182614981
0xeebde7a0,15m,90,120,630,743,743,630,1373,0.041354176079033765
0xeebde7a0,15m,120,150,680,823,823,680,1503,0.04526972079154242
0xeebde7a0,15m,150,180,572,644,644,572,1216,0.03662540284931177
0xeebde7a0,15m,180,210,566,702,702,566,1268,0.03819162073431523
0xeebde7a0,15m,210,240,557,647,647,557,1204,0.03626396795277251
0xeebde7a0,15m,240,270,568,692,692,568,1260,0.03795066413662239
0xeebde7a0,15m,270,300,653,776,776,653,1429,0.043040872262883646
0xeebde7a0,15m,300,330,560,727,727,560,1287,0.03876389265383573
0xeebde7a0,15m,330,360,493,607,607,493,1100,0.03313153218276558
0xeebde7a0,15m,360,390,436,655,655,436,1091,0.03286045601036113
0xeebde7a0,15m,390,420,511,663,663,511,1174,0.035360380711424354
0xeebde7a0,15m,420,450,550,725,725,550,1275,0.03840245775729647
0xeebde7a0,15m,450,480,478,512,512,478,990,0.029818378964489023
0xeebde7a0,15m,480,510,586,605,605,586,1191,0.03587241348152164
0xeebde7a0,15m,510,540,439,555,555,439,994,0.029938857263335443
0xeebde7a0,15m,540,570,558,660,660,558,1218,0.036685641998734975
0xeebde7a0,15m,570,600,681,679,679,681,1360,0.0409626216077829
0xeebde7a0,15m,600,630,495,580,580,495,1075,0.03237854281497545
0xeebde7a0,15m,630,660,426,495,495,426,921,0.02774012830938827
0xeebde7a0,15m,660,690,452,444,444,452,896,0.026987138941598144
0xeebde7a0,15m,690,720,365,511,511,365,876,0.026384747447366044
0xeebde7a0,15m,720,750,405,437,437,405,842,0.02536068190717147
0xeebde7a0,15m,750,780,339,405,405,339,744,0.022408963585434174
0xeebde7a0,15m,780,810,442,432,432,442,874,0.026324508297942834
0xeebde7a0,15m,810,840,351,323,323,351,674,0.02030059335562182
0xeebde7a0,15m,840,870,395,357,357,395,752,0.022649920183127014
0xeebde7a0,15m,870,900,278,220,220,278,498,0.014999548206379327
0x89b5cdaa,5m,0,30,0,1659,1659,0,1659,0.093170841289453
0x89b5cdaa,5m,30,60,0,2300,2300,0,2300,0.12916994271593846
0x89b5cdaa,5m,60,90,0,2434,2434,0,2434,0.13669549590025834
0x89b5cdaa,5m,90,120,0,1942,1942,0,1942,0.10906436032797934
0x89b5cdaa,5m,120,150,0,2028,2028,0,2028,0.11389419296866225
0x89b5cdaa,5m,150,180,0,2000,2000,0,2000,0.11232168931820735
0x89b5cdaa,5m,180,210,0,1942,1942,0,1942,0.10906436032797934
0x89b5cdaa,5m,210,240,0,1408,1408,0,1408,0.07907446928001798
0x89b5cdaa,5m,240,270,0,1535,1535,0,1535,0.08620689655172414
0x89b5cdaa,5m,270,300,0,558,558,0,558,0.03133775131977985
0x89b5cdaa,15m,0,30,0,63,63,0,63,0.013837030529321327
0x89b5cdaa,15m,30,60,0,82,82,0,82,0.018010103228640457
0x89b5cdaa,15m,60,90,0,77,77,0,77,0.016911926202503844
0x89b5cdaa,15m,90,120,0,103,103,0,103,0.022622446738414233
0x89b5cdaa,15m,120,150,0,106,106,0,106,0.0232813529540962
0x89b5cdaa,15m,150,180,0,163,163,0,163,0.035800571052053594
0x89b5cdaa,15m,180,210,0,187,187,0,187,0.04107182077750934
0x89b5cdaa,15m,210,240,0,195,195,0,195,0.042828904019327915
0x89b5cdaa,15m,240,270,0,162,162,0,162,0.03558093564682627
0x89b5cdaa,15m,270,300,0,160,160,0,160,0.03514166483637162
0x89b5cdaa,15m,300,330,0,151,151,0,151,0.03316494618932572
0x89b5cdaa,15m,330,360,0,180,180,0,180,0.03953437294091808
0x89b5cdaa,15m,360,390,0,156,156,0,156,0.034263123215462335
0x89b5cdaa,15m,390,420,0,157,157,0,157,0.034482758620689655
0x89b5cdaa,15m,420,450,0,226,226,0,226,0.04963760158137492
0x89b5cdaa,15m,450,480,0,149,149,0,149,0.032725675378871076
0x89b5cdaa,15m,480,510,0,145,145,0,145,0.03184713375796178
0x89b5cdaa,15m,510,540,0,174,174,0,174,0.03821656050955414
0x89b5cdaa,15m,540,570,0,184,184,0,184,0.040412914561827364
0x89b5cdaa,15m,570,600,0,170,170,0,170,0.03733801888864485
0x89b5cdaa,15m,600,630,0,167,167,0,167,0.03667911267296288
0x89b5cdaa,15m,630,660,0,201,201,0,201,0.044146716450691854
0x89b5cdaa,15m,660,690,0,130,130,0,130,0.028552602679551942
0x89b5cdaa,15m,690,720,0,153,153,0,153,0.03360421699978036
0x89b5cdaa,15m,720,750,0,200,200,0,200,0.04392708104546453
0x89b5cdaa,15m,750,780,0,176,176,0,176,0.038655831320008785
0x89b5cdaa,15m,780,810,0,121,121,0,121,0.02657588403250604
0x89b5cdaa,15m,810,840,0,97,97,0,97,0.021304634307050298
0x89b5cdaa,15m,840,870,0,214,214,0,214,0.047001976718647046
0x89b5cdaa,15m,870,900,0,104,104,0,104,0.022842082143641557
0xcfb103c3,5m,0,30,7919,827,827,7919,8746,0.18596245029873912
