slug,outcome_truth,slot_start_s,tf,ACC-M-sz5.n_maker_bid_up,ACC-M-sz5.n_maker_bid_dn,ACC-M-sz5.n_maker_ask_up,ACC-M-sz5.n_maker_ask_dn,ACC-M-sz5.n_taker_up,ACC-M-sz5.n_taker_dn,ACC-M-sz5.inv_up,ACC-M-sz5.inv_dn,ACC-M-sz5.cost_paid,ACC-M-sz5.cash_received,ACC-M-sz5.rebates,ACC-M-sz5.taker_fees,ACC-M-sz5.leftover_redeemed,ACC-M-sz5.leftover_burned_cost,ACC-M-sz5.n_merges,ACC-M-sz5.pairs_merged,ACC-M-sz5.pnl,ACC-M-sz10.n_maker_bid_up,ACC-M-sz10.n_maker_bid_dn,ACC-M-sz10.n_maker_ask_up,ACC-M-sz10.n_maker_ask_dn,ACC-M-sz10.n_taker_up,ACC-M-sz10.n_taker_dn,ACC-M-sz10.inv_up,ACC-M-sz10.inv_dn,ACC-M-sz10.cost_paid,ACC-M-sz10.cash_received,ACC-M-sz10.rebates,ACC-M-sz10.taker_fees,ACC-M-sz10.leftover_redeemed,ACC-M-sz10.leftover_burned_cost,ACC-M-sz10.n_merges,ACC-M-sz10.pairs_merged,ACC-M-sz10.pnl,ACC-M-sz20.n_maker_bid_up,ACC-M-sz20.n_maker_bid_dn,ACC-M-sz20.n_maker_ask_up,ACC-M-sz20.n_maker_ask_dn,ACC-M-sz20.n_taker_up,ACC-M-sz20.n_taker_dn,ACC-M-sz20.inv_up,ACC-M-sz20.inv_dn,ACC-M-sz20.cost_paid,ACC-M-sz20.cash_received,ACC-M-sz20.rebates,ACC-M-sz20.taker_fees,ACC-M-sz20.leftover_redeemed,ACC-M-sz20.leftover_burned_cost,ACC-M-sz20.n_merges,ACC-M-sz20.pairs_merged,ACC-M-sz20.pnl,ACC-M-sz50.n_maker_bid_up,ACC-M-sz50.n_maker_bid_dn,ACC-M-sz50.n_maker_ask_up,ACC-M-sz50.n_maker_ask_dn,ACC-M-sz50.n_taker_up,ACC-M-sz50.n_taker_dn,ACC-M-sz50.inv_up,ACC-M-sz50.inv_dn,ACC-M-sz50.cost_paid,ACC-M-sz50.cash_received,ACC-M-sz50.rebates,ACC-M-sz50.taker_fees,ACC-M-sz50.leftover_redeemed,ACC-M-sz50.leftover_burned_cost,ACC-M-sz50.n_merges,ACC-M-sz50.pairs_merged,ACC-M-sz50.pnl,ACC-M-sz5-imb10.n_maker_bid_up,ACC-M-sz5-imb10.n_maker_bid_dn,ACC-M-sz5-imb10.n_maker_ask_up,ACC-M-sz5-imb10.n_maker_ask_dn,ACC-M-sz5-imb10.n_taker_up,ACC-M-sz5-imb10.n_taker_dn,ACC-M-sz5-imb10.inv_up,ACC-M-sz5-imb10.inv_dn,ACC-M-sz5-imb10.cost_paid,ACC-M-sz5-imb10.cash_received,ACC-M-sz5-imb10.rebates,ACC-M-sz5-imb10.taker_fees,ACC-M-sz5-imb10.leftover_redeemed,ACC-M-sz5-imb10.leftover_burned_cost,ACC-M-sz5-imb10.n_merges,ACC-M-sz5-imb10.pairs_merged,ACC-M-sz5-imb10.pnl,ACC-M-sz10-imb10.n_maker_bid_up,ACC-M-sz10-imb10.n_maker_bid_dn,ACC-M-sz10-imb10.n_maker_ask_up,ACC-M-sz10-imb10.n_maker_ask_dn,ACC-M-sz10-imb10.n_taker_up,ACC-M-sz10-imb10.n_taker_dn,ACC-M-sz10-imb10.inv_up,ACC-M-sz10-imb10.inv_dn,ACC-M-sz10-imb10.cost_paid,ACC-M-sz10-imb10.cash_received,ACC-M-sz10-imb10.rebates,ACC-M-sz10-imb10.taker_fees,ACC-M-sz10-imb10.leftover_redeemed,ACC-M-sz10-imb10.leftover_burned_cost,ACC-M-sz10-imb10.n_merges,ACC-M-sz10-imb10.pairs_merged,ACC-M-sz10-imb10.pnl,ACC-M-sz20-imb10.n_maker_bid_up,ACC-M-sz20-imb10.n_maker_bid_dn,ACC-M-sz20-imb10.n_maker_ask_up,ACC-M-sz20-imb10.n_maker_ask_dn,ACC-M-sz20-imb10.n_taker_up,ACC-M-sz20-imb10.n_taker_dn,ACC-M-sz20-imb10.inv_up,ACC-M-sz20-imb10.inv_dn,ACC-M-sz20-imb10.cost_paid,ACC-M-sz20-imb10.cash_received,ACC-M-sz20-imb10.rebates,ACC-M-sz20-imb10.taker_fees,ACC-M-sz20-imb10.leftover_redeemed,ACC-M-sz20-imb10.leftover_burned_cost,ACC-M-sz20-imb10.n_merges,ACC-M-sz20-imb10.pairs_merged,ACC-M-sz20-imb10.pnl,MAS-pre30.n_maker_bid_up,MAS-pre30.n_maker_bid_dn,MAS-pre30.n_maker_ask_up,MAS-pre30.n_maker_ask_dn,MAS-pre30.n_taker_up,MAS-pre30.n_taker_dn,MAS-pre30.inv_up,MAS-pre30.inv_dn,MAS-pre30.cost_paid,MAS-pre30.cash_received,MAS-pre30.rebates,MAS-pre30.taker_fees,MAS-pre30.leftover_redeemed,MAS-pre30.leftover_burned_cost,MAS-pre30.n_merges,MAS-pre30.pairs_merged,MAS-pre30.pnl,MAS-pre100.n_maker_bid_up,MAS-pre100.n_maker_bid_dn,MAS-pre100.n_maker_ask_up,MAS-pre100.n_maker_ask_dn,MAS-pre100.n_taker_up,MAS-pre100.n_taker_dn,MAS-pre100.inv_up,MAS-pre100.inv_dn,MAS-pre100.cost_paid,MAS-pre100.cash_received,MAS-pre100.rebates,MAS-pre100.taker_fees,MAS-pre100.leftover_redeemed,MAS-pre100.leftover_burned_cost,MAS-pre100.n_merges,MAS-pre100.pairs_merged,MAS-pre100.pnl,MAS-pre200.n_maker_bid_up,MAS-pre200.n_maker_bid_dn,MAS-pre200.n_maker_ask_up,MAS-pre200.n_maker_ask_dn,MAS-pre200.n_taker_up,MAS-pre200.n_taker_dn,MAS-pre200.inv_up,MAS-pre200.inv_dn,MAS-pre200.cost_paid,MAS-pre200.cash_received,MAS-pre200.rebates,MAS-pre200.taker_fees,MAS-pre200.leftover_redeemed,MAS-pre200.leftover_burned_cost,MAS-pre200.n_merges,MAS-pre200.pairs_merged,MAS-pre200.pnl,MAS-pre100-tight.n_maker_bid_up,MAS-pre100-tight.n_maker_bid_dn,MAS-pre100-tight.n_maker_ask_up,MAS-pre100-tight.n_maker_ask_dn,MAS-pre100-tight.n_taker_up,MAS-pre100-tight.n_taker_dn,MAS-pre100-tight.inv_up,MAS-pre100-tight.inv_dn,MAS-pre100-tight.cost_paid,MAS-pre100-tight.cash_received,MAS-pre100-tight.rebates,MAS-pre100-tight.taker_fees,MAS-pre100-tight.leftover_redeemed,MAS-pre100-tight.leftover_burned_cost,MAS-pre100-tight.n_merges,MAS-pre100-tight.pairs_merged,MAS-pre100-tight.pnl
btc-updown-15m-1778769000,Up,1778769000,15m,2,1,0,0,0,0,9.8,0.0,4.859999793767929,10.0,0.035181999969959195,0.0,9.8,0.0,1,0.20000000000000018,5.17518220620203,1,1,0,0,0,0,9.8,0.0,4.309999871253967,10.0,0.03479699970293043,0.0,9.8,0.0,1,0.20000000000000018,5.724797128448963,1,1,0,0,0,0,14.399998931884763,0.0,6.24199936232568,14.599998931884762,0.05048483592511367,0.0,14.399998931884763,0.0,1,0.20000000000000018,8.408484405484195,1,1,0,0,0,0,14.399998931884763,0.0,6.24199936232568,14.599998931884762,0.05048483592511367,0.0,14.399998931884763,0.0,1,0.20000000000000018,8.408484405484195,4,1,0,0,0,0,14.8,0.0,7.309999841451645,15.0,0.05267499998331063,0.0,14.8,0.0,1,0.20000000000000018,7.742675158531665,2,1,0,0,0,0,19.8,0.0,9.609999585151673,20.0,0.06967099994325625,0.0,19.8,0.0,1,0.20000000000000018,10.459671414791583,1,1,0,0,0,0,14.399998931884763,0.0,6.24199936232568,14.599998931884762,0.05048483592511367,0.0,14.399998931884763,0.0,1,0.20000000000000018,8.408484405484195,0,0,7,8,0,0,1.5799999237060547,4.997703441406246,30.0,28.87279351417117,0.18616787393122924,0.0,1.5799999237060547,2.498851720703123,0,0.0,-0.9410386118976,0,0,27,31,0,0,1.5799999237060547,4.997703441406259,100.0,98.57279260818056,0.673815873952925,0.0,1.5799999237060547,2.4988517207031293,0,0.0,-0.7533915178665183,0,0,42,40,0,0,56.57999992370607,76.33103844140629,200.0,190.37612495731793,0.9269494014972044,0.0,56.57999992370607,38.165519220703146,0,0.0,-8.696925641184862,0,0,23,16,0,0,16.579999923706055,46.333335000000005,100.0,84.77493206415564,0.4760573758954755,0.0,16.579999923706055,23.166667500000003,0,0.0,-14.749010559948886
btc-updown-15m-1778769900,Up,1778769900,15m,4,6,0,0,0,0,0.0,0.8000000000000025,12.562000197172164,15.0,0.0775574788015079,0.0,0.0,0.40000000000000124,3,15.0,2.5155572816293432,3,4,0,0,0,0,0.0,0.0,18.90000030398369,20.0,0.09834999728798857,0.0,0.0,0.0,2,20.0,1.1983496933043014,3,3,0,0,0,0,12.0,0.0,30.880000591278076,32.0,0.12959519427757243,0.0,12.0,0.0,3,20.0,1.249594602999494,3,3,0,0,0,0,1.7000001716613795,0.0,59.907001407194144,51.70000017166138,0.25008520906392817,0.0,1.7000001716613795,0.0,3,50.0,-7.956916026468839,5,6,0,0,0,0,4.1999999999999975,0.0,14.712000232934951,20.0,0.09471447887160298,0.0,4.1999999999999975,0.0,4,15.800000000000002,5.382714245936651,5,7,0,0,0,0,0.0,0.8000000000000025,25.012000393867492,30.0,0.1537664775982093,0.0,0.0,0.40000000000000124,3,30.0,5.141766083730719,3,6,0,0,0,0,0.0,8.0,34.28000062704086,32.0,0.16910319460802062,0.0,0.0,10.800000131130219,3,32.0,-2.110897432432843,0,0,8,9,0,0,0.0,0.0,30.0,29.549999684095383,0.2074729996461867,0.0,0.0,0.0,0,0.0,-0.24252731625843182,0,0,29,26,0,0,0.0,0.0,100.0,98.99999879300594,0.6756960009195799,0.0,0.0,0.0,0,0.0,-0.3243052060744702,0,0,50,30,0,0,4.999999999999986,85.0,200.0,177.39999864250422,0.9298380030090798,0.0,4.999999999999986,42.5,0,0.0,-21.670163354486704,0,0,24,13,0,0,0.0,49.947448686645515,100.0,84.77469980266739,0.4409662639837717,0.0,0.0,24.973724343322758,0,0.0,-14.784333933348847
btc-updown-15m-1778770800,Up,1778770800,15m,3,5,0,0,0,0,0.0,1.7999998855590817,16.080899941372873,15.0,0.10065897872949589,0.0,0.0,0.8999999427795409,3,15.0,-0.9802409626433768,2,6,0,0,0,0,0.0,3.339999885559082,22.33549962823391,20.0,0.13529282427903733,0.0,0.0,1.669999942779541,3,20.0,-2.200206803954874,3,6,0,0,0,0,11.660000114440919,0.0,37.635499193120005,40.0,0.211676826622215,0.0,11.660000114440919,0.0,3,28.33999988555908,2.576177633502212,3,6,0,0,0,0,21.66000011444092,0.0,45.935499026227,50.0,0.2344548284046323,0.0,21.66000011444092,0.0,3,28.33999988555908,4.29895580217763,3,4,0,0,0,0,0.0,1.4499998474121085,15.865499931669238,15.0,0.09896537066458119,0.0,0.0,0.7249999237060543,3,15.0,-0.7665345610046561,3,6,0,0,0,0,3.4499997329711922,0.0,26.40949956123828,26.789999618530274,0.1581072225440176,0.0,3.4499997329711922,0.0,3,23.33999988555908,0.5386072798360111,3,6,0,0,0,0,11.660000114440919,0.0,37.635499193120005,40.0,0.211676826622215,0.0,11.660000114440919,0.0,3,28.33999988555908,2.576177633502212,0,0,6,7,0,0,0.0,0.0,30.0,30.349999368190765,0.2086630003387926,0.0,0.0,0.0,0,0.0,0.5586623685295571,0,0,28,24,0,0,0.0,0.11999999999999744,100.0,100.0995983684063,0.6652837548123336,0.0,0.0,0.05999999999999872,0,0.0,0.7648821232186407,0,0,49,49,0,0,0.0,0.12000000000000455,200.0,203.5995977127552,1.306805755282972,0.0,0.0,0.060000000000002274,0,0.0,4.906403468038178,0,0,28,23,0,0,0.4651739427795363,0.0,100.0,97.40467696882783,0.639931332949756,0.0,0.4651739427795363,0.0,0,0.0,-1.9553916982224138
btc-updown-15m-1778771700,Up,1778771700,15m,2,5,0,0,0,0,0.0,0.9000000953674316,9.634999870657921,9.099999904632568,0.06196049944674963,0.0,0.0,0.4500000476837158,2,9.099999904632568,-0.4730394665786033,4,5,0,0,0,0,0.0,1.5500003051757822,18.91099977221489,18.449999694824218,0.12263747885134876,0.0,0.0,0.7750001525878911,2,18.449999694824218,-0.33836259853932305,4,7,0,0,0,0,0.0,10.89000026702881,31.135799697208405,25.099999732971188,0.19359401475098584,0.0,0.0,5.445000133514405,3,25.099999732971188,-5.842205949486232,4,9,0,0,0,0,0.0,37.169999504089354,46.64099855785371,25.099999732971188,0.2825938619040503,0.0,0.0,38.26849866259099,3,25.099999732971188,-21.258404962978474,2,5,0,0,0,0,0.0,0.9000000953674316,9.634999870657921,9.099999904632568,0.06196049944674963,0.0,0.0,0.4500000476837158,2,9.099999904632568,-0.4730394665786033,2,5,0,0,0,0,0.0,7.450000400543214,17.245999690556527,12.549999599456786,0.1057499783181256,0.0,0.0,12.599999904632568,2,12.549999599456786,-4.590250112781614,2,7,0,0,0,0,0.0,23.440000400543212,27.409299587869643,12.549999599456786,0.15679242401918003,0.0,0.0,22.763299801945685,2,12.549999599456786,-14.702507564393677,0,0,7,6,0,0,0.0,0.0,30.0,29.049999117851257,0.20645100013518308,0.0,0.0,0.0,0,0.0,-0.7435498820135606,0,0,24,18,0,0,13.200000553131105,29.298895847412112,100.0,88.5816952449074,0.5172219805985883,0.0,13.200000553131105,14.649447923706056,0,0.0,-10.901082774494014,0,0,24,18,0,0,113.2000005531311,129.2988958474121,200.0,188.5816952449074,0.5172219805985883,0.0,113.2000005531311,200.0,0,0.0,-10.901082774494029,0,0,14,13,0,0,55.0,45.0,100.0,106.40000075101852,0.32240599901699996,0.0,55.0,22.5,0,0.0,6.722406750035518
btc-updown-15m-1778772600,Up,1778772600,15m,5,1,0,0,0,0,7.140000343322754,0.0,7.970200294065478,12.140000343322754,0.05728819682422445,0.0,7.140000343322754,0.0,1,5.0,4.2270882460815,5,1,0,0,0,0,7.140000343322754,0.0,12.270200365591052,17.140000343322754,0.08990819652381701,0.0,7.140000343322754,0.0,2,10.0,4.959708174255518,5,1,0,0,0,0,8.140000343322754,0.0,20.330200487184527,27.140000343322754,0.15167059594703472,0.0,8.140000343322754,0.0,2,19.0,6.961470452085262,6,1,0,0,0,0,18.670000495910642,0.0,23.699800460696224,37.67000049591064,0.18374918803228368,0.0,18.670000495910642,0.0,2,19.0,14.153949223246698,6,1,0,0,0,0,12.140000343322754,0.0,10.670200401353839,17.140000343322754,0.07467619670406145,0.0,12.140000343322754,0.0,1,5.0,6.544476138672977,6,1,0,0,0,0,17.140000343322754,0.0,17.670200580167773,27.140000343322754,0.124684196283491,0.0,17.140000343322754,0.0,1,10.0,9.59448395943847,6,1,0,0,0,0,28.140000343322754,0.0,31.13020091633797,47.140000343322754,0.22122259546638273,0.0,28.140000343322754,0.0,1,19.0,16.231022022451164,0,0,11,7,0,0,1.9533735585937668,0.0,30.0,31.868085616504608,0.2013188048980038,0.0,1.9533735585937668,0.0,0,0.0,2.0694044214026093,0,0,28,27,0,0,1.9533735585937677,4.000000000000001,100.0,102.14808463422006,0.6665752060302055,0.0,1.9533735585937677,2.0000000000000004,0,0.0,2.8146598402502576,0,0,35,47,0,0,71.9533735585938,39.0,200.0,220.44808424380966,0.9697172054285561,0.0,71.9533735585938,19.5,0,0.0,21.417801449238226,0,0,13,30,0,0,55.0,5.0000000000000036,100.0,133.84999975562096,0.46246899989819495,0.0,55.0,2.5000000000000018,0,0.0,34.31246875551915
btc-updown-15m-1778773500,Up,1778773500,15m,4,4,0,0,0,0,3.3299999237060547,0.0,11.198599966013433,13.329999923706055,0.08055863182891462,0.0,3.3299999237060547,0.0,2,10.0,2.2119585895215366,3,6,0,0,0,0,0.0,0.0,19.600000083446503,20.0,0.13840400037384032,0.0,0.0,0.0,2,20.0,0.5384039169273365,2,8,0,0,0,0,0.0,10.839999580383303,23.220000100135806,20.0,0.17611999899864195,0.0,0.0,14.619999957084657,3,20.0,-3.0438801011371623,7,8,0,0,0,0,14.360000419616703,0.0,38.32800035476684,50.00000000000001,0.2957544794640732,0.0,14.360000419616703,0.0,6,35.639999580383304,11.967754124697237,4,4,0,0,0,0,3.3299999237060547,0.0,11.198599966013433,13.329999923706055,0.08055863182891462,0.0,3.3299999237060547,0.0,2,10.0,2.2119585895215366,4,6,0,0,0,0,3.329999923706054,0.0,20.998600007736684,23.329999923706055,0.14976063201583478,0.0,3.329999923706054,0.0,3,20.0,2.481160547985205,3,8,0,0,0,0,0.0,0.8399995803833029,28.920000028610232,30.0,0.2104339991388321,0.0,0.0,0.41999979019165146,4,30.0,1.2904339705285999,0,0,9,6,0,0,0.0,0.0,30.0,29.94999960064888,0.20881700046229348,0.0,0.0,0.0,0,0.0,0.15881660111117313,0,0,29,18,0,0,2.4414062522737368e-06,15.0,100.0,92.99999992556579,0.6413259919548084,0.0,2.4414062522737368e-06,7.5,0,0.0,-6.358674082479396,0,0,39,18,0,0,70.00000244140624,115.0,200.0,181.0999996513844,0.7415659926891376,0.0,70.00000244140624,200.0,0,0.0,-18.15843435592646,0,0,9,13,0,0,65.0,55.0,100.0,104.49999943375587,0.2764580000383852,0.0,65.0,100.0,0,0.0,4.776457433794263
btc-updown-15m-1778774400,Up,1778774400,15m,2,0,0,0,0,0,6.109999895095825,0.0,3.543799837183954,6.109999895095825,0.020837543870651218,0.0,6.109999895095825,0.0,0,0.0,2.587037601782522,3,0,0,0,0,0,11.109999895095825,0.0,6.443799753737451,11.109999895095825,0.03788954405757136,0.0,11.109999895095825,0.0,0,0.0,4.704089685415946,4,0,0,0,0,0,15.379999895095825,0.0,8.920399682474137,15.379999895095825,0.05245195221720117,0.0,15.379999895095825,0.0,0,0.0,6.512052164838888,4,0,0,0,0,0,15.379999895095825,0.0,8.920399682474137,15.379999895095825,0.05245195221720117,0.0,15.379999895095825,0.0,0,0.0,6.512052164838888,2,0,0,0,0,0,6.109999895095825,0.0,3.543799837183954,6.109999895095825,0.020837543870651218,0.0,6.109999895095825,0.0,0,0.0,2.587037601782522,3,0,0,0,0,0,11.109999895095825,0.0,6.443799753737451,11.109999895095825,0.03788954405757136,0.0,11.109999895095825,0.0,0,0.0,4.704089685415946,4,0,0,0,0,0,15.379999895095825,0.0,8.920399682474137,15.379999895095825,0.05245195221720117,0.0,15.379999895095825,0.0,0,0.0,6.512052164838888,0,0,9,8,0,0,3.1599998474121094,0.0,30.0,32.932399764156344,0.196633304977886,0.0,3.1599998474121094,0.0,0,0.0,3.1290330691342305,0,0,29,24,0,0,0.5980721607665984,2.0684629713897706,100.0,102.07466960801108,0.6684224001769706,0.0,0.5980721607665984,1.0342314856948853,0,0.0,2.743092008188043,0,0,55,45,0,0,1.1980721846084634,4.7176943610382125,200.0,208.06796090281563,1.278974177202071,0.0,1.1980721846084634,2.3588471805191062,0,0.0,9.346935080017687,0,0,26,23,0,0,2.7500001001357983,2.068463181198128,100.0,104.77199993618834,0.6403037107268839,0.0,2.7500001001357983,1.034231590599064,0,0.0,5.41230364691522
btc-updown-15m-1778775300,Up,1778775300,15m,3,1,0,0,0,0,10.0,0.0,9.249999821186066,15.0,0.05894700097131723,0.0,10.0,0.0,1,5.0,5.808947179785251,6,1,0,0,0,0,15.0,0.0,15.949999690055847,25.0,0.09839900174236287,0.0,15.0,0.0,1,10.0,9.148399311686514,2,1,0,0,0,0,9.139999923706053,0.0,17.070799891853333,20.0,0.09471806689961232,0.0,9.139999923706053,0.0,1,10.860000076293947,3.02391817504628,4,1,0,0,0,0,39.13999992370606,0.0,29.970800106430055,50.0,0.19766006732018268,0.0,39.13999992370606,0.0,1,10.860000076293947,20.22685996089013,4,1,0,0,0,0,13.509999542236327,0.0,9.741399759191275,18.50999954223633,0.06486345622079938,0.0,13.509999542236327,0.0,1,5.0,8.833463239265853,4,1,0,0,0,0,15.0,0.0,17.24999964237213,25.0,0.10476900194263444,0.0,15.0,0.0,1,10.0,7.854769359570504,3,1,0,0,0,0,14.139999923706053,0.0,18.320799891853333,25.0,0.10784306689961232,0.0,14.139999923706053,0.0,1,10.860000076293947,6.7870431750462785,0,0,8,7,0,0,4.649363847412111,0.0,30.0,32.41416229630816,0.19069880894542984,0.0,4.649363847412111,0.0,0,0.0,2.6048611052535904,0,0,26,23,0,0,4.649363847412104,0.0,100.0,102.41416080619203,0.6672588102555395,0.0,4.649363847412104,0.0,0,0.0,3.081419616447562,0,0,54,50,0,0,3.471236100830069,0.0,200.0,196.91275160277075,1.2031257669067121,0.0,3.471236100830069,0.0,0,0.0,-1.884122630322537,0,0,23,25,0,0,3.471236100830069,0.0,100.0,103.71275495255176,0.5840877592246274,0.0,3.471236100830069,0.0,0,0.0,4.296842711776392
btc-updown-15m-1778776200,Down,1778776200,15m,5,4,0,0,0,0,4.96000000089407,0.0,16.69000001810491,15.0,0.09856699930473409,0.0,0.0,6.089999994263053,3,15.0,-1.591433018800176,5,4,0,0,0,0,4.96000000089407,0.0,32.140000035986304,30.0,0.18411399860712124,0.0,0.0,2.480000000447035,3,30.0,-1.9558860373791838,9,6,0,0,0,0,0.0,14.280000152587892,58.76800026035309,60.0,0.3104023983297345,0.0,14.280000152587892,0.0,6,45.71999984741211,1.5424021379766444,10,4,0,0,0,0,7.99999610990286,0.0,82.7923015830487,84.17000366210937,0.48774207496448085,0.0,0.0,3.99999805495143,8,84.17000366210937,1.8654441540251554,5,4,0,0,0,0,4.96000000089407,0.0,16.69000001810491,15.0,0.09856699930473409,0.0,0.0,6.089999994263053,3,15.0,-1.591433018800176,5,4,0,0,0,0,4.96000000089407,0.0,32.140000035986304,30.0,0.18411399860712124,0.0,0.0,2.480000000447035,3,30.0,-1.9558860373791838,9,6,0,0,0,0,2.1699997720122326,0.0,62.31460001346767,60.0,0.3474233804807173,0.0,0.0,1.0849998860061163,5,60.0,-1.9671766329869484,0,0,6,7,0,0,0.0,0.0,30.0,29.599999636411667,0.20844599975132933,0.0,0.0,0.0,0,0.0,-0.1915543638370032,0,0,27,23,0,0,0.0,3.9396273814697267,100.0,101.3016232713511,0.6761319432516817,0.0,3.9396273814697267,0.0,0,0.0,1.9777552146027801,0,0,54,41,0,0,3.125,27.075136495910648,200.0,207.62363080777033,1.208899345476569,0.0,27.075136495910648,1.5625,0,0.0,8.832530153246893,0,0,16,23,0,0,32.78401064575198,4.999999999999986,100.0,89.65933290915969,0.5290516257703615,0.0,4.999999999999986,16.39200532287599,0,0.0,-9.811615465069949
btc-updown-15m-1778777100,Up,1778777100,15m,3,4,0,0,0,0,6.119999961853027,0.0,10.088400131177902,15.0,0.07617103279578588,0.0,6.119999961853027,0.0,2,8.880000038146973,4.987770901617884,3,2,0,0,0,0,9.0,0.0,11.980000138282776,20.0,0.09875040135583874,0.0,9.0,0.0,2,11.0,8.118750263073064,3,2,0,0,0,0,4.0,0.0,19.23000007867813,25.0,0.1516074014259338,0.0,4.0,0.0,2,21.0,5.921607322747803,6,2,0,0,0,0,12.64000038146973,0.0,46.808400312900545,63.64000038146973,0.3739567486071547,0.0,12.64000038146973,0.0,4,51.0,17.205556817176344,4,5,0,0,0,0,6.119999961853027,0.0,15.438399946403504,20.0,0.10914803314959899,0.0,6.119999961853027,0.0,3,13.880000038146973,4.670748086746094,4,4,0,0,0,0,11.119999961853026,0.0,15.78840020866394,25.0,0.12384103345501322,0.0,11.119999961853026,0.0,2,13.880000038146974,9.335440824791071,3,2,0,0,0,0,4.0,0.0,19.23000007867813,25.0,0.1516074014259338,0.0,4.0,0.0,2,21.0,5.921607322747803,0,0,8,8,0,0,3.698727084472658,0.0,30.0,28.997312475541364,0.18847130637108236,0.0,3.698727084472658,0.0,0,0.0,-0.8142162180875552,0,0,28,26,0,0,4.883727694824234,3.566771942779539,100.0,88.34927905202845,0.6199237223856684,0.0,4.883727694824234,1.7833859713897695,0,0.0,-11.030797225585886,0,0,32,45,0,0,94.88372769482424,33.11845256948851,200.0,229.74068618098354,0.8591136206725674,0.0,94.88372769482424,16.559226284744256,0,0.0,30.599799801656104,0,0,15,16,0,0,46.628575,38.56677194277954,100.0,106.15841093230495,0.3727869302296203,0.0,46.628575,19.28338597138977,0,0.0,6.531197862534569
