slug,asset,tf,slot_start_s,ws_s,fire_s,hour_utc,weekday,min_in_hour,slot_offset_min,outcome_truth,sum_bids,sum_asks,spread_up,spread_dn,mid_up,mid_dn,mid_diff,depth_up,depth_dn,depth_tot,depth_imb,bid_price_0_up,ask_price_0_up,bid_size_0_up,ask_size_0_up,bid_price_0_down,ask_price_0_down,bid_size_0_down,ask_size_0_down,open_book_us,binance_close_at_ws,ret_60s,ret_120s,abs_ret_60s,abs_ret_120s,vol_5m,vol_10m
btc-updown-15m-1776995100,BTC,15m,1776995100,1776994200,1776994320,1,4,45,45,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1317.0,1317.0,2634.0,0.0,0.5,0.51,10.0,1307.0,0.49,0.5,1307.0,10.0,1776967497988000,78025.99,-0.0007440904536167062,-0.0007439623865135001,0.0007440904536167062,0.0007439623865135001,0.0004023602540416952,0.0003396221104769681
btc-updown-15m-1776999600,BTC,15m,1776999600,1776998700,1776998820,3,4,0,0,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1317.0,1317.0,2634.0,0.0,0.5,0.51,10.0,1307.0,0.49,0.5,1307.0,10.0,1776970802530000,78413.92,0.0006633675431993637,0.0007636763950036419,0.0006633675431993637,0.0007636763950036419,0.00022694793567486413,0.0003389550048847584
btc-updown-15m-1777000500,BTC,15m,1777000500,1776999600,1776999720,3,4,15,15,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1267.0,1267.0,2534.0,0.0,0.5,0.51,10.0,1257.0,0.49,0.5,1257.0,10.0,1776971700868000,78125.65,-3.5583070858629634e-05,-0.00018289375210299135,3.5583070858629634e-05,0.00018289375210299135,0.00023316834159204197,0.0008679956625563675
btc-updown-15m-1777001400,BTC,15m,1777001400,1777000500,1777000620,3,4,30,30,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1317.0,1317.0,2634.0,0.0,0.5,0.51,10.0,1307.0,0.49,0.5,1307.0,10.0,1776974389124000,78131.89,-0.00021806898719262864,0.0001265888486131506,0.00021806898719262864,0.0001265888486131506,0.00030681961729989957,0.000285353619468356
btc-updown-15m-1777002300,BTC,15m,1777002300,1777001400,1777001520,3,4,45,45,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1317.0,1317.0,2634.0,0.0,0.5,0.51,10.0,1307.0,0.49,0.5,1307.0,10.0,1776974387974000,77750.41,-0.0005221760006032054,-0.0006644702193983196,0.0005221760006032054,0.0006644702193983196,0.0006739431324958608,0.0008442501655015827
btc-updown-15m-1777003200,BTC,15m,1777003200,1777002300,1777002420,4,4,0,0,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1317.0,1317.0,2634.0,0.0,0.5,0.51,10.0,1307.0,0.49,0.5,1307.0,10.0,1776974401830000,77644.59,-0.00011809526644241413,0.00010548619000431615,0.00011809526644241413,0.00010548619000431615,0.0004295061893100674,0.0003853486143852119
btc-updown-15m-1777004100,BTC,15m,1777004100,1777003200,1777003320,4,4,15,15,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1317.0,1317.0,2634.0,0.0,0.5,0.51,10.0,1307.0,0.49,0.5,1307.0,10.0,1776975301499000,77737.85,4.901207544043124e-05,0.0001483299981100803,4.901207544043124e-05,0.0001483299981100803,5.601584797777881e-05,0.00018577987010318428
btc-updown-15m-1777005000,BTC,15m,1777005000,1777004100,1777004220,4,4,30,30,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1317.0,1317.0,2634.0,0.0,0.5,0.51,10.0,1307.0,0.49,0.5,1307.0,10.0,1776976201345000,77726.08,-5.017494976796252e-05,8.980658010344797e-05,5.017494976796252e-05,8.980658010344797e-05,0.00016960287878695852,0.00029948953900974515
btc-updown-15m-1777005900,BTC,15m,1777005900,1777005000,1777005120,4,4,45,45,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1317.0,1317.0,2634.0,0.0,0.5,0.51,10.0,1307.0,0.49,0.5,1307.0,10.0,1776977101668000,77613.28,-0.0002671866128864962,-0.0007407070490796233,0.0002671866128864962,0.0007407070490796233,0.0003712184501342111,0.00048481063969342433
btc-updown-15m-1777006800,BTC,15m,1777006800,1777005900,1777006020,5,4,0,0,Down,0.99,1.01,0.00999999,0.00999999,0.495,0.505,-0.00999999,1387.0,1387.0,2774.0,0.0,0.49,0.5,1302.0,85.0,0.5,0.51,85.0,1302.0,1776979219669000,77653.17,0.00022062060937118314,0.00041294669607334114,0.00022062060937118314,0.00041294669607334114,0.0001482626654049622,0.00027809918492079447
