slug,asset,tf,slot_start_s,ws_s,fire_s,hour_utc,weekday,min_in_hour,slot_offset_min,outcome_truth,sum_bids,sum_asks,spread_up,spread_dn,mid_up,mid_dn,mid_diff,depth_up,depth_dn,depth_tot,depth_imb,bid_price_0_up,ask_price_0_up,bid_size_0_up,ask_size_0_up,bid_price_0_down,ask_price_0_down,bid_size_0_down,ask_size_0_down,open_book_us,binance_close_at_ws,ret_60s,ret_120s,abs_ret_60s,abs_ret_120s,vol_5m,vol_10m
btc-updown-15m-1777007700,BTC,15m,1777007700,1777006800,1777006920,5,4,15,15,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1313.62,1313.62,2627.24,0.0,0.5,0.51,10.0,1303.62,0.49,0.5,1303.62,10.0,1776979756755000,77670.0,-0.00035798921664661196,-0.0003578605128820891,0.00035798921664661196,0.0003578605128820891,0.00017131613143755515,0.00014650469879583036
btc-updown-15m-1777008600,BTC,15m,1777008600,1777007700,1777007820,5,4,30,30,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1297.39,1297.39,2594.78,0.0,0.5,0.51,10.0,1287.39,0.49,0.5,1287.39,10.0,1776981092465000,77565.57,-7.129197761353611e-05,2.6816381149003183e-05,7.129197761353611e-05,2.6816381149003183e-05,0.00039521535855919755,0.00032613585577677114
btc-updown-15m-1777009500,BTC,15m,1777009500,1777008600,1777008720,5,4,45,45,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1304.04,1304.04,2608.08,0.0,0.5,0.51,5.0,1299.04,0.49,0.5,1299.04,5.0,1776982043188000,77640.0,0.0002952522379850088,0.00033210047671413794,0.0002952522379850088,0.00033210047671413794,0.00015892055556856774,0.0003764633471095476
btc-updown-15m-1777010400,BTC,15m,1777010400,1777009500,1777009620,6,4,0,0,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1265.0,1265.0,2530.0,0.0,0.5,0.51,5.0,1260.0,0.49,0.5,1260.0,5.0,1776983392076000,77714.55,-0.0005312908562849351,-0.0004064049945332055,0.0005312908562849351,0.0004064049945332055,0.0002764387165333925,0.0003022443793503265
btc-updown-15m-1777011300,BTC,15m,1777011300,1777010400,1777010520,6,4,15,15,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1307.0,1307.0,2614.0,0.0,0.5,0.51,5.0,1302.0,0.49,0.5,1302.0,5.0,1776982501988000,77953.48,-0.00022151784967128481,-2.0396572222246802e-05,0.00022151784967128481,2.0396572222246802e-05,0.0008430717559191071,0.0007596087425009722
btc-updown-15m-1777012200,BTC,15m,1777012200,1777011300,1777011420,6,4,30,30,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1304.19,1304.19,2608.38,0.0,0.5,0.51,5.0,1299.19,0.49,0.5,1299.19,5.0,1776983826789000,77939.34,0.0003976959864909042,0.00046097747031798215,0.0003976959864909042,0.00046097747031798215,0.00022100199138888686,0.00021150652256374141
btc-updown-15m-1777013100,BTC,15m,1777013100,1777012200,1777012320,6,4,45,45,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1307.0,1307.0,2614.0,0.0,0.5,0.51,5.0,1302.0,0.49,0.5,1302.0,5.0,1776985996187000,77840.4,-5.112895429951139e-05,0.00022201733676558813,5.112895429951139e-05,0.00022201733676558813,0.00031420894241909633,0.00024605191862944053
btc-updown-15m-1777014000,BTC,15m,1777014000,1777013100,1777013220,7,4,0,0,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1301.97,1301.97,2603.94,0.0,0.5,0.51,5.0,1296.97,0.49,0.5,1296.97,5.0,1776985996160000,77817.5,-0.0007256658983600294,-0.0009207055864730262,0.0007256658983600294,0.0009207055864730262,0.0003841344266156847,0.00034695484814897164
btc-updown-15m-1777014900,BTC,15m,1777014900,1777014000,1777014120,7,4,15,15,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1307.0,1307.0,2614.0,0.0,0.5,0.51,5.0,1302.0,0.49,0.5,1302.0,5.0,1776987453293000,77789.75,-0.00019537940621815482,-0.00025154392122266555,0.00019537940621815482,0.00025154392122266555,0.00019813549195286318,0.0002824330091734572
btc-updown-15m-1777015800,BTC,15m,1777015800,1777014900,1777015020,7,4,30,30,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1307.0,1307.0,2614.0,0.0,0.5,0.51,5.0,1302.0,0.49,0.5,1302.0,5.0,1776987453661000,77761.16,-0.00026397870579353023,-0.0004993534479567407,0.00026397870579353023,0.0004993534479567407,0.00024089191154738417,0.00023154271122047834
btc-updown-15m-1777016700,BTC,15m,1777016700,1777015800,1777015920,7,4,45,45,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1307.0,1307.0,2614.0,0.0,0.5,0.51,5.0,1302.0,0.49,0.5,1302.0,5.0,1776987901402000,77720.32,0.00017654599390673405,0.0007074011233457009,0.00017654599390673405,0.0007074011233457009,0.0003948641114363355,0.00031906337796809337
btc-updown-15m-1777017600,BTC,15m,1777017600,1777016700,1777016820,8,4,0,0,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1265.0,1265.0,2530.0,0.0,0.5,0.51,5.0,1260.0,0.49,0.5,1260.0,5.0,1776988801547000,77644.64,-0.00017205116452567054,-0.00024763614174480266,0.00017205116452567054,0.00024763614174480266,0.00010000666899866002,0.00019482203729620428
btc-updown-15m-1777018500,BTC,15m,1777018500,1777017600,1777017720,8,4,15,15,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1303.75,1303.75,2607.5,0.0,0.5,0.51,5.0,1298.75,0.49,0.5,1298.75,5.0,1776989701011000,77644.6,0.0003476699226666307,0.0009443620238002923,0.0003476699226666307,0.0009443620238002923,0.0005096867272841153,0.00042593567102087765
btc-updown-15m-1777019400,BTC,15m,1777019400,1777018500,1777018620,8,4,30,30,Down,0.99,1.01,0.00999999,0.00999999,0.495,0.505,-0.00999999,1297.19,1297.19,2594.38,0.0,0.49,0.5,1292.19,5.0,0.5,0.51,5.0,1292.19,1776991748032000,77694.88,-2.4840453181146082e-05,0.00018394151973013094,2.4840453181146082e-05,0.00018394151973013094,0.0001949801415967804,0.0003598411339912827
btc-updown-15m-1777020300,BTC,15m,1777020300,1777019400,1777019520,8,4,45,45,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1307.0,1307.0,2614.0,0.0,0.5,0.51,5.0,1302.0,0.49,0.5,1302.0,5.0,1776992762277000,77855.62,-0.00011173906192186456,-0.0006398261349892461,0.00011173906192186456,0.0006398261349892461,0.00037671960261002565,0.000542411816180983
btc-updown-15m-1777021200,BTC,15m,1777021200,1777020300,1777020420,9,4,0,0,Down,0.99,1.01,0.00999999,0.00999999,0.495,0.505,-0.00999999,1290.03,1290.03,2580.06,0.0,0.49,0.5,1287.29,2.74,0.5,0.51,2.74,1287.29,1776993463331000,77744.11,2.636890470858199e-05,-0.00039300720328882215,2.636890470858199e-05,0.00039300720328882215,0.0002381512268602371,0.00024228955177108075
btc-updown-15m-1777022100,BTC,15m,1777022100,1777021200,1777021320,9,4,15,15,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1287.39,1287.39,2574.78,0.0,0.5,0.51,5.0,1282.39,0.49,0.5,1282.39,5.0,1776993463335000,77785.71,-0.000555860204100468,-0.000555731717215245,0.000555860204100468,0.000555731717215245,0.0002453574710402624,0.0003293874713654954
btc-updown-15m-1777023000,BTC,15m,1777023000,1777022100,1777022220,9,4,30,30,Up,0.99,1.01,0.00999999,0.00999999,0.495,0.505,-0.00999999,1307.0,1307.0,2614.0,0.0,0.49,0.5,1302.0,5.0,0.5,0.51,5.0,1302.0,1776994201241000,77508.0,0.0003309883516510733,0.00018309463663232432,0.0003309883516510733,0.00018309463663232432,0.0003074826302471733,0.0006661918745335101
btc-updown-15m-1777023900,BTC,15m,1777023900,1777023000,1777023120,9,4,45,45,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1307.0,1307.0,2614.0,0.0,0.5,0.51,5.0,1302.0,0.49,0.5,1302.0,5.0,1776995132988000,77500.01,-0.0003502611868304275,9.974689717019601e-05,0.0003502611868304275,9.974689717019601e-05,0.0002906612150297767,0.0004160863313401501
btc-updown-15m-1777024800,BTC,15m,1777024800,1777023900,1777024020,10,4,0,0,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1307.0,1307.0,2614.0,0.0,0.5,0.51,5.0,1302.0,0.49,0.5,1302.0,5.0,1776996000417000,77581.49,0.000332479919709482,0.0002614367303845719,0.000332479919709482,0.0002614367303845719,0.00016998202176775435,0.000257710865929304
btc-updown-15m-1777025700,BTC,15m,1777025700,1777024800,1777024920,10,4,15,15,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1307.0,1307.0,2614.0,0.0,0.5,0.51,5.0,1302.0,0.49,0.5,1302.0,5.0,1776996901480000,77527.69,3.224706306933054e-05,0.00015634346213683081,3.224706306933054e-05,0.00015634346213683081,0.000162806943275779,0.00029148318609162083
btc-updown-15m-1777026600,BTC,15m,1777026600,1777025700,1777025820,10,4,30,30,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1307.0,1307.0,2614.0,0.0,0.5,0.51,5.0,1302.0,0.49,0.5,1302.0,5.0,1776998852181000,77510.65,-0.00022652385440782833,0.00030516591939975515,0.00022652385440782833,0.00030516591939975515,0.00028367455241189274,0.00038298690012194766
btc-updown-15m-1777027500,BTC,15m,1777027500,1777026600,1777026720,10,4,45,45,Up,0.99,1.01,0.00999999,0.00999999,0.495,0.505,-0.00999999,1292.29,1292.29,2584.58,0.0,0.49,0.5,1287.29,5.0,0.5,0.51,5.0,1287.29,1776998702140000,77685.16,-0.0002508530012642604,-0.0002508530012642604,0.0002508530012642604,0.0002508530012642604,0.0004572979060052345,0.0003953274140138303
btc-updown-15m-1777028400,BTC,15m,1777028400,1777027500,1777027620,11,4,0,0,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1307.0,1307.0,2614.0,0.0,0.5,0.51,5.0,1302.0,0.49,0.5,1302.0,5.0,1777000883334000,77653.63,-8.614808913348856e-05,0.0001854560478992135,8.614808913348856e-05,0.0001854560478992135,0.0002032748160075712,0.00031455863339625655
btc-updown-15m-1777029300,BTC,15m,1777029300,1777028400,1777028520,11,4,15,15,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1303.87,1303.87,2607.74,0.0,0.5,0.51,5.0,1298.87,0.49,0.5,1298.87,5.0,1777001674808000,77752.36,-0.00011304484104767437,5.466221421788092e-05,0.00011304484104767437,5.466221421788092e-05,0.00030946224315921047,0.0002808522747762461
btc-updown-15m-1777030200,BTC,15m,1777030200,1777029300,1777029420,11,4,30,30,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1292.33,1292.33,2584.66,0.0,0.5,0.51,5.0,1287.33,0.49,0.5,1287.33,5.0,1777002730772000,78217.83,0.0005216283747020076,0.0006759055168791678,0.0005216283747020076,0.0006759055168791678,0.00042743605881151816,0.0007211388717761725
btc-updown-15m-1777031100,BTC,15m,1777031100,1777030200,1777030320,11,4,45,45,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1307.0,1307.0,2614.0,0.0,0.5,0.51,5.0,1302.0,0.49,0.5,1302.0,5.0,1777003431881000,78324.02,0.0006107271303495572,0.000344908985310307,0.0006107271303495572,0.000344908985310307,0.0005472351941083313,0.0004899676405114382
btc-updown-15m-1777032000,BTC,15m,1777032000,1777031100,1777031220,12,4,0,0,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1304.88,1304.88,2609.76,0.0,0.5,0.51,5.0,1299.88,0.49,0.5,1299.88,5.0,1777003201607000,78295.33,-0.00014137774874428447,-0.00014686898342490694,0.00014137774874428447,0.00014686898342490694,0.0001188021316936391,0.0003527448029919161
btc-updown-15m-1777032900,BTC,15m,1777032900,1777032000,1777032120,12,4,15,15,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1325.0,1325.0,2650.0,0.0,0.5,0.51,5.0,1320.0,0.49,0.5,1320.0,5.0,1777004101004000,78240.26,-7.106063366596693e-05,0.0001385571954558316,7.106063366596693e-05,0.0001385571954558316,0.00013776000259256113,0.00020899194136234173
btc-updown-15m-1777033800,BTC,15m,1777033800,1777032900,1777033020,12,4,30,30,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1325.0,1325.0,2650.0,0.0,0.5,0.51,5.0,1320.0,0.49,0.5,1320.0,5.0,1777005001457000,78318.41,0.0004394568455719345,0.0007326631802904829,0.0004394568455719345,0.0007326631802904829,0.0003086689196367688,0.0003175256985257035
btc-updown-15m-1777034700,BTC,15m,1777034700,1777033800,1777033920,12,4,45,45,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1325.0,1325.0,2650.0,0.0,0.5,0.51,5.0,1320.0,0.49,0.5,1320.0,5.0,1777005901861000,78268.9,0.0003415732862843083,6.413992010769556e-05,0.0003415732862843083,6.413992010769556e-05,0.0002812765449890766,0.00042586282294480274
btc-updown-15m-1777035600,BTC,15m,1777035600,1777034700,1777034820,13,4,0,0,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1503.19,1503.19,3006.38,0.0,0.5,0.51,295.0,1208.19,0.49,0.5,1208.19,295.0,1777008561860000,78189.1,-0.0005336915612000682,-0.0011767093711294216,0.0005336915612000682,0.0011767093711294216,0.0004886631413981831,0.00041324391084562965
btc-updown-15m-1777036500,BTC,15m,1777036500,1777035600,1777035720,13,4,15,15,Down,0.99,1.01,0.00999999,0.00999999,0.495,0.505,-0.00999999,1315.19,1315.19,2630.38,0.0,0.49,0.5,1310.19,5.0,0.5,0.51,5.0,1310.19,1777007701230000,78275.66,0.001016413268665548,0.0019747200894686895,0.001016413268665548,0.0019747200894686895,0.00033138563886023925,0.0005014936850973294
btc-updown-15m-1777037400,BTC,15m,1777037400,1777036500,1777036620,13,4,30,30,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1296.0,1296.0,2592.0,0.0,0.5,0.51,5.0,1291.0,0.49,0.5,1291.0,5.0,1777008602034000,78357.99,2.1823156245704533e-05,0.00010184547064489685,2.1823156245704533e-05,0.00010184547064489685,0.0003482344935921463,0.00034099196513353767
btc-updown-15m-1777038300,BTC,15m,1777038300,1777037400,1777037520,13,4,45,45,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1296.0,1296.0,2592.0,0.0,0.5,0.51,5.0,1291.0,0.49,0.5,1291.0,5.0,1777009501002000,78167.89,-0.0003830762708203707,-0.00023510727293308355,0.0003830762708203707,0.00023510727293308355,0.0003086315332937111,0.00036351693568211564
btc-updown-15m-1777039200,BTC,15m,1777039200,1777038300,1777038420,14,4,0,0,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1296.0,1296.0,2592.0,0.0,0.5,0.51,5.0,1291.0,0.49,0.5,1291.0,5.0,1777010402023000,78184.67,0.00027822622837109126,0.0005416850708489033,0.00027822622837109126,0.0005416850708489033,0.0003944273190676866,0.00042785688360222254
btc-updown-15m-1777040100,BTC,15m,1777040100,1777039200,1777039320,14,4,15,15,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1296.0,1296.0,2592.0,0.0,0.5,0.51,5.0,1291.0,0.49,0.5,1291.0,5.0,1777012356163000,78093.79,0.00029891606649236005,0.0003048081979605067,0.00029891606649236005,0.0003048081979605067,0.0007107662968557388,0.0005649084852973165
btc-updown-15m-1777041000,BTC,15m,1777041000,1777040100,1777040220,14,4,30,30,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1296.0,1296.0,2592.0,0.0,0.5,0.51,5.0,1291.0,0.49,0.5,1291.0,5.0,1777012201099000,77875.01,0.0,-0.0011243755340717325,0.0,0.0011243755340717325,0.00048547969082292646,0.000633202061192051
btc-updown-15m-1777041900,BTC,15m,1777041900,1777041000,1777041120,14,4,45,45,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1296.0,1296.0,2592.0,0.0,0.5,0.51,5.0,1291.0,0.49,0.5,1291.0,5.0,1777013101976000,77702.14,-0.00038691576701212254,-0.0002649511641276551,0.00038691576701212254,0.0002649511641276551,0.00043418759177589917,0.0003801364632262465
btc-updown-15m-1777042800,BTC,15m,1777042800,1777041900,1777042020,15,4,0,0,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1276.39,1276.39,2552.78,0.0,0.5,0.51,5.0,1271.39,0.49,0.5,1271.39,5.0,1777015711743000,77971.12,-0.00014401731515718586,0.0006113105205753444,0.00014401731515718586,0.0006113105205753444,0.0004863789594553554,0.0006097771296316387
btc-updown-15m-1777043700,BTC,15m,1777043700,1777042800,1777042920,15,4,15,15,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1325.0,1325.0,2650.0,0.0,0.5,0.51,5.0,1320.0,0.49,0.5,1320.0,5.0,1777016604138000,78037.64,0.0003064375556216033,0.0003804016307784786,0.0003064375556216033,0.0003804016307784786,0.0003324940716687069,0.00034621443951671465
btc-updown-15m-1777044600,BTC,15m,1777044600,1777043700,1777043820,15,4,30,30,Up,0.99,1.01,0.00999999,0.00999999,0.495,0.505,-0.00999999,1315.19,1315.19,2630.38,0.0,0.49,0.5,1310.19,5.0,0.5,0.51,5.0,1310.19,1777017502808000,77727.71,-0.0003925756938789193,4.888873336041751e-06,0.0003925756938789193,4.888873336041751e-06,0.00040450159352235695,0.0006921140391507426
btc-updown-15m-1777045500,BTC,15m,1777045500,1777044600,1777044720,15,4,45,45,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1325.0,1325.0,2650.0,0.0,0.5,0.51,5.0,1320.0,0.49,0.5,1320.0,5.0,1777018189432000,77825.99,-0.000257592839392601,-0.00014646990217453244,0.000257592839392601,0.00014646990217453244,0.00029088617171442064,0.00043485388281782955
btc-updown-15m-1777046400,BTC,15m,1777046400,1777045500,1777045620,16,4,0,0,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1335.0,1335.0,2670.0,0.0,0.5,0.51,10.0,1325.0,0.49,0.5,1325.0,10.0,1777019351719000,77983.7,0.0024177841047487293,0.0021013629360259684,0.0024177841047487293,0.0021013629360259684,0.000978254043070551,0.0008662541808200351
btc-updown-15m-1777047300,BTC,15m,1777047300,1777046400,1777046520,16,4,15,15,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1335.0,1335.0,2670.0,0.0,0.5,0.51,10.0,1325.0,0.49,0.5,1325.0,10.0,1777019412686000,78038.62,-1.0123141610785823e-05,0.0004120603917099496,1.0123141610785823e-05,0.0004120603917099496,0.0003535428108662771,0.0005630172003174561
btc-updown-15m-1777048200,BTC,15m,1777048200,1777047300,1777047420,16,4,30,30,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1335.0,1335.0,2670.0,0.0,0.5,0.51,10.0,1325.0,0.49,0.5,1325.0,10.0,1777020313546000,77792.45,-0.0011246693278182697,-0.0013320181694906486,0.0011246693278182697,0.0013320181694906486,0.0006397014121668895,0.0007002843138232095
btc-updown-15m-1777049100,BTC,15m,1777049100,1777048200,1777048320,16,4,45,45,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1335.0,1335.0,2670.0,0.0,0.5,0.51,10.0,1325.0,0.49,0.5,1325.0,10.0,1777020301652000,77727.69,9.894003579299388e-05,-0.00041559560715125386,9.894003579299388e-05,0.00041559560715125386,0.0005278730822811336,0.00042405402901764976
btc-updown-15m-1777050000,BTC,15m,1777050000,1777049100,1777049220,17,4,0,0,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1335.0,1335.0,2670.0,0.0,0.5,0.51,10.0,1325.0,0.49,0.5,1325.0,10.0,1777021201499000,77708.13,0.0003361860700559272,0.0010748537177679672,0.0003361860700559272,0.0010748537177679672,0.0008889409574889057,0.0006763675424586179
btc-updown-15m-1777050900,BTC,15m,1777050900,1777050000,1777050120,17,4,15,15,Down,0.99,1.01,0.00999999,0.00999999,0.495,0.505,-0.00999999,1325.19,1325.19,2650.38,0.0,0.49,0.5,1315.19,10.0,0.5,0.51,10.0,1315.19,1777022101569000,77777.28,0.00020252180216408412,0.0012591289950957298,0.00020252180216408412,0.0012591289950957298,0.000501776325722604,0.0004121845154189118
btc-updown-15m-1777051800,BTC,15m,1777051800,1777050900,1777051020,17,4,30,30,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1345.0,1345.0,2690.0,0.0,0.5,0.51,15.0,1330.0,0.49,0.5,1330.0,15.0,1777023001030000,77752.53,0.0006880599362180332,0.0011142820922037486,0.0006880599362180332,0.0011142820922037486,0.0007464516304591045,0.0007090534684792184
btc-updown-15m-1777052700,BTC,15m,1777052700,1777051800,1777051920,17,4,45,45,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,2335.0,2335.0,4670.0,0.0,0.5,0.51,10.0,2325.0,0.49,0.5,2325.0,10.0,1777025557514000,77678.47,-0.00046642974494793567,-0.00019720380008173065,0.00046642974494793567,0.00019720380008173065,0.00045437153107926684,0.0003711763039454293
btc-updown-15m-1777053600,BTC,15m,1777053600,1777052700,1777052820,18,4,0,0,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1335.0,1335.0,2670.0,0.0,0.5,0.51,10.0,1325.0,0.49,0.5,1325.0,10.0,1777025581490000,77602.07,4.999991624765597e-05,5.605677689570366e-05,4.999991624765597e-05,5.605677689570366e-05,0.0002213475518151191,0.00038575167906803465
btc-updown-15m-1777054500,BTC,15m,1777054500,1777053600,1777053720,18,4,15,15,Down,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1335.0,1335.0,2670.0,0.0,0.5,0.51,10.0,1325.0,0.49,0.5,1325.0,10.0,1777026207118000,77681.71,0.0002761649042603664,-0.00032267512500466924,0.0002761649042603664,0.00032267512500466924,0.0007366948320535809,0.000601688368050739
btc-updown-15m-1777055400,BTC,15m,1777055400,1777054500,1777054620,18,4,30,30,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1345.0,1345.0,2690.0,0.0,0.5,0.51,15.0,1330.0,0.49,0.5,1330.0,15.0,1777026603630000,77529.33,-0.0006771917021983374,-0.001498953462283268,0.0006771917021983374,0.001498953462283268,0.00046484829453462165,0.0004226969693132427
btc-updown-15m-1777056300,BTC,15m,1777056300,1777055400,1777055520,18,4,45,45,Up,0.99,1.01,0.00999999,0.00999999,0.505,0.495,0.00999999,1335.0,1335.0,2670.0,0.0,0.5,0.51,10.0,1325.0,0.49,0.5,1325.0,10.0,1777029380588000,77499.0,-0.00030215179525738947,-0.00012941265060909899,0.00030215179525738947,0.00012941265060909899,0.00025072063873820486,0.0002619851204413076
