fold,label,variant,train_mean,test_mean,train_n,test_n,is_train_pick,is_oracle
1,btc_5m,PAT+ACC-M,11.7212,7.7172,1115,1178,False,False
1,btc_5m,PAT+ACC-M-t120,21.9359,13.5097,1014,1178,False,False
1,btc_5m,PAT+ACC-M-t180,28.1762,16.1226,958,1177,False,False
1,btc_5m,PAT+ACC-M-t210,30.4035,17.0805,918,1173,False,False
1,btc_5m,PAT+ACC-M-t210-COMBO,38.196,23.8902,907,1172,True,True
1,btc_5m,PAT+ACC-M-t240,30.2388,15.8234,861,1168,False,False
1,btc_5m,PAT+ACC-M-t5-COMBO,13.8708,10.5926,1097,1178,False,False
1,btc_5m,PAT+ACC-M-t60,16.3561,10.286,1076,1178,False,False
2,btc_5m,PAT+ACC-M,9.6642,8.2756,2293,615,False,False
2,btc_5m,PAT+ACC-M-t120,17.4076,16.1045,2192,614,False,False
2,btc_5m,PAT+ACC-M-t180,21.5312,18.4668,2135,612,False,False
2,btc_5m,PAT+ACC-M-t210,22.9296,18.6421,2091,608,False,False
2,btc_5m,PAT+ACC-M-t210-COMBO,30.1313,31.8034,2079,607,True,True
2,btc_5m,PAT+ACC-M-t240,21.9405,16.1119,2029,595,False,False
2,btc_5m,PAT+ACC-M-t5-COMBO,12.1733,15.0154,2275,614,False,False
2,btc_5m,PAT+ACC-M-t60,13.1837,11.707,2254,614,False,False
3,btc_5m,PAT+ACC-M,9.3705,15.4657,2908,66,False,False
3,btc_5m,PAT+ACC-M-t120,17.1225,17.6732,2806,65,False,False
3,btc_5m,PAT+ACC-M-t180,20.8485,15.0591,2747,64,False,False
3,btc_5m,PAT+ACC-M-t210,21.9638,11.6915,2699,60,False,False
3,btc_5m,PAT+ACC-M-t210-COMBO,30.5092,25.0569,2686,58,True,False
3,btc_5m,PAT+ACC-M-t240,20.6189,8.8232,2624,54,False,False
3,btc_5m,PAT+ACC-M-t5-COMBO,12.7774,45.4648,2889,66,False,True
3,btc_5m,PAT+ACC-M-t60,12.8676,16.0192,2868,66,False,False
4,btc_5m,PAT+ACC-M,9.5058,9.4389,2974,82,False,False
4,btc_5m,PAT+ACC-M-t120,17.135,10.0374,2871,81,False,False
4,btc_5m,PAT+ACC-M-t180,20.7167,10.3941,2811,80,False,False
4,btc_5m,PAT+ACC-M-t210,21.7404,10.5712,2759,79,False,False
4,btc_5m,PAT+ACC-M-t210-COMBO,30.394,19.4923,2744,78,True,False
4,btc_5m,PAT+ACC-M-t240,20.381,9.5584,2678,78,False,False
4,btc_5m,PAT+ACC-M-t5-COMBO,13.5074,24.0893,2955,80,False,True
4,btc_5m,PAT+ACC-M-t60,12.9384,10.1247,2934,81,False,False
1,btc_15m,PAT+ACC-M,4.5622,0.866,410,473,False,False
1,btc_15m,PAT+ACC-M-t180,8.6008,2.1743,386,471,False,False
1,btc_15m,PAT+ACC-M-t360,12.1286,3.3998,364,469,False,False
1,btc_15m,PAT+ACC-M-t600,16.0963,5.9211,334,467,False,False
1,btc_15m,PAT+ACC-M-t600-COMBO,48.3104,24.0441,328,466,True,True
2,btc_15m,PAT+ACC-M,2.5823,3.1286,883,235,False,False
2,btc_15m,PAT+ACC-M-t180,5.0688,5.4773,857,233,False,False
2,btc_15m,PAT+ACC-M-t360,7.2141,6.6071,833,234,False,False
2,btc_15m,PAT+ACC-M-t600,10.1639,9.0903,801,234,False,False
2,btc_15m,PAT+ACC-M-t600-COMBO,34.0685,39.6948,794,231,True,True
3,btc_15m,PAT+ACC-M,2.6971,13.5995,1118,46,False,False
3,btc_15m,PAT+ACC-M-t180,5.1562,14.9437,1090,46,False,False
3,btc_15m,PAT+ACC-M-t360,7.081,14.0309,1067,51,False,False
3,btc_15m,PAT+ACC-M-t600,9.9212,15.1592,1035,51,False,False
3,btc_15m,PAT+ACC-M-t600-COMBO,35.3364,91.1126,1025,45,True,True
4,btc_15m,PAT+ACC-M,3.128,14.8885,1164,36,False,False
4,btc_15m,PAT+ACC-M-t180,5.5525,18.4017,1136,36,False,False
4,btc_15m,PAT+ACC-M-t360,7.398,18.533,1118,42,False,False
4,btc_15m,PAT+ACC-M-t600,10.1672,19.2582,1086,41,False,False
4,btc_15m,PAT+ACC-M-t600-COMBO,37.6822,89.1448,1070,41,True,True
1,eth_5m,PAT+ACC-M,4.8287,3.9672,230,270,False,False
1,eth_5m,PAT+ACC-M-t5-COMBO,14.2216,8.1479,222,270,True,True
2,eth_5m,PAT+ACC-M,4.3635,13.6863,500,254,False,False
2,eth_5m,PAT+ACC-M-t5-COMBO,10.8884,30.9367,492,253,True,True
3,eth_5m,PAT+ACC-M,7.5041,25.0638,754,126,False,False
3,eth_5m,PAT+ACC-M-t5-COMBO,17.6968,45.559,745,125,True,True
4,eth_5m,PAT+ACC-M,10.0183,31.7201,880,171,False,False
4,eth_5m,PAT+ACC-M-t5-COMBO,21.7,70.2728,870,171,True,True
1,sol_5m,PAT+ACC-M,14.1282,8.5737,201,246,False,False
1,sol_5m,PAT+ACC-M-t5-COMBO,26.1643,30.7492,198,244,True,True
2,sol_5m,PAT+ACC-M,11.0714,14.5541,447,371,False,False
2,sol_5m,PAT+ACC-M-t5-COMBO,28.6953,19.1156,442,367,True,True
3,sol_5m,PAT+ACC-M,12.6509,16.1182,818,312,False,False
3,sol_5m,PAT+ACC-M-t5-COMBO,24.3495,20.5147,809,311,True,True
4,sol_5m,PAT+ACC-M,13.6083,21.7835,1130,311,False,False
4,sol_5m,PAT+ACC-M-t5-COMBO,23.2847,30.7575,1120,310,True,True
