hour,n_fills,n_slugs,median_size,maker_pct,sell_pct,wallet
19,2687,24,11.11,15.109787867510235,15.109787867510235,0xcfb103c3
20,2754,24,9.95,10.457516339869281,10.457516339869281,0xcfb103c3
21,2384,24,9.0,8.808724832214764,8.808724832214764,0xcfb103c3
22,2824,24,9.64,8.746458923512748,8.746458923512748,0xcfb103c3
23,1688,20,10.0,9.24170616113744,9.24170616113744,0xcfb103c3
0,294,3,10.0,28.57142857142857,28.57142857142857,0xce25e214
1,1422,12,9.6,30.872011251758085,30.872011251758085,0xce25e214
2,467,3,8.96,27.62312633832976,27.62312633832976,0xce25e214
3,1134,9,9.6,27.42504409171076,27.42504409171076,0xce25e214
4,2118,13,9.6,25.731822474032107,25.731822474032107,0xce25e214
5,1651,9,9.53,22.5923682616596,22.5923682616596,0xce25e214
10,98,3,13.6,35.714285714285715,35.714285714285715,0xce25e214
11,1444,12,10.0,29.6398891966759,29.6398891966759,0xce25e214
12,931,15,11.98,28.24919441460795,28.24919441460795,0xce25e214
13,2291,33,10.0,30.90353557398516,30.90353557398516,0xce25e214
14,4178,48,10.4,30.876017233125896,30.876017233125896,0xce25e214
15,4098,48,10.0,29.355783308931187,29.355783308931187,0xce25e214
16,2607,33,10.08,30.763329497506714,30.763329497506714,0xce25e214
17,4010,42,10.0,27.306733167082292,27.306733167082292,0xce25e214
18,3047,44,10.0,30.62028224483098,30.62028224483098,0xce25e214
19,2523,24,9.92,30.003963535473645,30.003963535473645,0xce25e214
20,2322,24,10.0,33.41946597760551,33.41946597760551,0xce25e214
21,636,9,9.6,32.70440251572327,32.70440251572327,0xce25e214
