slug,outcome_truth,slot_start_s,tf,ACC-M-sz20.n_maker_bid_up,ACC-M-sz20.n_maker_bid_dn,ACC-M-sz20.n_maker_ask_up,ACC-M-sz20.n_maker_ask_dn,ACC-M-sz20.n_taker_up,ACC-M-sz20.n_taker_dn,ACC-M-sz20.inv_up,ACC-M-sz20.inv_dn,ACC-M-sz20.cost_paid,ACC-M-sz20.cash_received,ACC-M-sz20.rebates,ACC-M-sz20.taker_fees,ACC-M-sz20.leftover_redeemed,ACC-M-sz20.leftover_burned_cost,ACC-M-sz20.n_merges,ACC-M-sz20.pairs_merged,ACC-M-sz20.pnl,ACC-M-sz50.n_maker_bid_up,ACC-M-sz50.n_maker_bid_dn,ACC-M-sz50.n_maker_ask_up,ACC-M-sz50.n_maker_ask_dn,ACC-M-sz50.n_taker_up,ACC-M-sz50.n_taker_dn,ACC-M-sz50.inv_up,ACC-M-sz50.inv_dn,ACC-M-sz50.cost_paid,ACC-M-sz50.cash_received,ACC-M-sz50.rebates,ACC-M-sz50.taker_fees,ACC-M-sz50.leftover_redeemed,ACC-M-sz50.leftover_burned_cost,ACC-M-sz50.n_merges,ACC-M-sz50.pairs_merged,ACC-M-sz50.pnl,PAT-sz20-c97.n_maker_bid_up,PAT-sz20-c97.n_maker_bid_dn,PAT-sz20-c97.n_maker_ask_up,PAT-sz20-c97.n_maker_ask_dn,PAT-sz20-c97.n_taker_up,PAT-sz20-c97.n_taker_dn,PAT-sz20-c97.inv_up,PAT-sz20-c97.inv_dn,PAT-sz20-c97.cost_paid,PAT-sz20-c97.cash_received,PAT-sz20-c97.rebates,PAT-sz20-c97.taker_fees,PAT-sz20-c97.leftover_redeemed,PAT-sz20-c97.leftover_burned_cost,PAT-sz20-c97.n_merges,PAT-sz20-c97.pairs_merged,PAT-sz20-c97.pnl,PAT-sz20-c95.n_maker_bid_up,PAT-sz20-c95.n_maker_bid_dn,PAT-sz20-c95.n_maker_ask_up,PAT-sz20-c95.n_maker_ask_dn,PAT-sz20-c95.n_taker_up,PAT-sz20-c95.n_taker_dn,PAT-sz20-c95.inv_up,PAT-sz20-c95.inv_dn,PAT-sz20-c95.cost_paid,PAT-sz20-c95.cash_received,PAT-sz20-c95.rebates,PAT-sz20-c95.taker_fees,PAT-sz20-c95.leftover_redeemed,PAT-sz20-c95.leftover_burned_cost,PAT-sz20-c95.n_merges,PAT-sz20-c95.pairs_merged,PAT-sz20-c95.pnl,PAT-sz20-c99.n_maker_bid_up,PAT-sz20-c99.n_maker_bid_dn,PAT-sz20-c99.n_maker_ask_up,PAT-sz20-c99.n_maker_ask_dn,PAT-sz20-c99.n_taker_up,PAT-sz20-c99.n_taker_dn,PAT-sz20-c99.inv_up,PAT-sz20-c99.inv_dn,PAT-sz20-c99.cost_paid,PAT-sz20-c99.cash_received,PAT-sz20-c99.rebates,PAT-sz20-c99.taker_fees,PAT-sz20-c99.leftover_redeemed,PAT-sz20-c99.leftover_burned_cost,PAT-sz20-c99.n_merges,PAT-sz20-c99.pairs_merged,PAT-sz20-c99.pnl,PAT-sz50-c97.n_maker_bid_up,PAT-sz50-c97.n_maker_bid_dn,PAT-sz50-c97.n_maker_ask_up,PAT-sz50-c97.n_maker_ask_dn,PAT-sz50-c97.n_taker_up,PAT-sz50-c97.n_taker_dn,PAT-sz50-c97.inv_up,PAT-sz50-c97.inv_dn,PAT-sz50-c97.cost_paid,PAT-sz50-c97.cash_received,PAT-sz50-c97.rebates,PAT-sz50-c97.taker_fees,PAT-sz50-c97.leftover_redeemed,PAT-sz50-c97.leftover_burned_cost,PAT-sz50-c97.n_merges,PAT-sz50-c97.pairs_merged,PAT-sz50-c97.pnl,PAT-sz100-c97.n_maker_bid_up,PAT-sz100-c97.n_maker_bid_dn,PAT-sz100-c97.n_maker_ask_up,PAT-sz100-c97.n_maker_ask_dn,PAT-sz100-c97.n_taker_up,PAT-sz100-c97.n_taker_dn,PAT-sz100-c97.inv_up,PAT-sz100-c97.inv_dn,PAT-sz100-c97.cost_paid,PAT-sz100-c97.cash_received,PAT-sz100-c97.rebates,PAT-sz100-c97.taker_fees,PAT-sz100-c97.leftover_redeemed,PAT-sz100-c97.leftover_burned_cost,PAT-sz100-c97.n_merges,PAT-sz100-c97.pairs_merged,PAT-sz100-c97.pnl,PAT-sz20-c95-thinbook.n_maker_bid_up,PAT-sz20-c95-thinbook.n_maker_bid_dn,PAT-sz20-c95-thinbook.n_maker_ask_up,PAT-sz20-c95-thinbook.n_maker_ask_dn,PAT-sz20-c95-thinbook.n_taker_up,PAT-sz20-c95-thinbook.n_taker_dn,PAT-sz20-c95-thinbook.inv_up,PAT-sz20-c95-thinbook.inv_dn,PAT-sz20-c95-thinbook.cost_paid,PAT-sz20-c95-thinbook.cash_received,PAT-sz20-c95-thinbook.rebates,PAT-sz20-c95-thinbook.taker_fees,PAT-sz20-c95-thinbook.leftover_redeemed,PAT-sz20-c95-thinbook.leftover_burned_cost,PAT-sz20-c95-thinbook.n_merges,PAT-sz20-c95-thinbook.pairs_merged,PAT-sz20-c95-thinbook.pnl,PAT-sz50-c97-thinbook.n_maker_bid_up,PAT-sz50-c97-thinbook.n_maker_bid_dn,PAT-sz50-c97-thinbook.n_maker_ask_up,PAT-sz50-c97-thinbook.n_maker_ask_dn,PAT-sz50-c97-thinbook.n_taker_up,PAT-sz50-c97-thinbook.n_taker_dn,PAT-sz50-c97-thinbook.inv_up,PAT-sz50-c97-thinbook.inv_dn,PAT-sz50-c97-thinbook.cost_paid,PAT-sz50-c97-thinbook.cash_received,PAT-sz50-c97-thinbook.rebates,PAT-sz50-c97-thinbook.taker_fees,PAT-sz50-c97-thinbook.leftover_redeemed,PAT-sz50-c97-thinbook.leftover_burned_cost,PAT-sz50-c97-thinbook.n_merges,PAT-sz50-c97-thinbook.pairs_merged,PAT-sz50-c97-thinbook.pnl,PAT+ACC-M-sz20.n_maker_bid_up,PAT+ACC-M-sz20.n_maker_bid_dn,PAT+ACC-M-sz20.n_maker_ask_up,PAT+ACC-M-sz20.n_maker_ask_dn,PAT+ACC-M-sz20.n_taker_up,PAT+ACC-M-sz20.n_taker_dn,PAT+ACC-M-sz20.inv_up,PAT+ACC-M-sz20.inv_dn,PAT+ACC-M-sz20.cost_paid,PAT+ACC-M-sz20.cash_received,PAT+ACC-M-sz20.rebates,PAT+ACC-M-sz20.taker_fees,PAT+ACC-M-sz20.leftover_redeemed,PAT+ACC-M-sz20.leftover_burned_cost,PAT+ACC-M-sz20.n_merges,PAT+ACC-M-sz20.pairs_merged,PAT+ACC-M-sz20.pnl
btc-updown-5m-1778769300,Up,1778769300,5m,4,7,0,0,0,0,9.470000114440918,0.0,47.0829003488183,48.150000000000006,0.25054115523281717,0.0,9.470000114440918,0.0,4,38.679999885559084,1.3176408064145235,2,7,0,0,0,0,11.320000114440917,0.0,39.64090001634359,49.99999999999999,0.285534997499291,0.0,11.320000114440917,0.0,4,38.67999988555908,10.64463498115569,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,4,7,0,0,0,0,9.470000114440918,0.0,47.0829003488183,48.150000000000006,0.25054115523281717,0.0,9.470000114440918,0.0,4,38.679999885559084,1.3176408064145235
btc-updown-5m-1778771700,Up,1778771700,5m,8,11,0,0,0,0,6.9099996185302714,0.0,85.67519996964337,99.68999992370604,0.36403988018119826,0.0,6.9099996185302714,0.0,5,92.78000030517578,14.378839834243863,11,24,0,0,0,0,12.670001602172853,0.0,196.05649774429196,219.68999992370604,0.7771405086309169,0.0,12.670001602172853,0.0,17,207.0199983215332,24.410642688044987,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,18.799999952316284,20.0,0.0,0.6747999979972841,0.0,0.0,1,20.0,0.5252000496864317,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,8,11,0,0,0,0,6.9099996185302714,0.0,85.67519996964337,99.68999992370604,0.36403988018119826,0.0,6.9099996185302714,0.0,5,92.78000030517578,14.378839834243863
btc-updown-5m-1778772300,Down,1778772300,5m,7,9,0,0,0,0,0.0,12.259996643066403,92.78599821381559,100.1799966430664,0.4713917450641711,0.0,12.259996643066403,0.0,7,87.92,7.865390174314982,10,11,0,0,0,0,0.0,22.16999824255704,226.90719817771307,250.17999664306637,1.1253270376412592,0.0,22.16999824255704,0.0,11,228.00999840050935,24.39812550299456,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,19.399999678134918,20.0,0.0,0.24010001351833316,0.0,0.0,1,20.0,0.35990030834674863,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,7,9,0,0,0,0,0.0,12.259996643066403,92.78599821381559,100.1799966430664,0.4713917450641711,0.0,12.259996643066403,0.0,7,87.92,7.865390174314982
