rank,sleeve_id,anchor,gate_stack,n_train,n_val,n_lockbox,n_32d_proj,wr_train,wr_val,wr_lockbox,lb_h1_wr,lb_h2_wr,dpt_25_train,dpt_25_val,dpt_25_lockbox,lb_h1_dpt,lb_h2_dpt,sum_25_28d,max_dd_25,loss_streak,sharpe,bootstrap_p_lockbox,lb_n_days,lb_pos_days,lb_pct_pos_days,confidence
1,s6_5m|60-150+r2|g_trend_slope_strong_with+g_mp_no_extreme,s6_5m|60-150,g_trend_slope_strong_with+g_mp_no_extreme,21,6,106,171.61290322580643,1.0,0.3333333333333333,0.9056603773584906,0.875,0.9310344827586208,18.21329598375377,-9.21456338785502,11.859870877739883,8.52282869389791,14.621560960919457,1584.3381483721273,50.0,2,41.98980110943446,0.0,5,5,1.0,HIGH
2,s15_5m|60-150+r2|g_trend_slope_strong_with+g_mp_no_extreme,s15_5m|60-150,g_trend_slope_strong_with+g_mp_no_extreme,22,9,125,201.29032258064515,0.9090909090909092,0.7777777777777778,0.896,0.86,0.92,7.456245916030086,0.6950709442695933,12.12188894119111,10.368569812691364,13.290768360190938,1685.5291662999769,68.30325693822192,2,38.47110401985548,0.0,5,5,1.0,HIGH
3,s6_5m|0-60+r2|g_trend_slope_strong_with+g_mp_skew_with,s6_5m|0-60,g_trend_slope_strong_with+g_mp_skew_with,121,67,63,323.8709677419355,0.9090909090909092,0.9552238805970148,0.8888888888888888,0.9285714285714286,0.8095238095238095,16.423207147736285,6.284754239338079,12.411525211014958,13.834368014322028,9.56583960440082,3190.212687205684,84.33606651565526,2,14.454138506357165,0.002,5,4,0.8,HIGH
4,offset_s30|r2|g_trend_slope_strong_with+g_mp_skew_with,offset_s30,g_trend_slope_strong_with+g_mp_skew_with,144,81,132,460.64516129032256,0.9097222222222222,0.9382716049382716,0.8712121212121212,0.9014084507042254,0.8360655737704918,14.8822358908664,6.342143146939769,10.961872238380208,12.276409524774316,9.43183703618378,4103.72269865307,63.561979997868434,2,37.80288597734572,0.0,5,5,1.0,HIGH
5,offset_60-150|r3,offset_60-150,g_trend_slope_strong_with+g_mp_skew_with+g_mp_no_extreme,27,5,132,211.61290322580643,1.0,0.8,0.9015151515151516,0.8939393939393939,0.9090909090909092,15.402527965038397,-0.9299457856456506,12.745148298606304,10.171550713752325,15.31874588346028,2093.57810154384,100.0,4,53.53912492560724,0.0,5,5,1.0,HIGH
