sleeve_id,anchor,gate_stack,n_full,n_train,n_val,n_lockbox,wr_full,wr_train,wr_val,wr_lockbox,dpt_25_full,dpt_25_train,dpt_25_val,dpt_25_lockbox,sum_25_full,sum_25_lockbox,max_dd_25_full,max_dd_25_lockbox,loss_streak_full,loss_streak_lockbox,sharpe_full,sharpe_lockbox,n_32d_proj,bootstrap_p_lockbox,pass,fail_reason
offset_240-300|r2,offset_240-300,g_imb5_strong_with+g_rf_with,261,162,48,51,0.8467432950191571,0.8765432098765432,0.875,0.7254901960784313,6.523594980066302,4.567592937179859,4.325132486782519,14.80591910997269,1702.6582897973049,755.1018746086072,126.46738555398667,75.0,3,3,9.283124027682298,15.74192834935371,336.7741935483871,0.0,False,wr_lockbox_low
offset_240-300|r3,offset_240-300,g_imb5_strong_with+g_within_dev+g_rf_with,261,162,48,51,0.8467432950191571,0.8765432098765432,0.875,0.7254901960784313,6.523594980066302,4.567592937179859,4.325132486782519,14.80591910997269,1702.6582897973049,755.1018746086072,126.46738555398667,75.0,3,3,9.283124027682298,15.74192834935371,336.7741935483871,0.0,False,wr_lockbox_low
offset_240-300|r3,offset_240-300,g_imb5_strong_with+g_tr_above_ema800+g_rf_with,261,162,48,51,0.8467432950191571,0.8765432098765432,0.875,0.7254901960784313,6.523594980066302,4.567592937179859,4.325132486782519,14.80591910997269,1702.6582897973049,755.1018746086072,126.46738555398667,75.0,3,3,9.283124027682298,15.74192834935371,336.7741935483871,0.0,False,wr_lockbox_low
s15_5m|240-300+r2|g_imb5_strong_with+g_rf_with,s15_5m|240-300,g_imb5_strong_with+g_rf_with,261,162,48,51,0.8467432950191571,0.8765432098765432,0.875,0.7254901960784313,6.523594980066302,4.567592937179859,4.325132486782519,14.80591910997269,1702.6582897973049,755.1018746086072,126.46738555398667,75.0,3,3,9.283124027682298,15.74192834935371,336.7741935483871,0.0,False,wr_lockbox_low
s15_5m|240-300+r3|g_imb5_strong_with+g_within_dev+g_rf_with,s15_5m|240-300,g_imb5_strong_with+g_within_dev+g_rf_with,261,162,48,51,0.8467432950191571,0.8765432098765432,0.875,0.7254901960784313,6.523594980066302,4.567592937179859,4.325132486782519,14.80591910997269,1702.6582897973049,755.1018746086072,126.46738555398667,75.0,3,3,9.283124027682298,15.74192834935371,336.7741935483871,0.0,False,wr_lockbox_low
s15_5m|240-300+r3|g_imb5_strong_with+g_tr_above_ema800+g_rf_with,s15_5m|240-300,g_imb5_strong_with+g_tr_above_ema800+g_rf_with,261,162,48,51,0.8467432950191571,0.8765432098765432,0.875,0.7254901960784313,6.523594980066302,4.567592937179859,4.325132486782519,14.80591910997269,1702.6582897973049,755.1018746086072,126.46738555398667,75.0,3,3,9.283124027682298,15.74192834935371,336.7741935483871,0.0,False,wr_lockbox_low
stack_r5,any_offset,g_imb5_strong_with+g_hawkes_imbalance_with+g_rf_with+g_stoch_with+g_mp_no_extreme,129,86,19,24,0.7596899224806202,0.7790697674418605,0.8421052631578947,0.625,6.526224452457078,4.326662019574832,6.042669044880282,14.790804534616749,841.8829543669631,354.979308830802,175.0,110.61111081676717,7,3,7.68436979469425,74.01978382440879,166.4516129032258,0.0,False,wr_lockbox_low
stack_r5,any_offset,g_trend_slope_strong_with+g_imb5_strong_with+g_ribbon_agrees+g_rf_with+g_mp_skew_with,467,305,55,107,0.867237687366167,0.8721311475409836,0.7454545454545455,0.9158878504672897,9.740167641388586,8.978087187835808,4.185687832015741,14.767559490445633,4548.65828852847,1580.1288654776827,201.46401942251396,67.33333657847493,7,2,13.092692361159278,152.69609573607642,602.5806451612902,0.0,False,n_32d_out_of_band
stack_r4,any_offset,g_trend_slope_strong_with+g_imb5_strong_with+g_tr_above_ema800+g_mp_skew_with,541,341,61,139,0.8613678373382625,0.8856304985337243,0.7540983606557377,0.8489208633093526,9.432049578350798,8.269778760693546,3.807668905612297,14.75162921761822,5102.738821887781,2050.4764612489325,223.82974551345342,223.82974551345353,8,8,12.320255121338668,91.94733761757412,698.0645161290322,0.0,False,n_32d_out_of_band
stack_r5,any_offset,g_trend_slope_strong_with+g_imb5_strong_with+g_within_dev+g_tr_above_ema800+g_mp_skew_with,541,341,61,139,0.8613678373382625,0.8856304985337243,0.7540983606557377,0.8489208633093526,9.432049578350798,8.269778760693546,3.807668905612297,14.75162921761822,5102.738821887781,2050.4764612489325,223.82974551345342,223.82974551345353,8,8,12.320255121338668,91.94733761757412,698.0645161290322,0.0,False,n_32d_out_of_band
stack_r4,any_offset,g_queue_top_high+g_trend_slope_strong_with+g_imb5_strong_with+g_hawkes_imbalance_with,274,203,36,35,0.9087591240875912,0.9458128078817734,0.8333333333333334,0.7714285714285715,6.467690906442408,5.322099125953644,4.9033907495879605,14.721117680327533,1772.14730836522,515.2391188114636,125.0,100.0,5,4,10.160405342085747,13.15845497577131,353.5483870967742,0.245,False,bootstrap_p_high
stack_r5,any_offset,g_queue_top_high+g_trend_slope_strong_with+g_imb5_strong_with+g_hawkes_imbalance_with+g_within_dev,274,203,36,35,0.9087591240875912,0.9458128078817734,0.8333333333333334,0.7714285714285715,6.467690906442408,5.322099125953644,4.9033907495879605,14.721117680327533,1772.14730836522,515.2391188114636,125.0,100.0,5,4,10.160405342085747,13.15845497577131,353.5483870967742,0.245,False,bootstrap_p_high
stack_r5,any_offset,g_queue_top_high+g_trend_slope_strong_with+g_imb5_strong_with+g_hawkes_imbalance_with+g_tr_above_ema800,269,199,35,35,0.9144981412639405,0.9547738693467337,0.8285714285714286,0.7714285714285715,6.591029916266569,5.55688708335326,4.3407828307698395,14.721117680327533,1772.9870474757072,515.2391188114636,125.0,100.0,5,4,10.374803004303322,13.15845497577131,347.09677419354836,0.245,False,bootstrap_p_high
stack_r4,any_offset,g_trend_slope_strong_with+g_imb5_strong_with+g_hawkes_imbalance_with+g_tr_above_ema200,566,371,76,119,0.8763250883392226,0.9029649595687331,0.7105263157894737,0.8991596638655462,8.493739325115163,8.040773472750327,1.0890292945598699,14.634985489397154,4807.456458015182,1741.5632732382614,199.75252549091965,119.62195095889695,7,3,12.92244039821246,1976.0826326802746,730.3225806451612,0.0,False,n_32d_out_of_band
stack_r5,any_offset,g_trend_slope_strong_with+g_imb5_strong_with+g_hawkes_imbalance_with+g_within_dev+g_tr_above_ema200,566,371,76,119,0.8763250883392226,0.9029649595687331,0.7105263157894737,0.8991596638655462,8.493739325115163,8.040773472750327,1.0890292945598699,14.634985489397154,4807.456458015182,1741.5632732382614,199.75252549091965,119.62195095889695,7,3,12.92244039821246,1976.0826326802746,730.3225806451612,0.0,False,n_32d_out_of_band
stack_r5,any_offset,g_trend_slope_strong_with+g_imb5_strong_with+g_hawkes_imbalance_with+g_tr_above_ema200+g_tr_above_ema800,562,367,76,119,0.8790035587188612,0.9073569482288828,0.7105263157894737,0.8991596638655462,8.599449937782726,8.197714892122834,1.0890292945598699,14.634985489397154,4832.890865033892,1741.5632732382614,199.75252549091965,119.62195095889695,7,3,12.73689079679703,1976.0826326802746,725.1612903225806,0.0,False,n_32d_out_of_band
