g,n,wr,dpt,dd,ls,score
g_strong_favorite,21499,0.8084562072654542,-0.3257001142943203,7584.54188881743,16,118.54019292409161
g_tr_stack_with,8565,0.7688266199649737,-0.6612583411991073,5785.433073464885,13,71.15281647601415
g_tr_stack_full_with,8565,0.7688266199649737,-0.6612583411991073,5785.433073464885,13,71.15281647601415
g_R1_full,6510,0.7468509984639017,-1.028110270835303,6961.2667016963405,10,60.25935242376481
g_favorite,28231,0.7383018667422337,-0.6572124416639531,19055.945575231268,15,124.05009394800304
g_tr_full_stack_with,16757,0.7195202005132184,-1.1083831494925775,18698.080844788175,42,93.14104926179367
g_cci_extreme_with,5596,0.7017512508934953,-0.9658107681096556,6028.1428427160845,7,52.4954965902672
g_tr_partial_stack_with,20993,0.6914685847663506,-1.2169376238432565,26167.099464813404,42,100.18661575514139
g_tr_above_ema200,26222,0.6904889024483258,-1.290699577754938,34223.4357765936,42,111.81230731779658
g_R1_six,16320,0.6900122549019608,-1.4175526235774059,23435.539243748044,10,88.14889677387336
g_mp_no_extreme_50,21420,0.6840802987861812,-1.2134083421902522,26679.91635787882,8,100.11907219962593
g_bb_pos_extreme_with,10221,0.67331963604344,-1.542986734948006,15967.808454410506,7,68.07191590700937
g_ribbon_agrees,25060,0.6731444533120511,-1.5651176425105067,39820.814567815294,11,106.5611269784671
g_cci_strong_with,14521,0.656359754837821,-1.7392906001851522,25315.865213144876,9,79.09339304492678
g_mp_wt_no_extreme_100,12444,0.6531661845065895,-1.0276000453816758,12821.505955568302,5,72.86243715159108
g_tr_above_ema800,26193,0.6528843584163708,-2.1331395808271,56043.16259325325,42,105.66444725298268
g_R1_five,22129,0.6493289348818293,-1.8933256100112137,42091.76705508721,10,96.59299904919095
g_vwap_in_55_80,13141,0.6490373639753444,-0.8610193768098379,11697.129292764143,19,74.40187952831376
g_tr_above_cloud,26427,0.6486547848791009,-1.8688206481358438,49490.33349119204,42,105.44780852344702
g_bb_pos_strong_with,16242,0.6470262282970077,-1.9614482536569013,31971.162328481387,7,82.45967883258614
g_mp_no_extreme_100,34608,0.6389852057327785,-1.4460481145058612,50074.731903106374,10,118.87185890518691
g_stoch_extreme_with,9773,0.6367543231351683,-2.6483359069868384,26054.92860211949,23,62.94856752039837
g_ev_ge_30,39006,0.6342613956827154,-1.331841969830583,52052.83195342261,11,125.26622421542999
g_mfi_extreme_with,16067,0.6230783593701376,-2.7191718074183426,44721.81235725203,12,78.97871520640511
g_ribbon_slope_strong,1511,0.613500992720053,-3.5144665189253175,5714.475703964006,9,23.84775503588313
g_vwap_in_45_85,21958,0.6120776026960562,-1.0621556957491913,23521.002093940122,15,90.69907926894845
g_bb_pos_with,25247,0.610963678852933,-2.4300526077446034,61950.993141639185,11,97.07787979919263
g_cci_with,25279,0.6109418885240714,-2.4764913513634137,62994.97485834254,11,97.13591779751586
g_mp_no_extreme_150,40032,0.6076638689048761,-1.797912238419459,72091.41979826614,7,121.58137717175282
g_tr_above_ema50,26611,0.6070422005937395,-2.4643110734175906,66143.68956065978,42,99.02605570450268
g_mfi_strong_with,20690,0.6053165780570324,-2.7895824288235613,58749.16534997315,17,87.06885105240723
g_stoch_strong_with,15176,0.6018713758566157,-3.09012498696578,47043.478585328965,33,74.1450817456851
g_mfi_with,25283,0.5877467072736622,-2.9569307916100405,75919.04788535045,16,93.45542290357804
g_rf_full_align,16306,0.5749417392370907,-2.5407312300680642,42118.04397564033,10,73.41715606959811
g_f7_rsi_with,567,0.5696649029982364,-3.8733450058367063,2440.7167623915775,10,13.5647249757756
g_rf_with,25478,0.5690792055891357,-2.933232187075479,75317.49649758235,12,90.83545234013468
g_stoch_with,25043,0.5603561873577447,-3.680967295464936,92367.08921549462,31,88.67625599443873
g_mp_skew_change_with,3247,0.5497382198952879,-3.5884372088319942,12079.25402710667,9,31.32543251917025
g_rf_strong,20847,0.5431956636446491,-3.174383854981218,66966.94492760078,11,78.42925280220389
g_rf_strict_align,391,0.5370843989769821,-4.485497416748419,1847.0832910781482,7,10.620156485907646
g_ribbon_slope_with,25575,0.5363049853372434,-3.466245326386398,88968.6590132759,12,85.76688859277589
g_cvd_with,2223,0.5335132703553757,-5.745165674319652,12798.164604091595,14,25.15445762964242
g_vwap_in_40_70,17912,0.5194841447074587,-1.5939198084298627,28579.705425919987,8,69.52553463658445
g_ev_in_40_70,17912,0.5194841447074587,-1.5939198084298627,28579.705425919987,8,69.52553463658445
g_sms_liq_reclaim_with,5540,0.5166064981949459,-4.037258937676171,23078.259829100185,79,38.45162932612785
g_rsi_extreme_against,889,0.5016872890888638,-3.7870007164825443,5289.358636165319,31,14.958359901193488
mgf_g_mp_no_extreme,389,0.5012853470437018,-4.9264372820192674,2004.3615422993637,2,9.88689246798618
mgf_g_book_slope_steep_against,2053,0.5002435460301997,-4.017513573848174,8328.580327694264,2,22.666056599528183
g_offset_mid_early,11853,0.5000421834134818,-2.5490986024232263,30531.55780628992,3,54.44033450569262
g_offset_le_120,24081,0.5000207632573398,-2.192806109182098,53338.45448999397,3,77.59349206203848
g_offset_le_90,18142,0.5,-1.9952199248964937,36554.664644757286,3,67.34612089794037
g_offset_early,12228,0.5,-1.84744015216647,22864.788207357713,3,55.29014378711634
g_offset_60_only,6234,0.5,-2.0312054932620605,12748.875022711181,2,39.477841886303764
g_offset_30_only,5994,0.5,-1.6563168394554413,10175.048414087605,2,38.71046370169182
g_offset_le_60,12228,0.5,-1.84744015216647,22864.788207357713,3,55.29014378711634
g_f7_rsi_oversold,542,0.4981549815498155,-6.843575734237045,3715.381959110593,2,11.597493048864061
mgf_g_flow_with_and_no_whale,4193,0.4977343191032674,-6.52038411531002,27346.2484660363,4,32.229978652933035
mgf_g_hawkes_imbalance_with,4040,0.4975247524752475,-6.398875087439313,25839.907310203704,3,31.62316797025952
mgf_g_mp_change_with,398,0.49748743718592964,-5.786473436414696,2714.646601440952,2,9.924843200918293
mgf_g_imb_change_with,392,0.49744897959183676,-4.955732585580328,2422.317595958314,3,9.848987309384055
mgf_g_markov_with,2136,0.49719101123595505,-6.206928925789922,13618.526268569422,4,22.978617319860312
g_offset_mid,11913,0.49660035255603124,-3.8530496248665824,45902.56965645346,4,54.20228487546886
mgf_g_hl_liq_cascade_with,659,0.496206373292868,-5.883483067788904,4076.8447376830563,3,12.738111479601983
mgf_g_queue_top_high,1610,0.4956521739130435,-8.145113831208747,13389.50192914418,3,19.88794697254115
g_f7_rsi_overbought,590,0.49491525423728816,-6.172848571477674,3673.6309973208604,4,12.021449756052226
g_compression_extra_tight,25477,0.4941712132511677,-3.5384686337028075,90212.46634040841,5,78.87721835125907
g_vwap_in_30_75,25311,0.49357986646122237,-1.9902584313237137,50454.5819700927,6,78.52574909989748
g_compression_tight,39594,0.4911350204576451,-3.8942827839764407,154235.60599530296,6,97.7272306361915
g_dir_up,26930,0.4882287411808392,-4.521931093403524,125445.16770322734,110,80.12010664649463
g_atr_low,14118,0.48795863436747416,-4.132571413113946,58361.881244275195,6,57.97884986921981
g_sms_no_liquidity_above,48410,0.48781243544722164,-4.3429071842233125,210642.4640469482,64,107.32982187205073
g_tight_ribbon,48303,0.48734033082831296,-4.2368331503784535,204687.17899128253,7,107.1073825079228
g_hod_eu_morning,11784,0.48727087576374745,-3.7910639138235713,44973.95982063678,6,52.8952679229006
g_tr_within_adr,28043,0.4864672110687159,-4.395497265504801,123375.65532984154,7,81.46401471447022
g_hod_european_morning,9596,0.4864526886202584,-3.9535526179395406,38641.85698411388,6,47.65250413650227
g_hod_quiet,8869,0.4852858270379975,-4.737453224977715,42285.18310986331,5,45.7019715063972
g_hod_avoid_us,31710,0.484957426679281,-4.307884773018082,136638.4534809601,7,86.35783292483656
