stack,depth,n,wr,dpt,dd,ls,score
g_f7_rsi_with|g_vwap_in_45_85,2,117,0.7350427350427351,1.6443948943133146,158.81235138856346,4,17.78685032567353
g_f7_rsi_with|g_vwap_in_55_80,2,74,0.7297297297297297,1.6187027615391631,121.16484433515151,3,13.92460766542002
g_f7_rsi_with|g_rf_with|g_vwap_in_45_85,3,95,0.8,3.686331272486741,56.48500305180454,2,35.9299127997662
g_bb_pos_strong_with|g_f7_rsi_with|g_vwap_in_45_85,3,94,0.7978723404255319,3.5081549832136734,56.48500305180454,2,34.01282449763929
g_cci_strong_with|g_f7_rsi_with|g_vwap_in_45_85,3,88,0.7954545454545454,3.6105519774207053,62.92736541852693,2,33.86997979311145
g_f7_rsi_with|g_tr_above_ema50|g_vwap_in_45_85,3,99,0.797979797979798,3.368899779337018,56.48500305180454,2,33.520129573115966
g_bb_pos_with|g_f7_rsi_with|g_vwap_in_45_85,3,98,0.7959183673469388,3.285270590876718,56.48500305180454,2,32.522519579783285
g_cci_with|g_f7_rsi_with|g_vwap_in_45_85,3,97,0.7938144329896907,3.2631078515653535,56.4850030518046,2,32.13788522199155
g_f7_rsi_with|g_ribbon_agrees|g_vwap_in_45_85,3,98,0.7959183673469388,3.2010334578650093,76.30480233539845,2,31.68861450805919
g_f7_rsi_with|g_tr_above_cloud|g_vwap_in_45_85,3,97,0.7938144329896907,3.114811532188912,76.30480233539845,2,30.677335859923243
g_R1_five|g_f7_rsi_with|g_vwap_in_45_85,3,96,0.7916666666666666,3.090642315815056,76.30480233539845,2,30.28198660480251
g_f7_rsi_with|g_tr_partial_stack_with|g_vwap_in_45_85,3,96,0.7916666666666666,3.078693672267251,76.30480233539845,2,30.164914285560425
g_f7_rsi_with|g_tr_above_ema200|g_vwap_in_45_85,3,98,0.7857142857142857,2.9248149911320467,76.30480233539845,2,28.954191195237588
g_bb_pos_extreme_with|g_rf_strict_align|g_tr_full_stack_with,3,108,0.8333333333333334,2.6910683078624125,87.77067960620701,3,27.966402215136622
g_ev_ge_30|g_f7_rsi_with|g_rf_with,3,291,0.9072164948453608,1.6350051211044996,98.82999811794298,2,27.891098008092836
g_f7_rsi_with|g_mfi_with|g_vwap_in_45_85,3,76,0.7894736842105263,3.018890299862068,58.56911645882087,2,26.31807547746791
g_f7_rsi_with|g_favorite|g_rf_with,3,285,0.9157894736842105,1.5510734294473012,73.82999811794292,2,26.185133249769088
g_f7_rsi_with|g_mfi_with|g_mp_no_extreme_150,3,267,0.8876404494382022,1.555224749507521,121.75590191889978,2,25.41258179987534
g_f7_rsi_with|g_tr_above_ema50|g_vwap_in_55_80,3,66,0.7727272727272727,3.1106893180321324,71.16484433515151,2,25.27135948458389
g_cci_strong_with|g_f7_rsi_with|g_mp_no_extreme_150,3,258,0.9108527131782945,1.5408159746756374,73.82999811794298,2,24.749169236490214
g_cci_strong_with|g_ev_ge_30|g_f7_rsi_with,3,258,0.9108527131782945,1.5408159746756374,73.82999811794298,2,24.749169236490214
g_cci_strong_with|g_f7_rsi_with|g_favorite,3,256,0.9140625,1.5432809441597328,73.82999811794292,2,24.692495106555725
g_cci_with|g_f7_rsi_with|g_vwap_in_55_80,3,65,0.7692307692307693,2.9806297652565266,71.16484433515151,2,24.030605419748717
g_bb_pos_with|g_f7_rsi_with|g_vwap_in_55_80,3,65,0.7692307692307693,2.9806297652565266,71.16484433515151,2,24.030605419748717
g_mfi_strong_with|g_rf_strict_align|g_tr_full_stack_with,3,119,0.8151260504201681,2.201456290288554,115.3713270570902,3,24.015052903711744
g_cci_strong_with|g_f7_rsi_with|g_mp_no_extreme_100,3,246,0.9146341463414634,1.5011427779451236,74.33499762650877,2,23.544504483745108
