stack,depth,n_tr,wr_tr,dpt_tr,dd_tr,ls_tr,n_v,wr_v,dpt_v,dd_v,ls_v,n_l,wr_l,dpt_l,dd_l,ls_l,sum_l,score_l,fingerprint,n_atoms
g_cci_strong_with|g_f7_rsi_with|g_mfi_with|g_tr_partial_stack_with|g_vwap_in_45_85,5,61,0.8032786885245902,3.1010450270491545,108.70212164995507,2,38,0.7894736842105263,2.782332810655907,50.0,2,87,0.8390804597701149,4.617816631533966,92.0697366196198,3,401.7500469434551,43.07212611997507,87_0.8391_4.6178_92.07_3,5
g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_ribbon_agrees|g_vwap_in_45_85,5,23,0.782608695652174,3.796632041598902,68.9264201546115,2,12,0.6666666666666666,-2.5834524440704905,75.0,3,67,0.8208955223880597,5.109132985205964,76.1839633859794,3,342.31191000879954,41.8200558423206,67_0.8209_5.1091_76.18_3,5
g_cci_strong_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_vwap_in_45_85,4,20,0.8,4.930661466787866,50.0,2,9,0.6666666666666666,-2.4564170325402097,50.0,2,55,0.8363636363636363,5.623149676190938,51.1839633859794,2,309.2732321905016,41.702394121279696,55_0.8364_5.6231_51.18_2,4
g_f7_rsi_with|g_mp_no_extreme_150|g_tr_above_ema200|g_vwap_in_55_80,4,64,0.765625,2.865879468229633,90.9846436187454,3,32,0.78125,2.650612888544843,50.23387033328111,2,95,0.8210526315789474,4.231881612991661,96.1193790852462,3,402.02875323420784,41.24727977340816,95_0.8211_4.2319_96.12_3,4
g_f7_rsi_with|g_mfi_with|g_tr_above_ema200|g_vwap_in_55_80,4,41,0.7560975609756098,2.028106397493416,109.18765642148604,2,27,0.7777777777777778,2.39689223328171,50.23387033328111,2,78,0.8333333333333334,4.65764870114027,64.10659976041318,2,363.29659868894106,41.13523952783337,78_0.8333_4.6576_64.11_2,4
g_f7_rsi_with|g_mp_no_extreme_150|g_ribbon_agrees|g_vwap_in_55_80,4,65,0.7692307692307693,2.853626087792721,90.9846436187454,3,32,0.78125,2.648825574709833,50.23387033328111,2,99,0.8181818181818182,4.117097624485862,96.1193790852462,3,407.5926648241004,40.96460413704941,99_0.8182_4.1171_96.12_3,4
g_f7_rsi_with|g_mp_wt_no_extreme_100|g_ribbon_agrees|g_vwap_in_45_85,4,23,0.782608695652174,3.796632041598902,68.9264201546115,2,12,0.6666666666666666,-2.5834524440704905,75.0,3,71,0.8028169014084507,4.830394478636707,76.1839633859794,3,342.95800798320624,40.70162734051703,71_0.8028_4.8304_76.18_3,4
g_bb_pos_strong_with|g_f7_rsi_with|g_vwap_in_55_80,3,64,0.765625,2.924356385265718,71.16484433515151,2,28,0.8214285714285714,3.863399606156973,43.79268053865134,1,77,0.8311688311688312,4.626578112637939,89.10659976041316,3,356.24651467312134,40.598058173885775,77_0.8312_4.6266_89.11_3,3
g_cci_strong_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_tr_partial_stack_with|g_vwap_in_45_85,5,20,0.8,4.930661466787866,50.0,2,9,0.6666666666666666,-2.4564170325402097,50.0,2,54,0.8333333333333334,5.5238283712987535,51.1839633859794,2,298.2867320501327,40.591682809173015,54_0.8333_5.5238_51.18_2,5
g_cci_strong_with|g_f7_rsi_with|g_mfi_with|g_vwap_in_45_85,4,61,0.8032786885245902,3.1010450270491545,108.70212164995507,2,38,0.7894736842105263,2.782332810655907,50.0,2,88,0.8295454545454546,4.281250533448352,92.0697366196198,3,376.750046943455,40.16168994767723,88_0.8295_4.2813_92.07_3,4
g_bb_pos_with|g_f7_rsi_with|g_mp_no_extreme_150|g_mp_wt_no_extreme_100|g_vwap_in_55_80,5,19,0.8421052631578947,6.655966480314054,25.0,1,10,0.6,-4.157936332778167,75.0,3,48,0.8541666666666666,5.765387628552748,51.1839633859794,2,276.7386061705319,39.943777191929605,48_0.8542_5.7654_51.18_2,5
g_bb_pos_strong_with|g_f7_rsi_with|g_mp_no_extreme_150|g_vwap_in_55_80,4,64,0.765625,2.924356385265718,71.16484433515151,2,28,0.8214285714285714,3.863399606156973,43.79268053865134,1,76,0.8289473684210527,4.550161507740632,89.10659976041316,3,345.812274588288,39.66738837806016,76_0.8289_4.5502_89.11_3,4
g_bb_pos_with|g_f7_rsi_with|g_mp_no_extreme_150|g_vwap_in_55_80,4,65,0.7692307692307693,2.9806297652565266,71.16484433515151,2,32,0.78125,2.648825574709833,50.23387033328111,2,92,0.8152173913043478,4.109717821134813,96.1193790852462,3,378.0940395444028,39.4190285570368,92_0.8152_4.1097_96.12_3,4
g_cci_strong_with|g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_vwap_in_45_85,5,20,0.8,4.930661466787866,50.0,2,9,0.6666666666666666,-2.4564170325402097,50.0,2,52,0.8461538461538461,5.454367965694132,51.18396338597941,2,283.6271342160949,39.3320067511168,52_0.8462_5.4544_51.18_2,5
g_cci_strong_with|g_f7_rsi_with|g_mfi_with|g_mp_no_extreme_150|g_vwap_in_45_85,5,61,0.8032786885245902,3.1010450270491545,108.70212164995507,2,38,0.7894736842105263,2.782332810655907,50.0,2,87,0.8275862068965517,4.210526515616341,92.0697366196198,3,366.31580685862167,39.2731768242349,87_0.8276_4.2105_92.07_3,5
g_bb_pos_with|g_f7_rsi_with|g_favorite|g_mp_wt_no_extreme_100|g_vwap_in_45_85,5,23,0.782608695652174,3.796632041598902,68.9264201546115,2,12,0.6666666666666666,-2.5834524440704905,75.0,3,66,0.8181818181818182,4.816696886645024,76.1839633859794,3,317.90199451857154,39.13103049059464,66_0.8182_4.8167_76.18_3,5
g_R1_five|g_bb_pos_strong_with|g_f7_rsi_with|g_vwap_in_55_80,4,63,0.7619047619047619,2.656174751958922,90.9846436187454,3,28,0.8214285714285714,3.863399606156973,43.79268053865134,1,76,0.8289473684210527,4.461671646810695,89.10659976041316,3,339.0870451576128,38.89595165541703,76_0.8289_4.4617_89.11_3,4
g_f7_rsi_with|g_mp_no_extreme_150|g_mp_wt_no_extreme_100|g_tr_above_ema200|g_vwap_in_55_80,5,19,0.8421052631578947,6.655966480314054,25.0,1,10,0.6,-4.157936332778167,75.0,3,47,0.851063829787234,5.654300128301341,51.1839633859794,2,265.752106030163,38.7639286866373,47_0.8511_5.6543_51.18_2,5
g_bb_pos_with|g_f7_rsi_with|g_ribbon_agrees|g_vwap_in_55_80,4,64,0.765625,2.7175177415325056,90.9846436187454,3,32,0.78125,2.648825574709833,50.23387033328111,2,92,0.8152173913043478,4.036617501236169,121.1193790852462,3,371.36881011372753,38.71787491996847,92_0.8152_4.0366_121.12_3,4
g_bb_pos_strong_with|g_cci_strong_with|g_f7_rsi_with|g_mfi_with|g_vwap_in_45_85,5,61,0.8032786885245902,3.1010450270491545,108.70212164995507,2,38,0.7894736842105263,2.782332810655907,50.0,2,82,0.8292682926829268,4.205907955908925,92.0697366196198,3,344.88445238453187,38.0861163963116,82_0.8293_4.2059_92.07_3,5
g_bb_pos_with|g_f7_rsi_with|g_mp_wt_no_extreme_100|g_vwap_in_45_85,4,23,0.782608695652174,3.796632041598902,68.9264201546115,2,12,0.6666666666666666,-2.5834524440704905,75.0,3,70,0.8,4.550687035613975,76.1839633859794,3,318.54809249297824,38.073779359650615,70_0.8000_4.5507_76.18_3,4
g_bb_pos_strong_with|g_f7_rsi_with|g_tr_partial_stack_with|g_vwap_in_55_80,4,63,0.7619047619047619,2.656174751958922,90.9846436187454,3,28,0.8214285714285714,3.863399606156973,43.79268053865134,1,75,0.8266666666666667,4.374673933563251,89.10659976041316,3,328.10054501724386,37.88578759739374,75_0.8267_4.3747_89.11_3,4
