edge,daily,liq,competitive,dte,max_spread,min_size,price,q,slug,cid,vol24
81.081,105.0,295.0,0.5,27,4.5,50,0.51,Will Natural Gas (NG) hit (LOW) $3.00 in June?,will-ng-dip-to-3-00-in-june-2026,0x508c47e0f243d168fb9fed49a8ea497dd2f5951b0af2d7c1c524eea5b5b3b041,3887.0
66.909,147.0,1197.0,0.999,,4.5,20,0.465,Will Floriana Natale win the 2026 San Giovanni Rotondo mayor,will-floriana-natale-win-the-2026-san-giovanni-rotondo-mayoral-election,0xd509a9f7e5d65d24e212bd699dfa7a7a594706f70130d75391d6fddf4646e72d,216.0
58.358,59.0,11.0,0.09,,4.5,50,0.485,Will ISM Services PMI be between 52.0 and 52.9 in May?,will-ism-services-pmi-be-between-52pt0-and-52pt9-in-may,0xad11eeb7cd3f9d70514376b4c7ad301d26ef53063f3c8f29c24892413399c66f,0.0
53.289,64.0,201.0,0.649,20,4.5,50,0.28,Will Micron Q3 adjusted gross margin be between 80% and 82.5,will-micron-q3-adjusted-gross-margin-be-between-80-and-82pt5-167,0x75851f8b7f41b13bed3a64519d29bba2c2f307020a4b7aab8b824692d2d6ecf1,0.0
43.447,60.0,381.0,0.706,21,4.5,20,0.29,Will Durable Goods Orders MoM be between -4% and -2% in May?,will-durable-goods-orders-mom-be-between-4-and-2-in-may,0x53e89613eabcba90082dae04a0b9fcfc5bff55bb890e567c66ca7597e98ea401,11.0
42.05,105.0,1497.0,0.991,27,4.5,50,0.595,Will Natural Gas (NG) hit (HIGH) $3.40 in June?,will-ng-reach-3-40-in-june-2026,0xd654459b14ca4a1a94a604089483b53a671aeeca66a41a3f86649f1bc8fd53d7,8.0
36.274,44.0,213.0,0.511,21,4.5,20,0.2185,Will Durable Goods Orders MoM be between -2% and 0% in May?,will-durable-goods-orders-mom-be-between-2-and-0-in-may,0xada45e88850ef9eeb67e2670dbad96799387a4b453c726fbcfb96ad7e03b2acd,20.0
32.841,60.0,827.0,0.882,26,4.5,20,0.135,Will USD be at least 2.0M Iranian rials on June 30?,will-usd-be-at-least-2pt0m-iranian-rials-on-june-30,0xd079e8a907710c661808ae8345915d5d67b06f6276721cbb6398f93861e334a5,154.0
31.119,52.0,671.0,0.999,,4.5,20,0.53,Will Rossella Fini win the 2026 San Giovanni Rotondo mayoral,will-rossella-fini-win-the-2026-san-giovanni-rotondo-mayoral-election,0xac7e59c98cf6c4ed3ec2005ed9c855c7c4e9732fd095849d45a12d20c62ad2cc,154.0
29.966,62.0,1069.0,1.0,27,4.5,50,0.515,Will Silver (XAGUSD) hit (HIGH) $80 in June?,will-xagusd-reach-80-in-june-2026,0x483219bce43fc74badc825449e15042a1bbff81125af1e808eaba39b224a68cf,44.0
28.795,81.0,1813.0,0.993,27,4.5,50,0.585,Will S&P 500 (SPY) hit (HIGH) $770 in June?,will-spy-reach-770-in-june-2026,0x04a38371e90489b72020d3b91ca4fb6b29f853bbb6220c5b4060dd36480250c3,2328.0
28.772,45.0,564.0,0.998,27,4.5,50,0.455,Will Palantir Technologies Inc. (PLTR) hit (HIGH) $168 in Ju,will-pltr-reach-168-in-june-2026,0xbf3a6fc342bc4bd5282ea4601564c47e8248327e69fe2c5fa95ae01be56325a5,1075.0
26.824,100.0,2728.0,0.946,,4.5,100,0.74,Will any match last over 70 minutes at BLAST Slam VII?,will-any-match-last-over-70-minutes-at-blast-slam-vii-20260602173213019,0xdbac457844a7c4372f195cc5cf81eda0add4d10dd43a91c4bcbcfeaf4f5e9fbe,581.0
26.786,60.0,1240.0,1.0,26,4.5,20,0.495,Will USD reach 1.8M Iranian rials by June 30?,will-usd-reach-1pt8m-iranian-rials-by-june-30,0xf3ac84cfc033f0def72d252ff0901ac5e57744cbce8d750c854166235f44b444,2681.0
24.059,101.0,3198.0,0.994,226,4.5,20,0.58,Will Bola Tinubu win the 2027 Nigerian Presidential Election,will-bola-tinubu-win-the-2027-nigerian-presidential-election-20260602163030949,0xdb66349b5658e7ce54667294bb61ca2f98d68f8afde5c711284d7e9c5a5e5787,1587.0
23.839,58.0,1433.0,0.982,27,4.5,50,0.365,Will S&P 500 (SPY) hit (LOW) $730 in June?,will-spy-dip-to-730-in-june-2026,0x08e5b7dac802303bc7125d8b9e8365f537b09749270262ac6116532656a2bce1,2380.0
23.461,93.0,2964.0,0.994,27,4.5,50,0.425,"Will Gold (XAUUSD) hit (LOW) $4,300 in June?",will-xauusd-dip-to-4300-in-june-2026,0x0c8c8e15e571932f9d39888f4a037b8a726363afa6308e27a7a68728b01b5f0c,8381.0
22.927,60.0,1617.0,0.862,26,4.5,20,0.1,Will USD fall to 1.5M Iranian rials by June 30?,will-usd-fall-to-1pt5m-iranian-rials-by-june-30,0x8ceb1a8663f08d6d25b692032f4b80633dd4d1ad7295a9419ce34e57c676a585,651.0
22.684,60.0,1645.0,0.985,26,4.5,20,0.375,Will USD be between 1.8M and 1.9M Iranian rials on June 30?,will-usd-be-between-1pt8m-and-1pt9m-iranian-rials-on-june-30,0xd35f30b498f9266fece58fae2fc231b20e8d3b0480d1539dc475c402bc4d6fd4,105.0
21.231,60.0,1826.0,0.882,26,4.5,20,0.135,Will USD be between 1.6M and 1.7M Iranian rials on June 30?,will-usd-be-between-1pt6m-and-1pt7m-iranian-rials-on-june-30,0x448fd8bc89bb9d630674711deb68a5463f699925debeab96351d822cc4880946,55.0
19.98,60.0,2003.0,0.925,26,4.5,20,0.215,Will USD fall to 1.6M Iranian rials by June 30?,will-usd-fall-to-1pt6m-iranian-rials-by-june-30,0xae57dbbdcd47bf37834186a5df99440e42f8448afc2a771c585adb50cd4358ae,2498.0
19.255,60.0,2116.0,0.91,26,4.5,20,0.185,Will USD be between 1.9M and 2.0M Iranian rials on June 30?,will-usd-be-between-1pt9m-and-2pt0m-iranian-rials-on-june-30,0x8f0692aed0a7c9654cf1aedf6a259588ecdd468e606cfe29114d4d6371760152,108.0
