sleeve,elastic_net,elastic_net_topN,hybrid_v1_AND,logistic_l2,logistic_l2_topN,logistic_poly2,logistic_poly2_topN,ridge,ridge_topN
BTC_S15_150_240,4373.0,262.0,565.0,5640.0,81.0,11055.0,3193.0,4425.0,76.0
BTC_S6_60_150,5945.0,1834.0,1224.0,6002.0,1852.0,7470.0,3239.0,6002.0,2007.0
ETH_S15_150_240,794.0,196.0,-66.0,959.0,181.0,896.0,122.0,583.0,165.0
ETH_S6_60_150,4465.0,1395.0,469.0,4444.0,1081.0,4650.0,-164.0,4748.0,1142.0
S7_BTC_5m_base,15802.0,1372.0,1429.0,24799.0,471.0,26564.0,7113.0,19100.0,389.0
SOL_S15_60_150,4689.0,1882.0,60.0,4753.0,1481.0,4296.0,1789.0,3959.0,1311.0
SOL_S6_60_150,4310.0,396.0,-88.0,4121.0,685.0,7049.0,1299.0,4204.0,466.0
