n,wr,dpt,sum_pnl,sleeve,variant,split,threshold,boot_p,n_universe
423,0.75177304964539,4.3757869862851315,1850.9578951986107,BTC_S6_60_150,hybrid_v1_AND,train,,,479
309,0.7605177993527508,2.765465932793457,854.5289732331782,BTC_S6_60_150,hybrid_v1_AND,val,,,427
483,0.6770186335403726,2.5350198422530106,1224.414583808204,BTC_S6_60_150,hybrid_v1_AND,lockbox,,,3851
384,0.7734375,2.9372646270107197,1127.9096167721164,BTC_S6_60_150,ridge,val,0.5050871527933614,,427
3328,0.6899038461538461,1.803390885304959,6001.684866294903,BTC_S6_60_150,ridge,lockbox,0.5050871527933614,0.0,3851
483,0.8592132505175983,4.154986899217974,2006.8586723222813,BTC_S6_60_150,ridge_topN,lockbox,0.8905081128505101,,3851
384,0.7760416666666666,3.0234342732246375,1160.9987609182608,BTC_S6_60_150,elastic_net,val,0.5334910896955061,,427
3367,0.6875556875556875,1.7656620049563907,5944.983970688168,BTC_S6_60_150,elastic_net,lockbox,0.5334910896955061,0.0,3851
483,0.8612836438923396,3.79791186918603,1834.3914328168523,BTC_S6_60_150,elastic_net_topN,lockbox,0.8694864055935693,,3851
384,0.765625,2.6600561150036106,1021.4615481613864,BTC_S6_60_150,logistic_l2,val,0.4154588739568764,,427
3292,0.6904617253948967,1.8232167059296605,6002.029395920442,BTC_S6_60_150,logistic_l2,lockbox,0.4154588739568764,0.0,3851
483,0.8571428571428571,3.834537919203702,1852.0818149753882,BTC_S6_60_150,logistic_l2_topN,lockbox,0.9342890657757967,,3851
341,0.7741935483870968,2.563331925060452,874.0961864456142,BTC_S6_60_150,logistic_poly2,val,0.48349442387166097,,427
3094,0.7000646412411118,2.4142961707282957,7469.832352233347,BTC_S6_60_150,logistic_poly2,lockbox,0.48349442387166097,0.0,3851
483,0.7991718426501035,6.705267600846288,3238.6442512087574,BTC_S6_60_150,logistic_poly2_topN,lockbox,0.9431719972709548,,3851
306,0.6372549019607843,0.980390765860482,299.9995743533075,ETH_S6_60_150,hybrid_v1_AND,train,,,315
229,0.6812227074235808,1.6328631518120338,373.92566176495575,ETH_S6_60_150,hybrid_v1_AND,val,,,328
367,0.7193460490463215,1.2782381811634396,469.1134124869823,ETH_S6_60_150,hybrid_v1_AND,lockbox,,,3256
311,0.684887459807074,1.097033686776419,341.1774765874663,ETH_S6_60_150,ridge,val,0.17016101929364014,,328
3144,0.7245547073791349,1.5101574603208905,4747.9350552488795,ETH_S6_60_150,ridge,lockbox,0.17016101929364014,0.0,3256
367,0.8310626702997275,3.1122455262808164,1142.1941081450595,ETH_S6_60_150,ridge_topN,lockbox,1.0579940569086448,,3256
311,0.6881028938906752,1.253106252538276,389.7160445394038,ETH_S6_60_150,elastic_net,val,0.22355650342809527,,328
3104,0.7222938144329897,1.4385658360462752,4465.308355087638,ETH_S6_60_150,elastic_net,lockbox,0.22355650342809527,0.0,3256
367,0.8664850136239782,3.801963301573037,1395.3205316773046,ETH_S6_60_150,elastic_net_topN,lockbox,0.9752842555368207,,3256
311,0.684887459807074,1.1020489135099163,342.73721210158396,ETH_S6_60_150,logistic_l2,val,0.09418217157316802,,328
3094,0.7236586942469295,1.4363786356129584,4444.155498586493,ETH_S6_60_150,logistic_l2,lockbox,0.09418217157316802,0.0,3256
367,0.8337874659400545,2.944371372656377,1080.5842937648904,ETH_S6_60_150,logistic_l2_topN,lockbox,0.9783385248652531,,3256
213,0.7230046948356808,0.840239513300178,178.97101633293792,ETH_S6_60_150,logistic_poly2,val,0.39386098887744686,,328
2185,0.7363844393592678,2.1280795238469055,4649.853759605488,ETH_S6_60_150,logistic_poly2,lockbox,0.39386098887744686,0.0,3256
367,0.7057220708446866,-0.4479242828416124,-164.38821180287175,ETH_S6_60_150,logistic_poly2_topN,lockbox,0.9196428893621922,,3256
189,0.8571428571428571,1.5287900445457014,288.9413184191376,SOL_S6_60_150,hybrid_v1_AND,train,,,245
193,0.8290155440414507,1.6118568082918399,311.0883640003251,SOL_S6_60_150,hybrid_v1_AND,val,,,322
223,0.7130044843049327,-0.39578869670166794,-88.26087936447195,SOL_S6_60_150,hybrid_v1_AND,lockbox,,,2699
289,0.8166089965397924,0.9842659583838356,284.4528619729285,SOL_S6_60_150,ridge,val,0.41090253589710796,,322
2648,0.7107250755287009,1.5877427662210726,4204.3428449534,SOL_S6_60_150,ridge,lockbox,0.41090253589710796,0.0,2699
223,0.8071748878923767,2.0884347620534105,465.7209519379105,SOL_S6_60_150,ridge_topN,lockbox,0.9896396065884258,,2699
289,0.8096885813148789,0.7316608481465553,211.4499851143545,SOL_S6_60_150,elastic_net,val,0.4514033601425909,,322
2635,0.711954459203036,1.635573522697045,4309.736232306714,SOL_S6_60_150,elastic_net,lockbox,0.4514033601425909,0.0,2699
223,0.7982062780269058,1.7777366687929628,396.4352771408307,SOL_S6_60_150,elastic_net_topN,lockbox,0.9703661984253802,,2699
289,0.8166089965397924,1.0596441731832626,306.2371660499629,SOL_S6_60_150,logistic_l2,val,0.1496454559962475,,322
2633,0.7102164830991264,1.5652223983149929,4121.230574763376,SOL_S6_60_150,logistic_l2,lockbox,0.1496454559962475,0.002,2699
223,0.8295964125560538,3.0716880031614933,684.986424705013,SOL_S6_60_150,logistic_l2_topN,lockbox,0.978295607765084,,2699
193,0.8808290155440415,1.9410888863232798,374.630155060393,SOL_S6_60_150,logistic_poly2,val,0.8819499043473438,,322
1569,0.781389420012747,4.492966967218945,7049.465171566525,SOL_S6_60_150,logistic_poly2,lockbox,0.8819499043473438,0.0,2699
223,0.8699551569506726,5.825673429875631,1299.1251748622658,SOL_S6_60_150,logistic_poly2_topN,lockbox,0.9712734722617682,,2699
723,0.9087136929460581,1.0405021907941954,752.2830839442033,BTC_S15_150_240,hybrid_v1_AND,train,,,2272
412,0.8470873786407767,0.009117779247131814,3.7565250498183076,BTC_S15_150_240,hybrid_v1_AND,val,,,1429
180,0.7555555555555555,3.1386741883718723,564.961353906937,BTC_S15_150_240,hybrid_v1_AND,lockbox,,,5644
1000,0.93,0.4771936633273767,477.1936633273767,BTC_S15_150_240,ridge,val,0.8113213697806249,,1429
3198,0.8352095059412132,1.383770816248396,4425.29907036237,BTC_S15_150_240,ridge,lockbox,0.8113213697806249,0.0,5644
180,0.9833333333333333,0.42431434214909636,76.37658158683735,BTC_S15_150_240,ridge_topN,lockbox,1.038605363043024,,5644
929,0.9354144241119483,0.409145562665751,380.09622771648264,BTC_S15_150_240,elastic_net,val,0.8434344780939399,,1429
3011,0.8502158751245433,1.452204146608008,4372.586685436712,BTC_S15_150_240,elastic_net,lockbox,0.8434344780939399,0.0,5644
180,1.0,1.4557399339374595,262.0331881087427,BTC_S15_150_240,elastic_net_topN,lockbox,0.9768273455170126,,5644
857,0.9463243873978997,0.7469907911412351,640.1711080080385,BTC_S15_150_240,logistic_l2,val,0.8959722472731358,,1429
2630,0.8528517110266159,2.1446636121534515,5640.465299963577,BTC_S15_150_240,logistic_l2,lockbox,0.8959722472731358,0.0,5644
180,0.9833333333333333,0.44860810157557357,80.74945828360325,BTC_S15_150_240,logistic_l2_topN,lockbox,0.989327122688349,,5644
643,0.937791601866252,1.7642348889751103,1134.4030336109959,BTC_S15_150_240,logistic_poly2,val,0.989852981946522,,1429
2174,0.7585096596136155,5.085189413804835,11055.20178561171,BTC_S15_150_240,logistic_poly2,lockbox,0.989852981946522,0.0,5644
180,0.7444444444444445,17.739107790787845,3193.039402341812,BTC_S15_150_240,logistic_poly2_topN,lockbox,0.9998207282873157,,5644
2152,0.8578066914498141,1.260425161544593,2712.434947643964,ETH_S15_150_240,hybrid_v1_AND,train,,,2233
1070,0.8355140186915888,1.262330269605786,1350.693388478191,ETH_S15_150_240,hybrid_v1_AND,val,,,1165
157,0.8089171974522293,-0.4194644316357546,-65.85591576681347,ETH_S15_150_240,hybrid_v1_AND,lockbox,,,1653
990,0.898989898989899,1.093791084278583,1082.853173435797,ETH_S15_150_240,ridge,val,0.696272715713301,,1165
1573,0.8385251112523839,0.37089066976856355,583.4110235459505,ETH_S15_150_240,ridge,lockbox,0.696272715713301,0.172,1653
157,0.9936305732484076,1.0488249098355342,164.66551084417887,ETH_S15_150_240,ridge_topN,lockbox,0.9799185315759072,,1653
1106,0.8616636528028933,1.0744959767328823,1188.392550266568,ETH_S15_150_240,elastic_net,val,0.6237772758107382,,1165
1646,0.824422843256379,0.482310370394139,793.8828696687527,ETH_S15_150_240,elastic_net,lockbox,0.6237772758107382,0.108,1653
157,1.0,1.2502707622758882,196.29250967731443,ETH_S15_150_240,elastic_net_topN,lockbox,0.9528240518196768,,1653
1106,0.8616636528028933,1.218499931227308,1347.6609239374025,ETH_S15_150_240,logistic_l2,val,0.5124649666879894,,1165
1641,0.8275441803778184,0.5845873923859826,959.3079109053974,ETH_S15_150_240,logistic_l2,lockbox,0.5124649666879894,0.064,1653
157,1.0,1.1549158316339596,181.32178556653164,ETH_S15_150_240,logistic_l2_topN,lockbox,0.9690696940787134,,1653
1048,0.8635496183206107,1.5383676064391176,1612.2092515481952,ETH_S15_150_240,logistic_poly2,val,0.06480286410801936,,1165
1581,0.8228969006957622,0.5669833743806175,896.4007148957563,ETH_S15_150_240,logistic_poly2,lockbox,0.06480286410801936,0.086,1653
157,0.89171974522293,0.7775029026203045,122.06795571138781,ETH_S15_150_240,logistic_poly2_topN,lockbox,0.9999872804108553,,1653
3176,0.8759445843828715,0.9295256763868527,2952.1735482046442,S7_BTC_5m_base,hybrid_v1_AND,train,,,5051
1798,0.8498331479421579,0.5395528505326349,970.1160252576775,S7_BTC_5m_base,hybrid_v1_AND,val,,,3267
843,0.7390272835112692,1.6956022869299996,1429.3927278819897,S7_BTC_5m_base,hybrid_v1_AND,lockbox,,,14928
2450,0.9044897959183673,0.9447198131515017,2314.563542221179,S7_BTC_5m_base,ridge,val,0.7524469310097603,,3267
9773,0.7862478256420751,1.954385208211819,19100.206639854106,S7_BTC_5m_base,ridge,lockbox,0.7524469310097603,0.0,14928
843,0.9679715302491103,0.4611001807521547,388.7074523740664,S7_BTC_5m_base,ridge_topN,lockbox,0.959572897882433,,14928
2123,0.9251059821008007,0.942794219981048,2001.5521290197648,S7_BTC_5m_base,elastic_net,val,0.8014216697213975,,3267
7607,0.8319968450111739,2.077259897487653,15801.716040188576,S7_BTC_5m_base,elastic_net,lockbox,0.8014216697213975,0.0,14928
843,0.963226571767497,1.6272486314659427,1371.7705963257897,S7_BTC_5m_base,elastic_net_topN,lockbox,0.925843691121458,,14928
2450,0.9036734693877551,1.1462775639202802,2808.380031604687,S7_BTC_5m_base,logistic_l2,val,0.7769338919723046,,3267
10106,0.7764694241044924,2.4539036412210997,24799.150198180436,S7_BTC_5m_base,logistic_l2,lockbox,0.7769338919723046,0.0,14928
843,0.9715302491103203,0.5591785868965937,471.3875487538285,S7_BTC_5m_base,logistic_l2_topN,lockbox,0.9664568796420673,,14928
2450,0.9004081632653061,1.6050351088499988,3932.336016682497,S7_BTC_5m_base,logistic_poly2,val,0.8070353762198765,,3267
9131,0.7359544409155624,2.909225299226719,26564.13620723917,S7_BTC_5m_base,logistic_poly2,lockbox,0.8070353762198765,0.0,14928
843,0.8576512455516014,8.437772364282251,7113.042103089938,S7_BTC_5m_base,logistic_poly2_topN,lockbox,0.998293399872904,,14928
