sleeve,model,feature,weight
BTC_S6_60_150,elastic_net,ofi_skew_l1_30s,0.009504246327147385
BTC_S6_60_150,elastic_net,mlofi_skew_l5_30s,0.0
BTC_S6_60_150,elastic_net,mlofi_skew_l5_60s,0.0013884044827058202
BTC_S6_60_150,elastic_net,mlofi_skew_l25_30s,0.009784113796964651
BTC_S6_60_150,elastic_net,rsi_14,0.0366758486934276
BTC_S6_60_150,elastic_net,cvd,0.0708467376100192
BTC_S6_60_150,elastic_net,vpin_value,-0.03149283145182993
BTC_S6_60_150,elastic_net,vpin_zscore,0.054817809010870126
BTC_S6_60_150,elastic_net,as_uncertainty,0.0
BTC_S6_60_150,elastic_net,as_skew,-0.0
BTC_S6_60_150,logistic_l2,mp_skew,-0.1400591879186949
BTC_S6_60_150,logistic_l2,mp_weighted_skew,-0.7080870800951378
BTC_S6_60_150,logistic_l2,mp_skew_change_500ms,-0.17856890474594303
BTC_S6_60_150,logistic_l2,mp_up_dev_bps,-0.23730113825765134
BTC_S6_60_150,logistic_l2,mp_dn_dev_bps,-0.2353016324659578
BTC_S6_60_150,logistic_l2,mp_imbalance,-0.39865152220878575
BTC_S6_60_150,logistic_l2,mp_weighted_imbalance,-0.43417667910190355
BTC_S6_60_150,logistic_l2,L_stat,0.6731646622576649
BTC_S6_60_150,logistic_l2,hawkes_lambda_imbalance,0.29429055833505025
BTC_S6_60_150,logistic_l2,hawkes_lambda_total,0.2707352364408949
BTC_S6_60_150,logistic_l2,rv_ratio_60_to_3600,-0.1262258018889329
BTC_S6_60_150,logistic_l2,hurst_300s,-0.09495490013793162
BTC_S6_60_150,logistic_l2,hurst_100s,0.0847820985335496
BTC_S6_60_150,logistic_l2,hurst_900s,0.17380330686325382
BTC_S6_60_150,logistic_l2,trend_slope_30m,0.4177620886447905
BTC_S6_60_150,logistic_l2,rv_60s,-0.3278246503224445
BTC_S6_60_150,logistic_l2,rv_300s,0.289151347356154
BTC_S6_60_150,logistic_l2,up_imb5,0.23353734345015678
BTC_S6_60_150,logistic_l2,dn_imb5,-0.31469768140774945
BTC_S6_60_150,logistic_l2,up_imb25,-0.1632678617015823
BTC_S6_60_150,logistic_l2,dn_imb25,0.180686153459766
BTC_S6_60_150,logistic_l2,up_queue_top_bid,0.37083682696071696
BTC_S6_60_150,logistic_l2,up_micro_dev_bps,0.13538320485304928
BTC_S6_60_150,logistic_l2,dn_micro_dev_bps,0.2628037774119218
BTC_S6_60_150,logistic_l2,up_bid_slope,0.27034896274593667
BTC_S6_60_150,logistic_l2,up_ask_slope,0.001500088246470465
BTC_S6_60_150,logistic_l2,dn_bid_slope,0.02245975752171543
BTC_S6_60_150,logistic_l2,dn_ask_slope,-0.27230475120996644
BTC_S6_60_150,logistic_l2,up_imb5_change_500ms,0.2043232075361522
BTC_S6_60_150,logistic_l2,up_quote_intensity_5s,-0.10397825309679515
BTC_S6_60_150,logistic_l2,ribbon_alignment_pct,-0.03337310179134697
