feature,mean,max,count
vwap_since_open_bps,0.636855783628894,1.1660173935744909,7
mp_weighted_skew,0.530494946500397,0.7828628637359455,7
trend_slope_30m,0.5070856413133954,0.7210763552383176,7
cci_60s,0.36266378941849947,0.8575569371454845,7
mp_dn_dev_bps,0.3542261844303453,0.9575161253088408,7
stoch_d_60s,0.3471062643623467,0.5821231734512012,7
up_queue_top_bid,0.3404243484455209,0.6079933621310836,7
as_uncertainty,0.33052170386110136,1.0014559072441238,7
dn_micro_dev_bps,0.32035557930273734,0.7768583400798008,7
mlofi_skew_l5_60s,0.3062834533089443,0.4880118323890179,7
as_skew,0.30113236353221823,1.047968157323994,7
ribbon_compression_bps,0.2968016304672985,0.6492753643483659,7
rv_60s,0.2940707157724477,0.4380832607260765,7
mlofi_skew_l5_30s,0.2896722282643879,0.6324669476869801,7
vpin_value,0.28128028208286115,0.6288022028538104,7
rsi_14,0.274024416063526,0.7530491295905759,7
vpin_zscore,0.27046733668369277,0.7508137502377722,7
stoch_k_60s,0.25752639734842503,0.402829380982861,7
bb_pos_60s,0.2466772753677915,0.5056532933098671,7
L_stat,0.24457492066357966,0.6731646622576649,7
