sleeve,elastic_net,elastic_net_topN,hybrid_v1_AND,logistic_l2,logistic_l2_topN,logistic_poly2,logistic_poly2_topN,ridge,ridge_topN
BTC_S15_150_240,3011,180,180,2630,180,2174,180,3198,180
BTC_S6_60_150,3367,483,483,3292,483,3094,483,3328,483
ETH_S15_150_240,1646,157,157,1641,157,1581,157,1573,157
ETH_S6_60_150,3104,367,367,3094,367,2185,367,3144,367
S7_BTC_5m_base,7607,843,843,10106,843,9131,843,9773,843
SOL_S15_60_150,1645,330,330,1204,330,1358,330,898,330
SOL_S6_60_150,2635,223,223,2633,223,1569,223,2648,223
