sleeve,variant,n,wr,dpt,sum_pnl,threshold,boot_p
BTC_S15_150_240,logistic_poly2,2174,0.7585096596136155,5.085189413804835,11055.20178561171,0.989852981946522,0.0
BTC_S6_60_150,logistic_poly2,3094,0.7000646412411118,2.414296170728296,7469.832352233347,0.4834944238716609,0.0
ETH_S15_150_240,logistic_l2,1641,0.8275441803778184,0.5845873923859826,959.3079109053974,0.5124649666879894,0.064
ETH_S6_60_150,ridge,3144,0.7245547073791349,1.5101574603208905,4747.93505524888,0.1701610192936401,0.0
S7_BTC_5m_base,logistic_poly2,9131,0.7359544409155624,2.909225299226719,26564.13620723917,0.8070353762198765,0.0
SOL_S15_60_150,logistic_l2,1204,0.8222591362126246,3.94767620149414,4753.002146598945,0.8727963516020827,0.0
SOL_S6_60_150,logistic_poly2,1569,0.781389420012747,4.492966967218945,7049.465171566525,0.8819499043473438,0.0
