sleeve,elastic_net,elastic_net_topN,hybrid_v1_AND,logistic_l2,logistic_l2_topN,logistic_poly2,logistic_poly2_topN,ridge,ridge_topN
BTC_S15_150_240,1.452,1.456,3.139,2.145,0.449,5.085,17.739,1.384,0.424
BTC_S6_60_150,1.766,3.798,2.535,1.823,3.835,2.414,6.705,1.803,4.155
ETH_S15_150_240,0.482,1.25,-0.419,0.585,1.155,0.567,0.778,0.371,1.049
ETH_S6_60_150,1.439,3.802,1.278,1.436,2.944,2.128,-0.448,1.51,3.112
S7_BTC_5m_base,2.077,1.627,1.696,2.454,0.559,2.909,8.438,1.954,0.461
SOL_S15_60_150,2.85,5.704,0.182,3.948,4.489,3.164,5.42,4.409,3.972
SOL_S6_60_150,1.636,1.778,-0.396,1.565,3.072,4.493,5.826,1.588,2.088
