survivor,n_fire,n_fill,fill_rate,wr,mean_vwap,legacy_dpt,win07_dpt,win07_t,win07_ci_lo,win07_ci_hi,livemimic_dpt,livemimic_t,livemimic_ci_lo,livemimic_ci_hi,orig_lockbox_n,orig_lockbox_wr,orig_lockbox_dpt
XF-J  BTC 5m  @180 BOTH,450,371,0.824,84.4,0.822,1.486,1.38,1.56,-0.283,3.17,1.284,1.44,-0.365,3.119,41,87.8,6.98
DISAGR SOL 5m @210 DN,264,128,0.485,95.3,0.874,3.791,3.696,2.84,1.42,6.487,3.672,2.81,1.419,6.389,35,100.0,6.54
XF-I  SOL 15m @240 UP,408,100,0.245,66.0,0.674,-0.539,-0.679,-0.32,-4.697,3.639,-0.948,-0.43,-5.129,3.33,56,78.6,6.31
XF-I  SOL 15m @240 BOTH,690,168,0.243,69.0,0.688,-0.592,-0.741,-0.5,-3.641,2.204,-0.993,-0.65,-3.896,2.065,105,72.4,4.09
XF-I  BTC 5m  @150 UP,1190,1082,0.909,72.7,0.717,0.307,0.169,0.26,-1.066,1.459,-0.044,-0.07,-1.294,1.309,198,76.8,3.56
XF-I  BTC 5m  @150 BOTH,2503,2257,0.902,72.0,0.715,0.152,0.013,0.03,-0.822,0.918,-0.201,-0.45,-1.065,0.675,419,74.0,2.32
