rule,side,asset,tf,fire_offset_s,n,WR,per_trade,sum_pnl
DISAGR_mp=0_imb=0.1_hk=N,UP,SOL,15m,720,201,0.6567164179104478,5.60423948354897,1126.452136193343
DISAGR_mp=0_imb=0.1_hk=N,DN,SOL,15m,720,193,0.5751295336787565,-7.2861083685506145,-1406.2189151302687
DISAGR_mp=0_imb=0.1_hk=N,UP,SOL,15m,840,211,0.46919431279620855,-11.949887430804916,-2521.426247899837
DISAGR_mp=0_imb=0.1_hk=N,DN,SOL,15m,840,192,0.4635416666666667,-10.250546472937131,-1968.1049228039292
DISAGR_mp=0_imb=0.1_hk=N,UP,SOL,5m,30,482,0.5145228215767634,-2.823823951140501,-1361.0831444497214
DISAGR_mp=0_imb=0.1_hk=N,DN,SOL,5m,30,566,0.5547703180212014,-1.3852153135542054,-784.0318674716802
DISAGR_mp=0_imb=0.1_hk=N,UP,SOL,5m,60,559,0.5635062611806798,-1.2231465548829086,-683.7389241795458
DISAGR_mp=0_imb=0.1_hk=N,DN,SOL,5m,60,603,0.5572139303482587,-1.9323946076022014,-1165.2339483841274
DISAGR_mp=0_imb=0.1_hk=N,UP,SOL,5m,90,536,0.5764925373134329,-2.4665103003607807,-1322.0495209933783
DISAGR_mp=0_imb=0.1_hk=N,DN,SOL,5m,90,603,0.5737976782752903,-2.636936432243515,-1590.0726686428397
DISAGR_mp=0_imb=0.1_hk=N,UP,SOL,5m,120,590,0.676271186440678,-0.3687739445094654,-217.5766272605846
DISAGR_mp=0_imb=0.1_hk=N,DN,SOL,5m,120,650,0.6215384615384615,-2.5919137434856068,-1684.7439332656445
DISAGR_mp=0_imb=0.1_hk=N,UP,SOL,5m,150,563,0.6838365896980462,-2.3249974599690097,-1308.9735699625526
DISAGR_mp=0_imb=0.1_hk=N,DN,SOL,5m,150,631,0.6640253565768621,-1.3246833106826763,-835.8751690407687
DISAGR_mp=0_imb=0.1_hk=N,UP,SOL,5m,180,625,0.6944,-0.8662874687406537,-541.4296679629085
DISAGR_mp=0_imb=0.1_hk=N,DN,SOL,5m,180,597,0.6901172529313233,-1.4048631843726944,-838.7033210704985
DISAGR_mp=0_imb=0.1_hk=N,UP,SOL,5m,210,587,0.7052810902896082,-2.234063509074616,-1311.3952798267997
DISAGR_mp=0_imb=0.1_hk=N,DN,SOL,5m,210,603,0.6567164179104478,-3.5667396843751256,-2150.7440296782006
DISAGR_mp=0_imb=0.1_hk=N,UP,SOL,5m,240,572,0.6643356643356644,-5.210311772730793,-2980.2983340020137
DISAGR_mp=0_imb=0.1_hk=N,DN,SOL,5m,240,535,0.6224299065420561,-5.019420683479392,-2685.390065661475
DISAGR_mp=0_imb=0.1_hk=N,UP,SOL,5m,270,463,0.5658747300215983,-9.065028260354383,-4197.108084544079
DISAGR_mp=0_imb=0.1_hk=N,DN,SOL,5m,270,495,0.5434343434343434,-8.694590272374299,-4303.822184825278
DISAGR_mp=0_imb=0.1_hk=N,UP,SOL,5m,300,222,0.16216216216216217,-20.601849921510595,-4573.610682575352
DISAGR_mp=0_imb=0.1_hk=N,DN,SOL,5m,300,179,0.19553072625698323,-17.59942659480148,-3150.2973604694644
DISAGR_mp=0_imb=0.1_hk=Y,UP,BTC,15m,60,55,0.6727272727272727,1.3603406184310485,74.81873401370767
DISAGR_mp=0_imb=0.1_hk=Y,DN,BTC,15m,60,64,0.609375,0.607764163107023,38.89690643884947
DISAGR_mp=0_imb=0.1_hk=Y,UP,BTC,15m,120,47,0.6170212765957447,-2.1943054760538083,-103.132357374529
DISAGR_mp=0_imb=0.1_hk=Y,DN,BTC,15m,120,69,0.6231884057971014,-1.2770808443180197,-88.11857825794335
DISAGR_mp=0_imb=0.1_hk=Y,UP,BTC,15m,240,67,0.7761194029850746,2.446876759357749,163.94074287696918
DISAGR_mp=0_imb=0.1_hk=Y,DN,BTC,15m,240,69,0.7536231884057971,2.1514708169315275,148.4514863682754
DISAGR_mp=0_imb=0.1_hk=Y,UP,BTC,15m,360,74,0.7567567567567568,-1.4485649929915296,-107.1938094813732
DISAGR_mp=0_imb=0.1_hk=Y,DN,BTC,15m,360,90,0.7222222222222222,-1.668441218972298,-150.1597097075068
DISAGR_mp=0_imb=0.1_hk=Y,UP,BTC,15m,480,84,0.8095238095238095,-0.4597074289581779,-38.61542403248694
DISAGR_mp=0_imb=0.1_hk=Y,DN,BTC,15m,480,95,0.7789473684210526,-0.46295474732660835,-43.98070099602779
DISAGR_mp=0_imb=0.1_hk=Y,UP,BTC,15m,600,103,0.7864077669902912,-0.11098570826998631,-11.43152795180859
DISAGR_mp=0_imb=0.1_hk=Y,DN,BTC,15m,600,113,0.8495575221238938,1.4443727914077662,163.21412542907757
DISAGR_mp=0_imb=0.1_hk=Y,UP,BTC,15m,720,74,0.7297297297297297,-4.758404077477356,-352.1219017333243
DISAGR_mp=0_imb=0.1_hk=Y,DN,BTC,15m,720,75,0.7466666666666667,-3.3037399342162783,-247.78049506622088
DISAGR_mp=0_imb=0.1_hk=Y,UP,BTC,15m,840,61,0.5737704918032787,-5.579308594002181,-340.33782423413305
DISAGR_mp=0_imb=0.1_hk=Y,DN,BTC,15m,840,54,0.7222222222222222,-4.717276003984414,-254.73290421515836
DISAGR_mp=0_imb=0.1_hk=Y,UP,BTC,5m,30,143,0.5734265734265734,-1.3246208417003147,-189.420780363145
DISAGR_mp=0_imb=0.1_hk=Y,DN,BTC,5m,30,169,0.5857988165680473,-1.0639786830268638,-179.81239743153998
DISAGR_mp=0_imb=0.1_hk=Y,UP,BTC,5m,60,169,0.6982248520710059,2.1143379276690393,357.32310977606767
DISAGR_mp=0_imb=0.1_hk=Y,DN,BTC,5m,60,186,0.6774193548387096,-0.2612518538341799,-48.59284481315747
DISAGR_mp=0_imb=0.1_hk=Y,UP,BTC,5m,90,209,0.7511961722488039,0.0019508039144403636,0.407718018118036
DISAGR_mp=0_imb=0.1_hk=Y,DN,BTC,5m,90,230,0.7608695652173914,0.18487414943925892,42.52105437102955
DISAGR_mp=0_imb=0.1_hk=Y,UP,BTC,5m,120,237,0.8227848101265823,0.06169470962520867,14.621646181174455
DISAGR_mp=0_imb=0.1_hk=Y,DN,BTC,5m,120,265,0.8037735849056604,-0.2505202385382403,-66.38786321263368
DISAGR_mp=0_imb=0.1_hk=Y,UP,BTC,5m,150,291,0.8006872852233677,-1.2398106280898538,-360.78489277414747
DISAGR_mp=0_imb=0.1_hk=Y,DN,BTC,5m,150,329,0.8480243161094225,0.23625229341385137,77.7270045331571
DISAGR_mp=0_imb=0.1_hk=Y,UP,BTC,5m,180,303,0.8679867986798679,0.38638330888681205,117.07414259270405
DISAGR_mp=0_imb=0.1_hk=Y,DN,BTC,5m,180,333,0.8588588588588588,0.5192037971048659,172.89486443592034
