rule,side,asset,tf,fire_offset_s,n,wins,WR,sum_pnl,per_trade
XF-I,DN,SOL,5m,120,548,394,0.718978102189781,-550.0775005219728,-1.0037910593466657
XF-I,BOTH,SOL,5m,120,1314,901,0.6856925418569254,-1630.06486818259,-1.2405364293627017
XF-I,UP,SOL,5m,150,727,480,0.6602475928473177,-1737.233839163992,-2.3895926260852707
XF-I,DN,SOL,5m,150,527,363,0.6888045540796964,-1040.5555665088104,-1.9744887410034353
XF-I,BOTH,SOL,5m,150,1254,843,0.6722488038277512,-2777.7894056728023,-2.215143066724723
XF-I,UP,SOL,5m,180,678,465,0.6858407079646017,-1062.7289284623705,-1.5674467971421393
XF-I,DN,SOL,5m,180,492,358,0.7276422764227642,-650.5862560774315,-1.3223297887752672
XF-I,BOTH,SOL,5m,180,1170,823,0.7034188034188035,-1713.3151845398022,-1.4643719525981216
XF-I,UP,SOL,5m,210,665,418,0.6285714285714286,-3367.150426749906,-5.0633841003757984
XF-I,DN,SOL,5m,210,437,312,0.7139588100686499,-1120.1156841392176,-2.563193785215601
XF-I,BOTH,SOL,5m,210,1102,730,0.662431941923775,-4487.266110889123,-4.071929320226065
XF-I,UP,SOL,5m,240,577,361,0.6256499133448874,-2416.5443520350236,-4.188118461065899
XF-I,DN,SOL,5m,240,368,234,0.6358695652173914,-1704.5353550710815,-4.631889551823591
XF-I,BOTH,SOL,5m,240,945,595,0.6296296296296297,-4121.079707106105,-4.360930906990587
XF-I,UP,SOL,5m,270,470,271,0.5765957446808511,-1873.951128520659,-3.987130060682253
XF-I,DN,SOL,5m,270,336,203,0.6041666666666666,-1629.743493435558,-4.850427063796304
XF-I,BOTH,SOL,5m,270,806,474,0.5880893300248139,-3503.694621956217,-4.347015659995306
XF-I,UP,SOL,5m,300,178,65,0.3651685393258427,-2570.6297952437435,-14.44174042271766
XF-I,DN,SOL,5m,300,124,58,0.46774193548387094,-1007.6553648398644,-8.126252942256972
XF-I,BOTH,SOL,5m,300,302,123,0.40728476821192056,-3578.285160083608,-11.84862635789274
XF-J,UP,BTC,15m,60,98,69,0.7040816326530612,18.547906146459475,0.18926434843325995
XF-J,DN,BTC,15m,60,90,59,0.6555555555555556,-12.16047785374556,-0.13511642059717288
XF-J,BOTH,BTC,15m,60,188,128,0.6808510638297872,6.387428292714013,0.03397568240805326
XF-J,UP,BTC,15m,120,71,49,0.6901408450704225,-96.75955728630069,-1.3628106660042352
XF-J,DN,BTC,15m,120,104,71,0.6826923076923077,-133.38615886884654,-1.2825592198927551
XF-J,BOTH,BTC,15m,120,175,120,0.6857142857142857,-230.1457161551471,-1.315118378029412
XF-J,UP,BTC,15m,240,87,64,0.735632183908046,14.879854052300686,0.17103280519885847
XF-J,DN,BTC,15m,240,76,54,0.7105263157894737,-3.4240474128935157,-0.045053255432809414
XF-J,BOTH,BTC,15m,240,163,118,0.7239263803680982,11.455806639407157,0.07028102232765127
XF-J,UP,BTC,15m,360,77,54,0.7012987012987013,-198.19160860982825,-2.5739169949328344
XF-J,DN,BTC,15m,360,67,47,0.7014925373134329,-9.38376470582709,-0.1400561896392103
XF-J,BOTH,BTC,15m,360,144,101,0.7013888888888888,-207.57537331565533,-1.4414956480253842
XF-J,UP,BTC,15m,480,58,42,0.7241379310344828,44.885193043770755,0.7738826386857027
XF-J,DN,BTC,15m,480,78,57,0.7307692307692307,-53.18671606900843,-0.6818809752436978
XF-J,BOTH,BTC,15m,480,136,99,0.7279411764705882,-8.301523025237664,-0.06104061047968871
XF-J,UP,BTC,15m,600,81,57,0.7037037037037037,-202.08976313402718,-2.494935347333669
XF-J,DN,BTC,15m,600,76,58,0.7631578947368421,-67.47137992919805,-0.887781314857869
XF-J,BOTH,BTC,15m,600,157,115,0.732484076433121,-269.5611430632252,-1.716949955816721
XF-J,UP,BTC,15m,720,45,28,0.6222222222222222,-353.10953048987267,-7.846878455330503
XF-J,DN,BTC,15m,720,54,39,0.7222222222222222,-76.5493039674784,-1.4175797031014516
XF-J,BOTH,BTC,15m,720,99,67,0.6767676767676768,-429.658834457351,-4.339988226841929
XF-J,UP,BTC,15m,840,35,22,0.6285714285714286,-275.0926520762304,-7.859790059320869
XF-J,DN,BTC,15m,840,57,27,0.47368421052631576,-268.88136721856847,-4.717216968746815
XF-J,BOTH,BTC,15m,840,92,49,0.532608695652174,-543.974019294799,-5.912761079291293
XF-J,UP,BTC,5m,30,237,160,0.6751054852320675,176.77451897833686,0.7458840463220965
XF-J,DN,BTC,5m,30,265,164,0.6188679245283019,-235.61380003342163,-0.8891086793714024
XF-J,BOTH,BTC,5m,30,502,324,0.6454183266932271,-58.83928105508478,-0.11720972321730036
XF-J,UP,BTC,5m,60,233,194,0.8326180257510729,542.7826326238267,2.329539195810415
XF-J,DN,BTC,5m,60,242,173,0.7148760330578512,-275.69629828473074,-1.1392409020030196
XF-J,BOTH,BTC,5m,60,475,367,0.7726315789473684,267.08633433909597,0.5622870196612547
XF-J,UP,BTC,5m,90,194,156,0.8041237113402062,203.3389180009263,1.0481387525820942
XF-J,DN,BTC,5m,90,221,159,0.7194570135746606,-461.0007970871461,-2.085976457407901
XF-J,BOTH,BTC,5m,90,415,315,0.7590361445783133,-257.66187908621976,-0.6208719977981199
XF-J,UP,BTC,5m,120,177,135,0.7627118644067796,-187.56815592534727,-1.059707095623431
XF-J,DN,BTC,5m,120,246,193,0.7845528455284553,-136.89477775298244,-0.5564828363942376
XF-J,BOTH,BTC,5m,120,423,328,0.7754137115839244,-324.46293367832976,-0.7670518526674462
