gate,early_n,late_n,early_fr,late_fr,late_ratio
g_hawkes_burst,2746,0,0.07124510287211686,0.0,0.0
g_f7_rsi_mid,13194,0,0.34231896842487614,0.0,0.0
g_imb5_strong_with,6334,0,0.16433593648652156,0.0,0.0
g_imb5_with,14776,0,0.38336403497392524,0.0,0.0
g_f7_rsi_extreme_against,3928,0,0.10191215006615988,0.0,0.0
g_f7_rsi_extreme_with,3909,0,0.10141919414679708,0.0,0.0
g_f7_rsi_with,15256,0,0.39581765819993253,0.0,0.0
g_f7_rsi_strong_with,8677,0,0.22512518485846977,0.0,0.0
g_book_slope_with_us,6875,0,0.17837220766416728,0.0,0.0
g_imb_change_with,2862,0,0.07425472848506863,0.0,0.0
g_imb1_strong_with,10956,0,0.284253950133617,0.0,0.0
g_queue_top_high,15282,0,0.39649222945800794,0.0,0.0
g_hurst_trending_with,7485,0,0.19419868718055158,0.0,0.0
g_rv_lo,9280,0,0.24077004903614146,0.0,0.0
g_sms_rsi_mid,18744,0,0.4863139869755857,0.0,0.0
g_sms_rsi_extreme_with,1136,0,0.029473574968217314,0.0,0.0
g_ret_2m_strong_with,4805,0,0.12466595750201075,0.0,0.0
g_ret_2m_with,15114,0,0.39213346132890536,0.0,0.0
g_hurst_reverting_900,22,0,0.0005707910645253353,0.0,0.0
g_hurst_strong_trending_900,403,0,0.010455854500168643,0.0,0.0
g_hurst_reverting,689,0,0.017876138338998003,0.0,0.0
g_hurst_strong_trending,1367,0,0.035466881145733334,0.0,0.0
g_rv_hi,9562,0,0.24808655268142074,0.0,0.0
g_rv_md,10342,0,0.26832369042368265,0.0,0.0
g_lm_jump_against,4104,22,0.10647847858236256,0.004477915733767555,0.042054655488938324
g_lm_high_stat,8174,44,0.2120748255195496,0.00895583146753511,0.042229583099242206
g_lm_jump_with,4070,22,0.10559634693718704,0.004477915733767555,0.04240597202127835
g_regime_trending_with,2558,22,0.066367433775264,0.004477915733767555,0.06747158175394952
g_regime_trending_either,5068,44,0.13148950522792724,0.00895583146753511,0.06811061804522608
g_lm_extreme_stat,3242,44,0.08411384687232441,0.00895583146753511,0.1064727366604583
g_jump_dir_with,476,22,0.012349843032457255,0.004477915733767555,0.362588878417233
g_vol_high,8810,660,0.2285758762940093,0.13433747201302668,0.5877150038363322
g_liq_shock_with,2780,225,0.07212723451729237,0.04579686545898636,0.634945534311407
g_slot_end_ofi_with,269,22,0.006979218016241601,0.004477915733767555,0.6416070859725014
g_liq_shock_against,2773,227,0.07194561917857976,0.046203948707510684,0.6422065614978667
g_mp_change_with,3572,295,0.09267571284020444,0.06004477915733768,0.6479019941380925
g_slot_end_ofi_strong_with,253,21,0.006564097242041356,0.0042743741095053935,0.6511747087061912
g_vol_expanding,17328,1621,0.44957579845886414,0.32994097292896396,0.7338939819714368
g_mp_skew_with,18618,1766,0.4830449108787588,0.3594545084469774,0.7441430400188984
g_mp_skew_strong_with,18613,1766,0.48291518563682123,0.3594545084469774,0.744342938756345
g_mp_our_side_calm,23989,2278,0.6223957657681032,0.46366782006920415,0.7449726453344172
g_mp_no_extreme,17402,1709,0.45149573203954024,0.3478526358640342,0.7704450146021992
g_mp_no_extreme_150,23951,2396,0.6214098539293775,0.48768573173213925,0.7848052756942026
g_btc_sol_confluence_5m_with,8177,829,0.21215266066471214,0.16873600651333198,0.7953518281818949
g_xa_unanimity_15m_with,6880,700,0.17850193290610486,0.14247913698351314,0.7981938047609807
g_xa_unanimity_5m_with,6867,699,0.17816464727706718,0.14227559535925097,0.7985624394832692
g_tod_us_evening,8340,855,0.21638170355187714,0.17402808874414818,0.8042643434611155
g_rf_in_band,6444,686,0.16718989180914823,0.13962955424384288,0.8351554793948535
g_european_session_with_grandparent,1987,235,0.051552811145992784,0.04783228170160798,0.9278307164695905
g_grandparent_1h_ranging,23805,2821,0.6176218768648003,0.5741909220435579,0.929680349015957
g_rf_fresh,27655,3467,0.7175103131567341,0.7056788113169143,0.9835103389834687
g_off_720_900,8783,1107,0.22787535998754638,0.2253205780582129,0.988788687247831
g_off_480_720,14547,1839,0.37742261889318424,0.3743130470181152,0.9917610346613882
g_tr_above_ema800,18712,2371,0.4854837454271852,0.4825971911255852,0.994054271994091
g_tod_us_afternoon,9289,1178,0.24100355447162908,0.23977203338082637,0.9948900293462365
g_tr_above_ema200,18948,2406,0.49160677684663884,0.48972114797476085,0.9961643554143554
g_regime_stack_full_with,10493,1334,0.27224139273019743,0.2715245267657236,0.9973668002602959
g_tr_above_cloud,19047,2427,0.4941753366370028,0.4939955220842662,0.9996361320782209
g_bb_pos_with,18540,2363,0.4810211971045326,0.4809688581314879,0.9998911919612695
g_within_dev,38543,4913,1.0,1.0,1.0
g_tr_above_ema50,19106,2436,0.4957060944918662,0.4958273967026257,1.0002447059096256
g_tr_stack_with,6521,832,0.1691876605349869,0.16934663138611847,1.0009396125617487
g_tr_stack_full_with,6521,832,0.1691876605349869,0.16934663138611847,1.0009396125617487
g_grandparent_1h_slope_with,19303,2464,0.5008172690242068,0.5015265621819662,1.0014162713660841
g_tr_above_pp,19201,2461,0.49817087408868016,0.5009159373091797,1.0055102844491284
g_off_240_480,14917,1925,0.38702228679656486,0.3918176267046611,1.0123903456511196
g_off_60_240,14940,1928,0.38761902290947775,0.3924282515774476,1.012407101777079
g_off_0_60,4918,640,0.12759774796979997,0.13026663952778345,1.0209164471979173
g_stoch_with,18077,2361,0.46900863970111306,0.4805617748829636,1.0246330967148345
g_cci_with,18540,2436,0.4810211971045326,0.4958273967026257,1.0307807632745039
g_btc_eth_divergence,15896,2089,0.4124224891679423,0.4251984530836556,1.0309778546303057
g_tight_ribbon,36414,4786,0.9447629919829801,0.9741502137187055,1.031105390436647
g_ribbon_agrees,18419,2421,0.47788184624964325,0.49277427233869325,1.0311634061974186
g_ribbon_slope_with,18590,2444,0.48231844952390834,0.49745572969672297,1.031384410419623
g_rf_with,18606,2448,0.4827335702981086,0.4982698961937716,1.0321840593892582
g_vwap_10_90,29150,3839,0.7562981604960693,0.7813962955424384,1.0331855032278627
g_vwap_deep_premium,7454,983,0.19339439068053862,0.20008141664970486,1.034577145415827
g_vwap_05_95,32474,4285,0.84253950133617,0.8721758599633626,1.0351750375860038
g_mfi_with,18494,2444,0.4798277248787069,0.49745572969672297,1.036738195614837
g_vwap_cheap,11453,1515,0.29714863918221207,0.30836556075717486,1.0377485207599573
g_rf_strong,17202,2276,0.4463067223620372,0.4632607368206798,1.0379873607301164
g_vwap_20_80,23695,3149,0.6147679215421736,0.6409525748015469,1.0425927449071966
g_vwap_mid,14172,1887,0.367693225747866,0.38408304498269896,1.0445747108924759
g_vwap_premium,12242,1634,0.3176192823599616,0.3325870140443721,1.04712475758146
g_tod_asia_morning,11297,1508,0.2931012116337597,0.3069407693873397,1.0472176750018798
g_vwap_25_75,21095,2824,0.547310795734634,0.5748015469163444,1.050228775671802
g_vwap_30_70,18072,2420,0.46887891445917546,0.4925707307144311,1.0505286450822442
g_vwap_15_85,26304,3529,0.682458552785201,0.7182983920211683,1.0525157741663582
g_tr_in_active_session,34011,4568,0.8824170407077809,0.9297781396295542,1.0536720130470114
g_liq_calm,32061,4369,0.8318241963521262,0.889273356401384,1.069064064619898
g_trend_slope_strong_with,4152,573,0.10772384090496329,0.11662935070221861,1.0826698131299644
g_tod_european_morning,9617,1372,0.2495135303427341,0.27925910848768576,1.119214289117279
g_grandparent_1h_trend_with,7370,1053,0.19121500661598734,0.21432933034805618,1.1208813269477786
g_rf_aged,9805,1450,0.25439119943958693,0.29513535518013434,1.160163385487804
g_trend_slope_with,16498,2440,0.4280414082972265,0.49664156319967434,1.1602652303555006
g_regime_stack_with,16550,2454,0.4293905508133773,0.49949114593934457,1.163256026461641
g_di_agrees,16549,2455,0.42936460576498975,0.49969468756360674,1.1638003711864218
g_xa_majority_5m_with,9682,1513,0.2511999584879226,0.3079584775086505,1.2259495557339306
g_us_session_with_grandparent,2127,335,0.05518511792024492,0.06818644412782414,1.2355947889133643
g_btc_eth_confluence_15m_with,8352,1378,0.2166930441325273,0.2804803582332587,1.2943671512673
g_btc_eth_confluence_5m_with,8372,1383,0.2172119451002776,0.28149806635456953,1.2959603406001163
g_sms_cvd_with,14575,2467,0.3781490802480347,0.5021371870547527,1.3278815506450314
g_sms_rsi_with,14498,2467,0.376151311522196,0.5021371870547527,1.3349340323252403
g_sms_trend_with,14195,2467,0.3682899618607789,0.5021371870547527,1.3634289257239405
g_regime_ranging,27965,4869,0.7255532781568638,0.9910441685324649,1.365915086277375
g_hawkes_imb_loose_with,13051,2447,0.3386088265054614,0.4980663545695095,1.470919585025868
g_tr_within_adr,17018,3206,0.4415328334587344,0.6525544473844901,1.4779296078000002
g_grandparent_1h_slope_strong_with,2754,519,0.07145266325921698,0.10563810299206187,1.478434787081714
g_hawkes_imbalance_with,11635,2447,0.30187063798873986,0.4980663545695095,1.6499330901738378
g_adx_strong,9516,2327,0.24689308045559505,0.4736413596580501,1.9184067807167113
g_vpin_calm,19963,4913,0.5179410009599668,1.0,1.9307218353954818
g_hawkes_imb_strong_with,8983,2409,0.23306436966504943,0.4903317728475473,2.10384699107904
g_vol_contracting,7447,2027,0.19321277534182602,0.4125788723794016,2.13536020922778
g_sms_trend_strong_with,9031,2467,0.23430973198765015,0.5021371870547527,2.143048787581811
