gates,n_train,wr_train,dpt_train,n_val,wr_val,dpt_val,n_lock,wr_lock,dpt_lock,n_full,wr_full,dpt_full,max_dd_lock,loss_streak_lock,sharpe_lock,proj_32d,proj_full,proj_honest,off,dir,n_gates,v8_pass,v8_relax,bootstrap_p_lock
g_grandparent_1h_slope_strong_with+g_stoch_with+g_vol_high,25,0.88,40.024771223584324,5,0.6,131.47236654395005,7,1.0,450.27434085364064,37,0.8648648648648649,129.99733781850924,0.0,0.0,7.43596863066283,15773.487041709912,4814.139297962625,4814.139297962625,720,UP,3,True,,0.0665
g_ret_2m_strong_with+g_tr_above_cloud+g_xa_majority_5m_with,25,0.6,-23.140977093685077,10,1.0,580.8299707804806,5,0.8,190.85065747619623,40,0.725,154.60071419609153,0.0,1.0,6.401762529517287,4775.4701958801525,6189.477051163347,4775.4701958801525,240,UP,3,False,True,0.1925
g_tr_above_ema200+g_liq_shock_against,69,0.5942028985507246,-16.012979338660706,20,0.7,74.34341002726798,10,1.0,336.4596255092457,99,0.6565656565656566,37.844130113840684,0.0,0.0,32.46400662341153,16837.80328539661,3749.8698230158398,3749.8698230158398,120,DOWN,2,False,True,0.0
g_hurst_strong_trending+g_vol_expanding,18,0.5555555555555556,215.64367360332557,8,0.5,-116.8471818452091,5,0.8,150.5339714122394,31,0.5806451612903226,119.33801700514142,0.0,1.0,5.319054452994296,3766.6650115485454,3702.73797960622,3702.73797960622,240,DOWN,2,False,True,0.226
g_liq_shock_against+g_mp_no_extreme_150+g_vol_contracting,21,0.5238095238095238,-44.41943386650614,7,0.7142857142857143,165.28814003817098,6,1.0,568.7548224599396,34,0.6470588235294118,106.96287658324133,0.0,0.0,23.876994625065727,17077.677840911667,3639.9419781067068,3639.9419781067068,240,UP,3,False,True,0.0
g_imb5_with+g_liq_shock_against,42,0.5,81.19710703787695,10,0.7,144.3414012698231,5,0.8,132.68476525537966,57,0.5614035087719298,96.79151464150806,0.0,1.0,5.4252151462487905,3320.0417033064164,5521.977230014916,3320.0417033064164,120,DOWN,2,True,,0.301
g_tr_stack_full_with+g_hurst_trending_with,44,0.9318181818181818,233.62686386856706,22,0.8636363636363636,-1.4828418874104514,8,1.0,77.01955749030495,74,0.918918918918919,146.79886417049136,0.0,0.0,14.650749753227764,3083.4966452506224,10872.686975883862,3083.4966452506224,720,DOWN,2,False,True,0.0095
g_tr_above_ema200+g_regime_trending_with,39,0.6923076923076923,69.62550352025615,42,0.6666666666666666,24.76032841330269,5,0.8,106.7755203819208,86,0.686046511627907,49.87448875067799,0.0,1.0,3.97582236399526,2671.7398932568726,4292.98506871034,2671.7398932568726,120,DOWN,2,True,,0.305
g_tr_stack_full_with+g_trend_slope_strong_with,23,0.8260869565217391,274.5114003574344,11,0.9090909090909091,31.354093193674,6,1.0,58.44964234735561,40,0.875,175.23387718588847,0.0,0.0,9.56187002589025,1755.034194887999,7015.53073068438,1755.034194887999,720,DOWN,2,True,,0.0585
g_tr_stack_with+g_trend_slope_strong_with,23,0.8260869565217391,274.5114003574344,11,0.9090909090909091,31.354093193674,6,1.0,58.44964234735561,40,0.875,175.23387718588847,0.0,0.0,9.56187002589025,1755.034194887999,7015.53073068438,1755.034194887999,720,DOWN,2,True,,0.0585
