gates,n_train,wr_train,dpt_train,n_val,wr_val,dpt_val,n_lock,wr_lock,dpt_lock,n_full,wr_full,dpt_full,max_dd_lock,loss_streak_lock,sharpe_lock,proj_32d,proj_full,proj_honest,off,dir,n_gates,v8_pass,v8_relax,v8_strict
g_adx_strong+g_regime_trending_either+g_vol_expanding+g_vol_high,36,0.4444444444444444,158.12831043399444,17,0.7058823529411765,1802.1479067604223,5,0.8,619.7562281150183,58,0.5517241379310345,679.7916332952772,0.0,1.0,10.83458389120314,15507.556721115876,39462.6529819905,15507.556721115876,600,UP,4,True,True,True
g_adx_strong+g_regime_trending_either+g_vol_high,36,0.4444444444444444,158.12831043399444,17,0.7058823529411765,1802.1479067604223,5,0.8,619.7562281150183,58,0.5517241379310345,679.7916332952772,0.0,1.0,10.83458389120314,15507.556721115876,39462.6529819905,15507.556721115876,600,UP,3,True,True,True
g_adx_strong+g_btc_eth_divergence+g_regime_trending_either+g_vol_expanding,30,0.3666666666666666,420.8250906252188,25,0.52,1123.4299931237,6,0.8333333333333334,496.09098692810977,61,0.4754098360655737,716.1811224330772,0.0,1.0,9.361896305651475,14895.842144942711,43725.53926001983,14895.842144942711,600,UP,4,True,True,True
g_bb_pos_with+g_mp_no_extreme_150+g_ret_2m_strong_with+g_tr_above_cloud,59,0.6610169491525424,54.290412709256486,30,0.8,268.59966833739213,8,1.0,377.1106267552673,97,0.7319587628865979,147.19597334030965,0.0,0.0,28.425848045033533,15097.715312563298,14290.589157987137,14290.589157987137,240,UP,4,True,True,True
g_cci_with+g_mp_no_extreme_150+g_ret_2m_strong_with+g_tr_above_cloud,59,0.6610169491525424,54.290412709256486,30,0.8,268.59966833739213,8,1.0,377.1106267552673,97,0.7319587628865979,147.19597334030965,0.0,0.0,28.425848045033533,15097.715312563298,14290.589157987137,14290.589157987137,240,UP,4,True,True,True
g_btc_sol_confluence_5m_with+g_liq_shock_against,36,0.5555555555555556,78.1233258346808,13,0.6153846153846154,527.5474607120345,8,0.875,495.36585329686494,57,0.6140350877192983,239.18392185403292,0.0,1.0,9.031853385437689,19832.09195930356,13645.495425455803,13645.495425455803,600,DOWN,2,True,True,True
g_mp_no_extreme_150+g_ret_2m_strong_with+g_ribbon_agrees+g_tr_above_cloud,60,0.65,42.96890583076888,30,0.8,268.59966833739213,10,0.9,278.34833511507577,100,0.72,134.19607751118653,0.0,1.0,12.439677249926262,13929.678796948285,13431.431194071178,13431.431194071178,240,UP,4,True,True,True
g_mp_no_extreme_150+g_ret_2m_strong_with+g_tr_above_cloud,60,0.65,42.96890583076888,30,0.8,268.59966833739213,10,0.9,278.34833511507577,100,0.72,134.19607751118653,0.0,1.0,12.439677249926262,13929.678796948285,13431.431194071178,13431.431194071178,240,UP,3,True,True,True
g_xa_unanimity_5m_with+g_liq_shock_against,31,0.6129032258064516,149.0886528187559,11,0.6363636363636364,540.3008055771735,6,0.8333333333333334,455.6279206590008,48,0.6458333333333334,277.05884630592385,0.0,1.0,7.557004680054656,13680.880648509908,13310.541648783625,13310.541648783625,600,DOWN,2,True,True,True
g_grandparent_1h_slope_strong_with+g_stoch_with+g_vol_high,25,0.88,40.02477122358432,5,0.6,131.47236654395005,7,1.0,450.27434085364064,37,0.8648648648648649,129.99733781850924,0.0,0.0,7.43596863066283,15773.487041709912,4814.139297962625,4814.139297962625,720,UP,3,True,True,True
g_imb5_with+g_liq_shock_against,42,0.5,81.19710703787695,10,0.7,144.3414012698231,5,0.8,132.68476525537966,57,0.5614035087719298,96.79151464150806,0.0,1.0,5.425215146248791,3320.0417033064164,5521.977230014916,3320.0417033064164,120,DOWN,2,True,True,True
g_tr_above_ema200+g_regime_trending_with,39,0.6923076923076923,69.62550352025615,42,0.6666666666666666,24.76032841330269,5,0.8,106.7755203819208,86,0.686046511627907,49.87448875067799,0.0,1.0,3.97582236399526,2671.7398932568726,4292.98506871034,2671.7398932568726,120,DOWN,2,True,True,True
g_tr_stack_full_with+g_trend_slope_strong_with,23,0.8260869565217391,274.5114003574344,11,0.9090909090909092,31.354093193674,6,1.0,58.44964234735561,40,0.875,175.23387718588847,0.0,0.0,9.56187002589025,1755.034194887999,7015.53073068438,1755.034194887999,720,DOWN,2,True,True,True
g_tr_stack_with+g_trend_slope_strong_with,23,0.8260869565217391,274.5114003574344,11,0.9090909090909092,31.354093193674,6,1.0,58.44964234735561,40,0.875,175.23387718588847,0.0,0.0,9.56187002589025,1755.034194887999,7015.53073068438,1755.034194887999,720,DOWN,2,True,True,True
