rank,gates,off,dir,n_train,n_val,n_lockbox,n_full,wr_train,wr_val,wr_lockbox,wr_full,dpt_25_train,dpt_25_val,dpt_25_lockbox,dpt_25_full,total_pnl_full,max_dd_25,loss_streak,sharpe,bootstrap_p_lockbox,bootstrap_p_full,ci_lockbox_lo,ci_lockbox_hi,ci_full_lo,ci_full_hi,proj_32d,proj_full,proj_honest,lock_days_with_fires,lock_total_days
1,g_btc_sol_confluence_5m_with+g_liq_shock_against,600,DOWN,36,13,8,57,0.5555555555555556,0.6153846153846154,0.875,0.6140350877192983,78.12332583468076,527.5474607120348,495.36585329686494,239.18392185403295,13633.483545679877,-5963.493232844099,3,2.550935176274846,0.0654,0.1133,-21.24908995517553,1155.6410601045206,-96.0706325893317,663.1487959813409,19832.091959303558,13645.495425455805,13645.495425455805,6,6.52625
2,g_xa_unanimity_5m_with+g_liq_shock_against,600,DOWN,31,11,6,48,0.6129032258064516,0.6363636363636364,0.8333333333333334,0.6458333333333334,149.0886528187559,540.3008055771735,455.6279206590007,277.0588463059239,13298.824622684344,-4694.549952499498,3,2.784303294283845,0.1362,0.1213,-175.76338420863692,1321.4932843021768,-105.90292251987933,789.4724792809183,13680.880648509905,13310.541648783628,13310.541648783628,5,6.52625
3,g_btc_eth_confluence_5m_with+g_di_agrees+g_liq_shock_against,600,DOWN,19,11,6,36,0.5789473684210527,0.8181818181818182,0.8333333333333334,0.6944444444444444,4.971152587158107,718.0556243195019,840.46586186236,362.1071927179079,13035.858937844685,-1807.5859893871757,2,3.8048988123575285,0.0743,0.0867,-107.60388653123933,1873.6939322623723,-48.33453266602101,943.2958963028328,25236.190812572004,13047.344276115911,13047.344276115911,4,6.52625
4,g_btc_eth_divergence+g_stoch_with+g_vol_contracting,720,UP,75,17,21,113,0.84,0.7058823529411765,1.0,0.8495575221238938,12.830944635312594,36.98226082491951,155.15324505661437,42.91360555629184,4849.237427860979,-1799.297741747402,2,1.7345078358199224,0.0002,0.1274,84.82451049326399,239.57761904754258,-28.002591215509426,120.9126943460583,16305.44411484842,4853.509883744556,4853.509883744556,6,6.52625
5,g_grandparent_1h_slope_strong_with+g_stoch_with+g_vol_high,720,UP,25,5,7,37,0.88,0.6,1.0,0.8648648648648649,40.02477122358433,131.47236654395002,450.27434085364064,129.9973378185093,4809.9014992848415,-1250.0,2,3.500466454834662,0.0638,0.0942,29.889816959907364,1239.5543456595583,-42.52779992264693,345.0469393910854,15773.487041709912,4814.139297962627,4814.139297962627,3,6.52625
