side,indicator,permutation_importance,importance_normalized,train_acc,test_acc,n_pos_events
bull,z_lsr,0.0011679573441666148,1167957.3441666146,0.7458374142997062,0.6854132283864416,4441
bull,z_fund,-0.0011933477212136222,-1193347.7212136223,0.7458374142997062,0.6854132283864416,4441
bull,z_oi,-0.00507807540941978,-5078075.40941978,0.7458374142997062,0.6854132283864416,4441
bull,z_oi_silent,0.0025136473276628603,2513647.32766286,0.7458374142997062,0.6854132283864416,4441
bull,z_cb_premium,0.0,0.0,0.7458374142997062,0.6854132283864416,4441
bull,z_dom_stables,-0.00038085565570644686,-380855.65570644685,0.7458374142997062,0.6854132283864416,4441
bull,z_top_lsr_count,-0.008048749523930398,-8048749.523930398,0.7458374142997062,0.6854132283864416,4441
bull,z_top_lsr_sum,-0.0009648343277897542,-964834.3277897541,0.7458374142997062,0.6854132283864416,4441
bull,z_taker_ratio,0.0002792941475181276,279294.14751812763,0.7458374142997062,0.6854132283864416,4441
bull,brigalS,-0.0037069950488764158,-3706995.0488764155,0.7458374142997062,0.6854132283864416,4441
bull,oilsr,-0.007693284245271004,-7693284.245271004,0.7458374142997062,0.6854132283864416,4441
bull,cross_institutional_lead,0.006169861622445127,6169861.622445127,0.7458374142997062,0.6854132283864416,4441
bull,cross_leverage_heat,-0.04082772629173539,-40827726.29173539,0.7458374142997062,0.6854132283864416,4441
bull,cross_risk_off,0.02536498667005207,25364986.670052066,0.7458374142997062,0.6854132283864416,4441
bull,cross_real_money,-0.040192966865557886,-40192966.86555789,0.7458374142997062,0.6854132283864416,4441
bear,z_lsr,-0.012847530785832183,-12847530.785832183,0.7013276743932964,0.6002285133934239,4679
bear,z_fund,-5.078075409423732e-05,-50780.754094237316,0.7013276743932964,0.6002285133934239,4679
bear,z_oi,0.0010156150818839249,1015615.0818839248,0.7013276743932964,0.6002285133934239,4679
bear,z_oi_silent,0.00010156150818838583,101561.50818838582,0.7013276743932964,0.6002285133934239,4679
bear,z_cb_premium,0.0,0.0,0.7013276743932964,0.6002285133934239,4679
bear,z_dom_stables,0.00043163640980063976,431636.4098006397,0.7013276743932964,0.6002285133934239,4679
bear,z_top_lsr_count,-0.011324108163006242,-11324108.16300624,0.7013276743932964,0.6002285133934239,4679
bear,z_top_lsr_sum,0.0002539037704709868,253903.77047098678,0.7013276743932964,0.6002285133934239,4679
bear,z_taker_ratio,-0.0010156150818840138,-1015615.0818840137,0.7013276743932964,0.6002285133934239,4679
bear,brigalS,0.015995937539672433,15995937.539672432,0.7013276743932964,0.6002285133934239,4679
bear,oilsr,-0.013837755490669078,-13837755.490669077,0.7013276743932964,0.6002285133934239,4679
bear,cross_institutional_lead,0.016757648851085438,16757648.851085437,0.7013276743932964,0.6002285133934239,4679
bear,cross_leverage_heat,-0.028767297194363328,-28767297.194363326,0.7013276743932964,0.6002285133934239,4679
bear,cross_risk_off,-0.026634505522407047,-26634505.522407047,0.7013276743932964,0.6002285133934239,4679
bear,cross_real_money,-0.06568490542084553,-65684905.42084552,0.7013276743932964,0.6002285133934239,4679
