side,indicator,mean_at_zero_avg,mean_at_zero_std,cells,sign_consistency
bear,brigalS,0.16226074489817324,0.03480236017061007,3,4.662348878143021
bear,cross_institutional_lead,0.40119568379942394,0.11178496171977395,3,3.588995135187807
bear,cross_leverage_heat,5398.765191668787,774.6946222416268,3,6.9688946285016495
bear,cross_real_money,-10798.083856259816,1549.4593012952687,3,6.968936742793548
bear,cross_risk_off,0.00523419979979882,0.010955439831152918,3,0.47777176274701777
bear,oilsr,-0.006688306779777206,0.020664119830235802,3,0.32366763427256434
bear,z_dom_stables,-0.04432751503687373,0.019777730044676825,3,2.2412842594544604
bear,z_fund,0.024254428124406827,0.02040283874627005,3,1.1887771317528502
bear,z_lsr,0.08824407403307923,0.01746391750136021,3,5.052936949925821
bear,z_oi,0.080669369018264,0.00921876479867008,3,8.750561575223347
bear,z_oi_silent,0.06664746918926366,0.007599687740836635,3,8.76976416164259
bear,z_taker_ratio,0.018519303970561493,0.001700141477714184,3,10.892801695221525
bear,z_top_lsr_count,0.05377340601362487,0.021733934029094803,3,2.474168088558631
bear,z_top_lsr_sum,-0.07975038036479477,0.01080176629088979,3,7.383087007914274
bull,brigalS,-0.12578010586000302,0.019974717758000648,3,6.2969653631087334
bull,cross_institutional_lead,0.36753378064287795,0.01812782875338721,3,20.27456159492922
bull,cross_leverage_heat,3910.156081623148,464.99151064050454,3,8.40909133209139
bull,cross_real_money,-7820.786854303318,929.9809063188065,3,8.409620887014508
bull,cross_risk_off,-0.02670462120952378,0.007226274074860295,3,3.69548967183895
bull,oilsr,0.06852560983804018,0.010932757230221631,3,6.267916536975093
bull,z_dom_stables,0.0032630244907125953,0.00785075076109792,3,0.4156321592683277
bull,z_fund,0.0025746807619854268,0.03576849982060123,3,0.07198179333488607
bull,z_lsr,-0.05539909607844359,0.010115936996775474,3,5.476417666114611
bull,z_oi,0.013944500919949762,0.0015394161894993754,3,9.058304709972273
bull,z_oi_silent,0.05443601179486634,0.0025649716203787125,3,21.222851497604086
bull,z_taker_ratio,0.01271168648694595,0.003112928153994082,3,4.083514253496683
bull,z_top_lsr_count,-0.022780802482700698,0.008002471882237494,3,2.846720715541106
bull,z_top_lsr_sum,-0.023018136992650304,0.002286298759794771,3,10.067860507747694
