indicator,max_abs_linear_corr,gb_importance_bull,linear_rank,gb_rank,rank_gap
brigalS,0.01823163622781479,-0.0037069950488764158,7.0,10.0,3.0
cross_institutional_lead,0.031673978607341634,0.006169861622445127,2.0,2.0,0.0
cross_leverage_heat,0.019129710347587807,-0.04082772629173539,6.0,15.0,9.0
cross_real_money,0.019131448085874803,-0.040192966865557886,5.0,14.0,9.0
cross_risk_off,0.007913118728836816,0.02536498667005207,13.0,1.0,12.0
oilsr,0.004057914816611648,-0.007693284245271004,14.0,12.0,2.0
z_cb_premium,0.0,0.0,15.0,6.0,9.0
z_dom_stables,0.0571873434247733,-0.00038085565570644686,1.0,7.0,6.0
z_fund,0.02484591469375182,-0.0011933477212136222,3.0,9.0,6.0
z_lsr,0.018196388300282435,0.0011679573441666148,8.0,4.0,4.0
z_oi,0.020565011995102623,-0.00507807540941978,4.0,11.0,7.0
z_oi_silent,0.00818365060171246,0.0025136473276628603,12.0,3.0,9.0
z_taker_ratio,0.010636507026645122,0.0002792941475181276,10.0,5.0,5.0
z_top_lsr_count,0.009817057539499085,-0.008048749523930398,11.0,13.0,2.0
z_top_lsr_sum,0.01731774873844766,-0.0009648343277897542,9.0,8.0,1.0
