at,signal,outcome,won,entry_price,entry_qty,pnl_usd,hedged,mode,condition_id
2026-05-26 22:15:29.096887+00,DOWN,Down,true,0.49,2.04,1.019592,false,live,0x05389f22f1bd5487c291b35e331a32875a14089a7f585e76b46fa937861d172c
2026-05-26 23:10:49.037073+00,UP,Down,false,0.51,1.88,-0.9588,false,live,0xb8c12e90c0f9289d757dcf969952c55582bb0d9d806904546ca50b771feb923c
2026-05-27 03:46:15.372688+00,DOWN,Down,true,0.5,2,0.980,false,live,0x130063c3f05355ccfce0eb8a1b07bef9487aaba609b8e0fab400f451cf01af52
2026-05-27 04:55:24.965436+00,UP,Up,true,0.52,2,0.9408,false,live,0x169e981f1fb7cc1da100ca9d0882e60363a05e677ccc03df778b36edb0b9afab
2026-05-27 12:30:39.629904+00,UP,Up,true,0.51,1.96,0.941192,false,live,0x902fcc4cb8de9ebdd181feba972f253b5208274ef2030670ef4fded8caa19db0
2026-05-27 14:10:18.818641+00,UP,Down,false,0.51,1.88,-0.9588,false,live,0xe5b7f743cb2fd8e66dada147dfe2089ca39dcdfbe5f2eeef63b5f4d586d08fa4
2026-05-27 14:45:32.817776+00,UP,Down,false,0.51,1.96,-0.9996,false,live,0x4deb7b95857f08b1b6914320bb598824d527be12892761917ee34f4943087b78
2026-05-27 15:20:41.846655+00,UP,Up,true,0.5,2,0.980,false,live,0x692c86e1e21e42246eab52b2704d542964657354e41e793fae159b13ba6d0065
2026-05-27 15:40:30.208461+00,UP,Up,true,0.51,1.96,0.941192,false,live,0x4c9e51749aea9cbaf7e8552b8be718adac4d6c7cc3267a3186e4aad175632b91
2026-05-27 16:15:34.776576+00,DOWN,Down,true,0.51,1.88,0.902776,false,live,0x751de32cc5eb1c0dd4fb1a698696819caaca60566d98cac2b519fd8bf177e33b
2026-05-27 16:45:29.841677+00,DOWN,Up,false,0.49,2.04,-0.9996,false,live,0xcbd7643a8727735306f3ca2163353e3bc4e495ad8b535b4ad0804d45353535c8
2026-05-27 17:25:39.551422+00,DOWN,Up,false,0.48,2.08,-0.9984,false,live,0x10e53f420e37c1473f8bcaab3443559686d65c75c013013d3880872b5ffa576e
2026-05-27 19:05:20.748803+00,UP,Up,true,0.51,1.96,0.941192,false,live,0xa702981e9ff01c57c3e8c008bca97ba1246b518bf07e450c4a4d99552a1efa4a
2026-05-27 21:50:48.535837+00,DOWN,Down,true,0.48,2,1.0192,false,live,0x48c20b9e024224be13d7bc27f2a8484ba45077b0300051b51f66822bb4cdd6bd
2026-05-27 21:55:27.703654+00,DOWN,Down,true,0.48,2.08,1.059968,false,live,0xa8f56aaf550347f150367615f1f68cf9349c802aa53ba00f5793215df948f29d
2026-05-27 22:15:31.855677+00,UP,Down,false,0.51,1.88,-0.9588,false,live,0xd2de79613de670e7145646d3778251b16d3858e7f661870471c54c2f19fb476c
2026-05-27 23:05:33.060229+00,DOWN,Up,false,0.51,1.96,-0.9996,false,live,0x350db274a2d26b353c86a632aeed8c22a49924969bd78121484ebca520b7634d
2026-05-28 01:36:10.674426+00,DOWN,Up,false,0.48,2.08,-0.9984,false,live,0xa05dde8fe7537a4063acbe07ab136ec217a275025bb49304b63f3d786644b1f4
2026-05-28 01:55:31.174962+00,UP,Down,false,0.53,1.88,-0.9964,false,live,0x231c68a1be798b0244a18effbabe0e06b00d94d41057dcb4fb3c419333398890
2026-05-28 03:41:12.806961+00,DOWN,Down,true,0.49,2,0.9996,false,live,0x10394dfbb07fda8ffba12fcb55d210b56dda386c6624f27a23e70de36fe94712
2026-05-28 04:05:24.844252+00,DOWN,Down,true,0.49,2.04,1.019592,false,live,0xe8e25e19bf7383cdb317bf5212d6db3efbcbc81ce489462d218f30da7dc6c8cf
2026-05-28 04:45:42.661009+00,UP,Up,true,0.51,1.96,0.941192,false,live,0x77a44409762630ed9093f990aeeca9ebd25d1d09033d4bdd28d096affab70e90
2026-05-28 14:15:18.365677+00,DOWN,Up,false,0.49,2.04,-0.9996,false,live,0x300e016ce9ec86314a950bc997b1814f1d0ffa7edca5154ebe2f1f8465b98bc4
2026-05-28 14:20:25.963196+00,DOWN,Up,false,0.5,2,-1.0,false,live,0x7c13f8565b980a37892ecc77f2519fe923fcc5d971f724110209a3211cc10f93
2026-05-28 14:25:36.81641+00,UP,Down,false,0.51,1.96,-0.9996,false,live,0x0da5a5373780fa7a5d8a39c87a8268d461925fec2d8c73d752a8fde09f080450
