at,signal,outcome,won,entry_price,entry_qty,pnl_usd,hedged,mode,condition_id
2026-05-27 00:15:39.929068+02,DOWN,Down,true,0.4949020391843262694922031188,51.0204,24.87753582,false,paper,0x05389f22f1bd5487c291b35e331a32875a14089a7f585e76b46fa937861d172c
2026-05-27 01:10:54.307754+02,UP,Down,false,0.5142533190805310528849684616,49.0196,-25.20849200000000000000000000,false,paper,0xb8c12e90c0f9289d757dcf969952c55582bb0d9d806904546ca50b771feb923c
2026-05-27 05:46:08.105897+02,DOWN,Down,true,0.50437,50.0000,23.90656684,false,paper,0x130063c3f05355ccfce0eb8a1b07bef9487aaba609b8e0fab400f451cf01af52
2026-05-27 06:40:50.552136+02,DOWN,Up,false,0.4941003990560638489702158352,51.0204,-25.20920000000000000000000000,false,paper,0x6eaf52e1141d2d21212f04bcdd70e15e5e9868f977b86b09970243c28b9ea798
2026-05-27 06:55:24.871273+02,UP,Up,true,0.5220335961761261645405589795,48.0769,22.13943107,false,paper,0x169e981f1fb7cc1da100ca9d0882e60363a05e677ccc03df778b36edb0b9afab
2026-05-27 14:30:48.18034+02,UP,Up,true,0.5148897991823678691788590686,49.0196,22.92282576,false,paper,0x902fcc4cb8de9ebdd181feba972f253b5208274ef2030670ef4fded8caa19db0
2026-05-27 16:10:55.361443+02,UP,Down,false,0.5138697990191678430668548907,49.0196,-25.18969200000000000000000000,false,paper,0xe5b7f743cb2fd8e66dada147dfe2089ca39dcdfbe5f2eeef63b5f4d586d08fa4
2026-05-27 16:45:47.154157+02,UP,Down,false,0.5193696398991423838627814180,49.0196,-25.45929200000000000000000000,false,paper,0x4deb7b95857f08b1b6914320bb598824d527be12892761917ee34f4943087b78
2026-05-27 17:20:32.411471+02,UP,Up,true,0.505284,50.0000,23.86089772,false,paper,0x692c86e1e21e42246eab52b2704d542964657354e41e793fae159b13ba6d0065
2026-05-27 17:40:32.121326+02,UP,Up,true,0.51,49.0196,23.16210414,false,paper,0x4c9e51749aea9cbaf7e8552b8be718adac4d6c7cc3267a3186e4aad175632b91
2026-05-27 18:15:24.170303+02,DOWN,Down,true,0.5320203180848763403703216889,47.1698,21.25242193,false,paper,0x751de32cc5eb1c0dd4fb1a698696819caaca60566d98cac2b519fd8bf177e33b
2026-05-27 18:45:32.437582+02,DOWN,Up,false,0.4941003990560638489702158352,51.0204,-25.20920000000000000000000000,false,paper,0xcbd7643a8727735306f3ca2163353e3bc4e495ad8b535b4ad0804d45353535c8
2026-05-27 19:25:37.737211+02,DOWN,Up,false,0.4880703987650552096353341666,52.0833,-25.42031700000000000000000000,false,paper,0x10e53f420e37c1473f8bcaab3443559686d65c75c013013d3880872b5ffa576e
2026-05-27 21:05:28.888991+02,UP,Up,true,0.51,49.0196,23.16210414,false,paper,0xa702981e9ff01c57c3e8c008bca97ba1246b518bf07e450c4a4d99552a1efa4a
2026-05-27 23:50:32.999485+02,DOWN,Down,true,0.4940287961784295541949146847,52.0833,25.44132224,false,paper,0x48c20b9e024224be13d7bc27f2a8484ba45077b0300051b51f66822bb4cdd6bd
2026-05-27 23:55:29.778375+02,DOWN,Down,true,0.4895820733325269328172370030,52.0833,25.67318794,false,paper,0xa8f56aaf550347f150367615f1f68cf9349c802aa53ba00f5793215df948f29d
2026-05-28 00:15:36.516496+02,UP,Down,false,0.53,47.1698,-24.999994,false,paper,0xd2de79613de670e7145646d3778251b16d3858e7f661870471c54c2f19fb476c
2026-05-28 01:05:47.482596+02,DOWN,Up,false,0.5138697990191678430668548907,49.0196,-25.18969200000000000000000000,false,paper,0x350db274a2d26b353c86a632aeed8c22a49924969bd78121484ebca520b7634d
2026-05-28 03:36:06.19476+02,DOWN,Up,false,0.4881612724232143508571845486,52.0833,-25.42505000000000000000000000,false,paper,0xa05dde8fe7537a4063acbe07ab136ec217a275025bb49304b63f3d786644b1f4
2026-05-28 03:55:22.236876+02,UP,Down,false,0.53,47.1698,-24.999994,false,paper,0x231c68a1be798b0244a18effbabe0e06b00d94d41057dcb4fb3c419333398890
2026-05-28 05:41:21.58164+02,DOWN,Down,true,0.4944923991187838590054174409,51.0204,24.89845133,false,paper,0x10394dfbb07fda8ffba12fcb55d210b56dda386c6624f27a23e70de36fe94712
2026-05-28 06:05:46.212363+02,DOWN,Down,true,0.4949020391843262694922031188,51.0204,24.87753582,false,paper,0xe8e25e19bf7383cdb317bf5212d6db3efbcbc81ce489462d218f30da7dc6c8cf
2026-05-28 13:00:50.488974+02,DOWN,Down,true,0.4941101990576318492210958754,51.0204,24.91796689,false,paper,0xd7044d8c83252a1018df55546448684c74e7b91eefc9bd0177ad959d9c2b7389
2026-05-28 16:15:30.789915+02,DOWN,Up,false,0.4949098791855806696929071509,51.0204,-25.25050000000000000000000000,false,paper,0x300e016ce9ec86314a950bc997b1814f1d0ffa7edca5154ebe2f1f8465b98bc4
2026-05-28 16:20:59.161694+02,DOWN,Up,false,0.5,50.0000,-25.00000,false,paper,0x7c13f8565b980a37892ecc77f2519fe923fcc5d971f724110209a3211cc10f93
2026-05-28 16:25:52.766679+02,UP,Down,false,0.5146715191474430635908901745,49.0196,-25.22899200000000000000000000,false,paper,0x0da5a5373780fa7a5d8a39c87a8268d461925fec2d8c73d752a8fde09f080450
2026-05-28 16:35:20.976168+02,UP,Down,false,0.5238799990207998433279749325,49.0196,-25.68038800000000000000000000,false,paper,0xc6ed332e0be8783aae8d1b4a32d41085769312c3a0d936b1f388b0eea964e0a2
2026-05-28 17:15:19.927321+02,UP,Down,false,0.5142696390831422533027605284,49.0196,-25.20929200000000000000000000,false,paper,0xc9de934cb383e98e42a972f1b194004c360f2725a067811511252739f1939615
2026-05-28 18:55:43.573304+02,UP,Up,true,0.5138697990191678430668548907,49.0196,22.97272510,false,paper,0xaa90f86c096222fccf21d514d4f1980ad8eb416446965b888834a903364bcb64
2026-05-28 19:32:08.301189+02,UP,Down,false,0.51,49.0196,-24.999996,false,paper,0xfccabce54eeb9a23cdf82d7470da0a60fe2d6b784b40ebea75cacc330fa76472
2026-05-28 19:55:16.481058+02,UP,Down,false,0.5128497988559678169548507128,49.0196,-25.13969200000000000000000000,false,paper,0x8cb4b1ac26a98a6e386b6beead3d1ae18be3c610cbd62fb1475b92b692ecd0a7
2026-05-28 20:55:38.689913+02,UP,Up,true,0.5128497988559678169548507128,49.0196,23.02263158,false,paper,0x081cc71918f87ad880050119fe61c82a89bcce7b2e2a0b84ef8edacd2f1131cf
2026-05-28 21:45:40.03669+02,DOWN,Down,true,0.506,50.0000,23.82512600,false,paper,0xc03b127efabcb2e0196c2bea595e1b87901a4ca82fd3a21f7911a33c73d4b051
2026-05-28 22:10:39.400826+02,DOWN,Down,true,0.51697,50.0000,23.27750793,false,paper,0x761bbb3a5e5a92dc0476658dbedaab11f650ee6aa8c6d96e1a477b0021126613
2026-05-28 22:30:31.465889+02,UP,Up,true,0.5238799990207998433279749325,49.0196,22.48332575,false,paper,0x5a2828f86a1fe2a0f7e2e3a420c5087dd249e563c16d85454767d8173a603cf1
2026-05-29 02:11:12.745196+02,UP,Up,true,0.5142696390831422533027605284,49.0196,22.95316370488670817387330782,false,paper,0x48ce4806126c633e6d0f5d4e62405c2c59afac9269680df07f3e1c916ae8695b
2026-05-29 02:21:54.731969+02,UP,Up,true,0.5138697990191678430668548907,49.0196,22.97272509757763180442108871,false,paper,0x86538957a40e88dae9e93b830a5bf6d3a6aef2d391aa0688d6be9e791f63e309
2026-05-29 03:30:56.819213+02,DOWN,Down,true,0.518,50.0000,23.226134000000,false,paper,0xf8b27d32856d2526d6faaf40c964e2cf95b23e73362df2f8e90a95965cf01300
2026-05-29 04:05:24.826917+02,UP,Up,true,0.5269399995103999216639874662,49.0196,22.33385936480514080082252813,false,paper,0x15e9ea240378be669f541ca308e20ab194e98c0142711b0634c223264efe8d1a
2026-05-29 09:40:30.810189+02,DOWN,Down,true,0.5,50.0000,24.12500000,false,paper,0x994e7adb1155e9acc70b318af588177215eec9ebcc7bca739be1979e8375e52a
2026-05-29 10:10:53.065337+02,UP,Up,true,0.5148999991839998694399791104,49.0196,22.92232679881428000228480036,false,paper,0xf44b4a68db778b9621426570d08805c42bff5ccfe945ffb3a09358c006a187bb
2026-05-29 12:40:15.408647+02,DOWN,Up,false,0.4941003990560638489702158352,51.0204,-25.20920000000000000000000000,false,paper,0xce55f19a7260414f0ec62a5d1084ad427991e3e21298438eaac15bc9619f2e7b
2026-05-29 14:00:30.047383+02,DOWN,Up,false,0.52796,50.0000,-26.398000000,false,paper,0xca9c3ff742aa820ae068bbb998c8d7d173e6caf05331fc3b2817bc86fdbbe682
2026-05-29 14:45:26.243362+02,DOWN,Up,false,0.5336975969748465479263430046,48.0769,-25.65852600000000000000000000,false,paper,0xd124260978c5b2451ad3a3c52092f372b97c1277c95cd8a04e06ecaaeaecc316
2026-05-29 16:35:15.387708+02,DOWN,Up,false,0.4950999992159998745599799296,51.0204,-25.26020000000000000000000000,false,paper,0xdf069318122bde89a904000c5497883509320b4b52ae3c3e205535f4e7be107c
2026-05-29 17:20:47.809881+02,UP,Up,true,0.49,51.0204,25.1279041428,false,paper,0x81ea7016cd07b5e65830ed24e85e27b477363db9be888befa36b3f365df9aefb
2026-05-29 17:40:57.007568+02,UP,Up,true,0.4915543586486973837915814067,51.0204,25.04849774588007934081269453,false,paper,0x08c19bb5f388cccf43f8fa8521ebf4724c62010d8122408d0658ccf14531f69d
2026-05-29 17:45:44.322025+02,UP,Down,false,0.48,52.0833,-24.999984,false,paper,0x7818f4a0204f8929814f71393c65d55f9654d5f4dca3b9f538ade1525bf1633d
2026-05-29 18:35:42.288838+02,DOWN,Up,false,0.50198,50.0000,-25.099000000,false,paper,0xfa1115592b31a80459c8ccbc35cac0d79ca207cbf6fed2cc4700882e2321f7e8
2026-05-29 18:51:27.117985+02,UP,Down,false,0.51,49.0196,-24.999996,false,paper,0x7cee424833a21416be0fd0d6bcef84e96e3aa8c4c8d750a70ef907017074d0eb
2026-05-29 19:20:49.005936+02,UP,Up,true,0.5152386392381822781091644975,49.0196,22.90576181991212657794025247,false,paper,0xce296e8dd4987795166e90b6482dfde0b7fd3abc508ad6852eba0e4989aaa4b1
2026-05-29 20:00:25.628688+02,DOWN,Up,false,0.4974990395998463359754137561,51.0204,-25.38260000000000000000000000,false,paper,0x79d71609d5c69a90c8f1c45014146aff22966cd70d0c7999eddffbc52847146b
2026-05-29 20:06:24.616097+02,DOWN,Down,true,0.50399,50.0000,23.9255557203500000,false,paper,0x1c37b18f2947feeb2be7d2a902da1ccc3339c124e538b4b360aab7137b1ef4a7
2026-05-30 00:05:30.306681+02,DOWN,Down,true,0.50439,50.0000,23.9055674523500000,false,paper,0x1df137c3f500b0e532af234e606414617c783eb82469881be9ed53cdfce93018
2026-05-30 06:45:30.613247+02,DOWN,Up,false,0.4875923184590838138136408407,52.0833,-25.39541700000000000000000000,false,paper,0xcf3ef55ca12b7b54c2e78beb79e5f28bb9068067df0ff83aaedde92e87d19111
2026-05-30 07:15:22.548549+02,UP,Up,true,0.5101916784306685489069678251,49.0196,23.15272141767073741931798709,false,paper,0x4c7897dee1c17138413d360102e09a10fcf37e1253a9048669c209fcada78daf
2026-05-31 00:10:28.350844+02,DOWN,Down,true,0.50199,50.0000,24.0255138603500000,false,paper,0xfac9f15c855a745e07b29f546374edaf85343a02896c7d16449ea401ab8b922e
2026-05-31 00:16:16.340735+02,DOWN,Up,false,0.50039,50.0000,-25.019500000,false,paper,0x6b352ae8e5f6da1dbc63fad0128008367d65fe354c3661a95a1b8309cc0901f5
2026-05-31 04:25:27.680599+02,UP,Down,false,0.51,49.0196,-24.999996,false,paper,0x51a2c06df91235d646be146756904da5e5065c972cbd9a717340210694d20bf3
2026-05-31 16:26:04.878317+02,DOWN,Up,false,0.523834,50.0000,-26.1917000000,false,paper,0x6b3e9071fb031521a4d0cc8ef8193fc5ad643587a37672aa30f21e0fa28bfd78
2026-05-31 18:55:34.982514+02,DOWN,Up,false,0.50339,50.0000,-25.169500000,false,paper,0x262050292272249aa7e7bb53a174b17969d21af80837f93c44028c7247638be8
2026-06-01 00:10:27.797364+02,UP,Up,true,0.50299,50.0000,23.9755312903500000,false,paper,0x1a6c128ea79464f31b5ed69c1da50a747f2d28607ef5dd1634b6edef9e2799da
2026-06-01 00:26:09.37741+02,UP,Down,false,0.5116399970623995299839247974,49.0196,-25.08038800000000000000000000,false,paper,0x2a97ff1eb43f33b80f92ab9f374694162ab6f1f52e053cadd121febcd7e8d861
2026-06-01 01:40:16.696799+02,DOWN,Down,true,0.50339,50.0000,23.9555402223500000,false,paper,0x93d5e9fa2d747f204c559b5eeaaa5ecfd8dab3db22842739beef4a46bcbc6c3c
2026-06-01 03:40:18.565384+02,DOWN,Down,true,0.4923599187775870044139207062,51.0204,25.00735146725623476099756176,false,paper,0x8dd9c409e12564bccd100542762179520f3ac6d3ea32020c3b83b88016decc09
2026-06-01 04:20:36.752172+02,UP,Down,false,0.53,47.1698,-24.999994,false,paper,0xb75416d25005defc30baa63eb3e0eb5d062fe789a9e8d222786bc4a2807b9027
2026-06-01 04:41:05.113179+02,DOWN,Up,false,0.5128599988575998172159707546,49.0196,-25.14019200000000000000000000,false,paper,0xe0257c018eb71a4c1f91b6fcb5aac8b823bb244cabb70982aee0c521a63b8448
2026-06-01 07:20:32.208418+02,DOWN,Down,true,0.50297,50.0000,23.9765308731500000,false,paper,0x1bc0dc1a5c22367f724ecb2321d98215ff410455da1221f59c2b1714eddd2d6b
2026-06-01 08:30:47.348244+02,DOWN,Down,true,0.4992199982751997240319558451,51.0204,24.65714117286640481062476970,false,paper,0x60d6d06d20f42157e0f503618810c7192b3cfbf4650e9b85b0b95a521c5b6d76
