=== BTC 5m: 1400 slugs — scanning L25 (short side) ===
=== BTC 15m: 1400 slugs — scanning L25 (short side) ===
=== ETH 5m: 1400 slugs — scanning L25 (short side) ===
=== ETH 15m: 1400 slugs — scanning L25 (short side) ===
=== SOL 5m: 1400 slugs — scanning L25 (short side) ===
=== SOL 15m: 1400 slugs — scanning L25 (short side) ===

================================================================================================
SHORT-SIDE T3 (per-set PnL = sum_bid_fill - 1 - taker fee both legs; instant flat, no resolution)
coin   tf  theta slugs spike% fill%  lat$/set                CI95  opt$/set
BTC    5m  1.000  1348  25.6% 24.0%   -0.0580[-0.0623,-0.0539]   -0.0239
BTC    5m  1.020  1348   7.6%  7.4%   -0.0720[-0.0844,-0.0607]   +0.0120
BTC    5m  1.035  1348   4.4%  4.1%   -0.0736[-0.0963,-0.0548]   +0.0656
BTC    5m  1.050  1348   3.0%  2.7%   -0.0733[-0.1052,-0.0474]   +0.1118
BTC   15m  1.000  1392  49.7% 48.1%   -0.0516[-0.0537,-0.0497]   -0.0293
BTC   15m  1.020  1392  11.6% 11.1%   -0.0675[-0.0781,-0.0590]   -0.0064
BTC   15m  1.035  1392   4.7%  4.5%   -0.0690[-0.0899,-0.0522]   +0.0389
BTC   15m  1.050  1392   3.6%  3.4%   -0.0682[-0.0956,-0.0484]   +0.0619
ETH    5m  1.000  1349  40.1% 39.3%   -0.0797[-0.0832,-0.0761]   -0.0374
ETH    5m  1.020  1349  19.3% 19.1%   -0.0856[-0.0914,-0.0800]   -0.0222
ETH    5m  1.035  1349   9.3%  9.1%   -0.0948[-0.1038,-0.0859]   -0.0083
ETH    5m  1.050  1349   5.0%  4.8%   -0.0990[-0.1121,-0.0866]   +0.0082
ETH   15m  1.000  1389  50.1% 48.5%   -0.0703[-0.0727,-0.0680]   -0.0258
ETH   15m  1.020  1389  32.2% 31.7%   -0.0753[-0.0788,-0.0719]   -0.0109
ETH   15m  1.035  1389  19.4% 19.1%   -0.0781[-0.0833,-0.0734]   +0.0023
ETH   15m  1.050  1389  10.9% 10.7%   -0.0793[-0.0864,-0.0727]   +0.0185
SOL    5m  1.000  1355  25.8% 24.1%   -0.1177[-0.1247,-0.1113]   -0.0486
SOL    5m  1.020  1355  15.2% 14.5%   -0.1255[-0.1363,-0.1162]   -0.0348
SOL    5m  1.035  1355   9.2%  8.6%   -0.1346[-0.1514,-0.1207]   -0.0221
SOL    5m  1.050  1355   6.1%  5.7%   -0.1407[-0.1632,-0.1212]   -0.0118
SOL   15m  1.000  1390  29.5% 26.3%   -0.0981[-0.1040,-0.0924]   -0.0362
SOL   15m  1.020  1390  17.1% 15.5%   -0.1121[-0.1211,-0.1036]   -0.0247
SOL   15m  1.035  1390  11.5% 10.4%   -0.1303[-0.1471,-0.1157]   -0.0169
SOL   15m  1.050  1390   6.8%  6.1%   -0.1462[-0.1730,-0.1235]   -0.0075

POOLED per theta (realistic 85ms-latency fill):
  theta=1.000  n_fill= 2889  lat $/set=-0.0752 CI=[-0.0769,-0.0735]  opt=-0.0324
  theta=1.020  n_fill= 1364  lat $/set=-0.0892 CI=[-0.0923,-0.0861]  opt=-0.0164
  theta=1.035  n_fill=  767  lat $/set=-0.0982 CI=[-0.1037,-0.0932]  opt=+0.0010
  theta=1.050  n_fill=  460  lat $/set=-0.1031 CI=[-0.1109,-0.0954]  opt=+0.0196

READ: theta=1.035 is fee-breakeven. lat $/set CI>0 there on any market = short side ALIVE; else DEAD
  (extends the prior BTC-15m PARK to all 6 markets, latency-confirmed).
