sleeve,filter,n,wr,avg,sum
poly_updown_btc_15m_momo,BASELINE_ALL,30,80.0,15.634,469.02
poly_updown_btc_15m_momo,F7_only,30,80.0,15.634,469.02
poly_updown_btc_15m_momo,MARKOV:w20_1m_voladaptive,30,80.0,15.634,469.02
poly_updown_btc_15m_momo,F7+MARKOV:w20_1m_voladaptive,30,80.0,15.634,469.02
poly_updown_btc_15m_momo,MARKOV:w20_5m_voladaptive,18,66.67,9.723,175.02
poly_updown_btc_15m_momo,F7+MARKOV:w20_5m_voladaptive,18,66.67,9.723,175.02
poly_updown_btc_15m_momo,MARKOV:w20_1m_fixed,12,50.0,0.771,9.25
poly_updown_btc_15m_momo,F7+MARKOV:w20_1m_fixed,12,50.0,0.771,9.25
poly_updown_btc_15m_momo,MARKOV:w20_5m_fixed,6,100.0,26.542,159.25
poly_updown_btc_15m_momo,F7+MARKOV:w20_5m_fixed,6,100.0,26.542,159.25
poly_updown_btc_15m_momo_v2,BASELINE_ALL,65,13.85,-9.797,-636.82
poly_updown_btc_15m_momo_v2,F7_only,62,9.68,-10.651,-660.36
poly_updown_btc_15m_momo_v2,MARKOV:w20_1m_voladaptive,30,20.0,-14.692,-440.75
poly_updown_btc_15m_momo_v2,F7+MARKOV:w20_1m_voladaptive,30,20.0,-14.692,-440.75
poly_updown_btc_15m_momo_v2,MARKOV:w20_5m_voladaptive,30,20.0,-14.692,-440.75
poly_updown_btc_15m_momo_v2,F7+MARKOV:w20_5m_voladaptive,30,20.0,-14.692,-440.75
poly_updown_btc_15m_momo_v2,MARKOV:w20_1m_fixed,30,20.0,-14.692,-440.75
poly_updown_btc_15m_momo_v2,F7+MARKOV:w20_1m_fixed,30,20.0,-14.692,-440.75
poly_updown_btc_15m_momo_v2,MARKOV:w20_5m_fixed,6,100.0,26.542,159.25
poly_updown_btc_15m_momo_v2,F7+MARKOV:w20_5m_fixed,6,100.0,26.542,159.25
poly_updown_btc_15m_sniper,BASELINE_ALL,155,41.94,-5.084,-788.07
poly_updown_btc_15m_sniper,F7_only,123,33.33,-6.294,-774.15
poly_updown_btc_15m_sniper,MARKOV:w20_1m_voladaptive,93,39.78,-9.928,-923.27
poly_updown_btc_15m_sniper,F7+MARKOV:w20_1m_voladaptive,85,43.53,-8.49,-721.67
poly_updown_btc_15m_sniper,MARKOV:w20_5m_voladaptive,74,32.43,-10.299,-762.12
poly_updown_btc_15m_sniper,F7+MARKOV:w20_5m_voladaptive,74,32.43,-10.299,-762.12
poly_updown_btc_15m_sniper,MARKOV:w20_1m_fixed,28,42.86,-11.139,-311.89
poly_updown_btc_15m_sniper,F7+MARKOV:w20_1m_fixed,28,42.86,-11.139,-311.89
poly_updown_btc_15m_sniper,MARKOV:w20_5m_fixed,32,50.0,-13.396,-428.67
poly_updown_btc_15m_sniper,F7+MARKOV:w20_5m_fixed,32,50.0,-13.396,-428.67
poly_updown_btc_15m_volume_INV_NIGHT,BASELINE_ALL,117,32.48,-9.253,-1082.61
poly_updown_btc_15m_volume_INV_NIGHT,F7_only,32,31.25,-9.73,-311.35
poly_updown_btc_15m_volume_INV_NIGHT,MARKOV:w20_1m_voladaptive,18,0.0,-25.0,-450.0
poly_updown_btc_15m_volume_INV_NIGHT,F7+MARKOV:w20_1m_voladaptive,18,0.0,-25.0,-450.0
poly_updown_btc_15m_volume_INV_NIGHT,MARKOV:w20_5m_voladaptive,26,0.0,-25.0,-650.0
poly_updown_btc_15m_volume_INV_NIGHT,F7+MARKOV:w20_5m_voladaptive,18,0.0,-25.0,-450.0
poly_updown_btc_15m_volume_INV_NIGHT,MARKOV:w20_1m_fixed,6,0.0,-25.0,-150.0
poly_updown_btc_15m_volume_INV_NIGHT,F7+MARKOV:w20_1m_fixed,6,0.0,-25.0,-150.0
poly_updown_btc_15m_volume_INV_NIGHT,MARKOV:w20_5m_fixed,10,0.0,-25.0,-250.0
poly_updown_btc_15m_volume_INV_NIGHT,F7+MARKOV:w20_5m_fixed,10,0.0,-25.0,-250.0
poly_updown_btc_5m_momo,BASELINE_ALL,240,72.08,10.054,2412.9
poly_updown_btc_5m_momo,F7_only,237,71.73,9.883,2342.34
poly_updown_btc_5m_momo,MARKOV:w20_1m_voladaptive,234,72.65,10.331,2417.34
poly_updown_btc_5m_momo,F7+MARKOV:w20_1m_voladaptive,234,72.65,10.331,2417.34
poly_updown_btc_5m_momo,MARKOV:w20_5m_voladaptive,120,75.0,9.25,1109.95
poly_updown_btc_5m_momo,F7+MARKOV:w20_5m_voladaptive,120,75.0,9.25,1109.95
poly_updown_btc_5m_momo,MARKOV:w20_1m_fixed,138,82.61,14.414,1989.09
poly_updown_btc_5m_momo,F7+MARKOV:w20_1m_fixed,138,82.61,14.414,1989.09
poly_updown_btc_5m_momo,MARKOV:w20_5m_fixed,54,100.0,16.584,895.52
poly_updown_btc_5m_momo,F7+MARKOV:w20_5m_fixed,54,100.0,16.584,895.52
