sleeve_a,sleeve_b,n_a,n_b,jaccard_fire,jaccard_slug,inter_fires,union_fires,inter_slugs,union_slugs,cov_smaller
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_5M_V7_T1_PARENT15M_REGIME,917,526,0.0,0.0,0,1443,0,1149,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_5M_V7_T2_PARENT15M_SLOPE,917,413,0.0,0.0,0,1330,0,1163,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_5M_V7_T3_OFI_TS,917,689,0.0,0.0,0,1606,0,1358,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_5M_V7_T4_HURST_TS_HAWKES,917,918,0.0,0.0,0,1835,0,1422,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,BTC_5M_V7_T5_PARENT15M_NOTRANGING_MPSKEW,917,219,0.0,0.0,0,1136,0,1014,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_15M_V7_PG_RV_ABOVE_MED,917,56,0.0,0.0,0,973,0,973,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_15M_V7_PG_VOL_EXTREME_CORE,917,37,0.0,0.0,0,954,0,954,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_15M_V7_PG_VOL_EXTREME_TS,917,35,0.0,0.0,0,952,0,952,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_15M_V7_PI_S1_BTC_15M_TREND,917,64,0.0,0.0,0,981,0,981,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_15M_V7_PI_S1_TS_AND_BTC_15M,917,57,0.0,0.0,0,974,0,974,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_5M_V7_C1_CLOUD_VWAP_HURST_MP,917,163,0.0,0.0,0,1080,0,1080,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_5M_V7_C2_EMA50_HURST_PARENT_RANGING,917,748,0.0,0.0,0,1665,0,1665,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_5M_V7_C3_V6C3_PARENT_RANGING,917,437,0.0,0.0,0,1354,0,1354,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_5M_V7_C4_XA_3SOURCE_PARENT_RANGING,917,105,0.0,0.0,0,1022,0,1022,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,ETH_5M_V7_C5_CLOUD_HURST_VWAP_PARENT,917,265,0.0,0.0,0,1182,0,1182,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_15M_V7_S1_BTC_ADX_VOLLOW,917,40,0.0,0.0,0,957,0,946,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_15M_V7_S1_BTC_ADX_VOLLOW_V2,917,42,0.0,0.0,0,959,0,948,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_15M_V7_S3_XADX_ETHVOLLOW,917,52,0.0,0.0,0,969,0,957,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_15M_V7_S5_BTC_SLOPE_STR,917,104,0.0,0.0,0,1021,0,999,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_15M_V7_S5_BTC_SLOPE_STR_V2,917,104,0.0,0.0,0,1021,0,999,0.0
BTC_15M_EMA50_EMA800_OFF600_DOWN_V5,SOL_5M_V7_S1_BTC_TREND_CCI_HURST_REV,917,661,0.0,0.0,0,1578,0,1465,0.0
