v6_sleeve,v6_asset,v6_tf,v6_n,v6_dpt,v6_28d,duplicate_v7_count,duplicate_v7_list,partial_v7_count,partial_v7_list,compatible_v7_count,compatible_v7_list
BTC_15M_EMA200_MPSKEW_RF_OFF600_DOWN_V6,BTC,15m,526,-0.5339828984023488,-238.31818568696343,1,"BTC_15M_V7_BASELINE (J=1.00, cov=1.00)",0,(none),0,(none)
BTC_15M_EMA800_RIBSLP_HAWKES_OFF840_V6,BTC,15m,353,7.032073871019022,2106.2126709440004,0,(none),0,(none),1,BTC_15M_V7_BASELINE (J=0.00)
BTC_15M_VWAPPREM_EMA50_MPSKEW_OFF600_V6,BTC,15m,359,1.279783383565414,389.8297748969558,0,(none),0,(none),1,BTC_15M_V7_BASELINE (J=0.17)
ETH_15M_PW_TRENDSLOPE_TRSTACK_VWAP_VOL_OFFEARLY_V6,ETH,15m,63,8.611684230531385,460.3336661411322,5,"ETH_15M_V7_PG_RV_ABOVE_MED (J=0.89, cov=1.00);ETH_15M_V7_PG_VOL_EXTREME_CORE (J=0.54, cov=0.95);ETH_15M_V7_PG_VOL_EXTREME_TS (J=0.56, cov=1.00);ETH_15M_V7_PI_S1_BTC_15M_TREND (J=0.81, cov=0.90);ETH_15M_V7_PI_S1_TS_AND_BTC_15M (J=0.90, cov=1.00)",0,(none),0,(none)
ETH_15M_TRSTACK_VWAP_VOL_OFFEARLY_BAND_V6,ETH,15m,90,7.622218757109252,582.0603414519792,2,"ETH_15M_V7_PI_S1_BTC_15M_TREND (J=0.57, cov=0.88);ETH_15M_V7_PI_S1_TS_AND_BTC_15M (J=0.52, cov=0.88)",1,"ETH_15M_V7_PG_RV_ABOVE_MED (J=0.47, cov=0.84)",2,ETH_15M_V7_PG_VOL_EXTREME_CORE (J=0.27);ETH_15M_V7_PG_VOL_EXTREME_TS (J=0.28)
ETH_5M_BB_MP_HURST_BAND_V6,ETH,5m,162,9.863113189229407,1355.7297401922604,4,"ETH_5M_V7_C1_CLOUD_VWAP_HURST_MP (J=0.95, cov=0.98);ETH_5M_V7_C2_EMA50_HURST_PARENT_RANGING (J=0.19, cov=0.91);ETH_5M_V7_C3_V6C3_PARENT_RANGING (J=0.32, cov=0.89);ETH_5M_V7_C5_CLOUD_HURST_VWAP_PARENT (J=0.52, cov=0.90)",0,(none),1,ETH_5M_V7_C4_XA_3SOURCE_PARENT_RANGING (J=0.00)
ETH_5M_CLOUD_RIBBON_MP_HURST_V6,ETH,5m,481,4.600729101891758,1877.6551377054,3,"ETH_5M_V7_C1_CLOUD_VWAP_HURST_MP (J=0.32, cov=0.96);ETH_5M_V7_C2_EMA50_HURST_PARENT_RANGING (J=0.55, cov=0.90);ETH_5M_V7_C3_V6C3_PARENT_RANGING (J=0.91, cov=1.00)",0,(none),2,ETH_5M_V7_C4_XA_3SOURCE_PARENT_RANGING (J=0.00);ETH_5M_V7_C5_CLOUD_HURST_VWAP_PARENT (J=0.24)
ETH_5M_V5_REPL_OFF120_V6,ETH,5m,120,3.5931088005423595,365.8438051461312,0,(none),0,(none),5,ETH_5M_V7_C1_CLOUD_VWAP_HURST_MP (J=0.00);ETH_5M_V7_C2_EMA50_HURST_PARENT_RANGING (J=0.00);ETH_5M_V7_C3_V6C3_PARENT_RANGING (J=0.00);ETH_5M_V7_C4_XA_3SOURCE_PARENT_RANGING (J=0.00);ETH_5M_V7_C5_CLOUD_HURST_VWAP_PARENT (J=0.00)
SOL_15M_HOD_EU_OFF60_240_RF_TR_VWAP80_V6,SOL,15m,336,2.7307253957677164,778.5049855570508,5,"SOL_15M_V7_S1_BTC_ADX_VOLLOW (J=0.12, cov=1.00);SOL_15M_V7_S1_BTC_ADX_VOLLOW_V2 (J=0.12, cov=1.00);SOL_15M_V7_S3_XADX_ETHVOLLOW (J=0.15, cov=1.00);SOL_15M_V7_S5_BTC_SLOPE_STR (J=0.31, cov=1.00);SOL_15M_V7_S5_BTC_SLOPE_STR_V2 (J=0.31, cov=1.00)",0,(none),0,(none)
SOL_15M_HOD_EU_TIGHTRIB_RF_TR_VWAP80_V6,SOL,15m,749,2.201907926744371,1399.345849687362,5,"SOL_15M_V7_S1_BTC_ADX_VOLLOW (J=0.05, cov=0.90);SOL_15M_V7_S1_BTC_ADX_VOLLOW_V2 (J=0.05, cov=0.90);SOL_15M_V7_S3_XADX_ETHVOLLOW (J=0.07, cov=0.94);SOL_15M_V7_S5_BTC_SLOPE_STR (J=0.12, cov=0.89);SOL_15M_V7_S5_BTC_SLOPE_STR_V2 (J=0.12, cov=0.89)",0,(none),0,(none)
