cluster_id,cluster_size,sleeve_id,version,asset,tf,n,wr_pct,dpt_usd,sum_pnl_usd,sum_28d_proj,kept,rank_in_cluster
3,9,ETH_15M_TRSTACK_VWAP_OFFEARLY_V5,V5,ETH,15m,467,67.88008565310493,3.100747928930068,1448.0492828103415,1228.647876323926,1,1
3,9,ETH_15M_V7_PI_S1_BTC_15M_TREND,V7,ETH,15m,64,82.8125,9.52002129827406,609.2813630895398,516.9660050456702,0,2
3,9,ETH_15M_V7_PI_S1_TS_AND_BTC_15M,V7,ETH,15m,57,82.45614035087719,9.42704384499965,537.3414991649801,455.9261205036195,0,3
3,9,ETH_15M_TRSTACK_VWAP_VOL_OFFEARLY_V5,V5,ETH,15m,107,78.50467289719626,7.31708219250368,782.9277945978937,664.3023711739704,0,4
3,9,ETH_15M_TRSTACK_VWAP_VOL_OFFEARLY_BAND_V6,V6,ETH,15m,90,74.44444444444444,7.622218757109252,685.9996881398326,582.0603414519792,0,5
3,9,ETH_15M_V7_PG_RV_ABOVE_MED,V7,ETH,15m,56,82.14285714285714,8.995767250282203,503.7629660158034,427.4352438921968,0,6
3,9,ETH_15M_PW_TRENDSLOPE_TRSTACK_VWAP_VOL_OFFEARLY_V6,V6,ETH,15m,63,80.95238095238095,8.611684230531385,542.5361065234772,460.3336661411322,0,7
3,9,ETH_15M_V7_PG_VOL_EXTREME_CORE,V7,ETH,15m,37,86.48648648648648,8.888815663042532,328.8861795325737,279.05494020945645,0,8
3,9,ETH_15M_V7_PG_VOL_EXTREME_TS,V7,ETH,15m,35,85.71428571428571,8.59868047967788,300.95381678872576,255.3547536389188,0,9
13,7,SOL_15M_HOD_EU_TIGHTRIB_RF_TR_VWAP80_V6,V6,SOL,15m,749,79.70627503337784,2.201907926744371,1649.2290371315337,1399.345849687362,1,1
13,7,SOL_15M_HOD_EU_OFF60_240_RF_TR_VWAP80_V6,V6,SOL,15m,336,72.91666666666666,2.7307253957677164,917.5237329779528,778.5049855570508,0,2
13,7,SOL_15M_V7_S3_XADX_ETHVOLLOW,V7,SOL,15m,52,80.76923076923077,6.234256008801377,324.1813124576716,275.0629317822668,0,3
