proxy_wallet,pseudonym,appearances,best_rank,profit_1d,profit_30d,profit_7d,profit_all,volume_1d,volume_30d,volume_7d,volume_all,score_all,score_30d
0x204f72f35326db932158cba6adff0b9a1da95e14,swisstony,7,1,,1317681.3796504578,119552.4641081253,8292635.833620106,322874.367433,75759599.52425697,11667639.130113002,785416883.016451,8292635.833620106,1317681.3796504578
0x9495425feeb0c250accb89275c97587011b19a27,LaBradfordSmith22,7,2,91371.00467062509,1713747.7086335756,67506.7204608894,3659039.2995078694,227967.09756799997,56636916.287057005,9604092.473498005,,3659039.2995078694,1713747.7086335756
0x2005d16a84ceefa912d4e380cd32e7ff827875ea,RN1,6,1,,1127007.393192512,,9075781.744696606,65651.125151,76830335.17434701,7031460.935291997,561873983.7553369,9075781.744696606,1127007.393192512
0x9f2fe025f84839ca81dd8e0338892605702d2ca8,surfandturf,6,3,28297.27047315692,2620203.124875413,37993.71202932462,3970416.7691406114,483392.2150869996,13825835.963392999,,,3970416.7691406114,2620203.124875413
0xa5ea13a81d2b7e8e424b182bdc1db08e756bd96a,bossoskil1,6,1,98052.63696809998,3073876.8003310976,104559.31926883245,,,40101065.897893004,4073350.955444,209302685.69473794,0.0,3073876.8003310976
0x2a2c53bd278c04da9962fcf96490e17f3dfb9bc1,0x2a2C53bD278c04DA9962Fcf96490E17F3DfB9Bc1-1772479215461,5,8,,1636783.6010511883,35183.728142300635,4227459.289725166,,45371576.29616,,476611840.547833,4227459.289725166,1636783.6010511883
0xfbf3d501e88815464642d0e913f15379c3eeb218,VPenguin,5,8,,322819.7028276812,146189.27386106865,,142348.06571999998,19097226.959975004,4231069.018857,,0.0,322819.7028276812
0xfe787d2da716d60e8acff57fb87eb13cd4d10319,ferrariChampions2026,5,4,,887193.9396971293,47057.95091995993,,357762.857223,60990968.083689,8328837.448168001,,0.0,887193.9396971293
0xc2e7800b5af46e6093872b177b7a5e7f0563be51,beachboy4,4,7,,1665170.4227994368,,5102272.840111498,,,2943371.6438349998,221493209.14309096,5102272.840111498,1665170.4227994368
0x507e52ef684ca2dd91f90a9d26d149dd3288beae,GamblingIsAllYouNeed,4,12,,,,4895340.543510373,,37901730.782065,4543921.737663999,428853327.135683,4895340.543510373,0.0
0x3dfb153c197d4c19d3b31c1ecd2c7b6860eeabaf,0x3DFb153c197D4C19D3B31c1ecD2c7B6860eeabAf-1722957908185,4,5,6866.085048583569,339522.0280583237,170407.49787825948,,139232.16163299998,,,,0.0,339522.0280583237
0x5234c8687fbc415e8c255b3a90afa8cf47de4c4f,0x5234c8687FbC415e8c255b3a90AFa8CF47de4c4F-1777743586273,4,4,69490.37620682054,287651.19202364737,94558.09856949834,,59139.697607999995,,,,0.0,287651.19202364737
0x5268527977f700f9bf9b6d5cd843859e4e70135d,HomeRunHazard,4,12,12517.05792538375,,,,263790.24305099994,25453553.303461,2985561.9658759995,,0.0,0.0
0x5966db1fe50763c9e3c014d756369bad07e1f804,0x5966Db1fE50763C9e3C014d756369BAd07E1F804-1777648534241,4,5,60627.95166324719,970970.4232752223,114279.81709719736,,,,2162061.4261980006,,0.0,970970.4232752223
0x84cfffc3f16dcc353094de30d4a45226eccd2f63,mooseborzoi,4,7,,,104995.12985306518,,271128.033311,41698919.52754301,7750557.609634999,,0.0,0.0
0xabb89972b21b304c1bed2bf26f35c8741ac9bba3,Feromont,4,6,11477.305629563378,342528.22720555996,166126.70844229785,,224040.276051,,,,0.0,342528.22720555996
0xbddf61af533ff524d27154e589d2d7a81510c684,Countryside,4,5,,,,,379211.7110339999,60739543.52131501,7841368.637613,246398177.56066602,0.0,0.0
0xc8ab97a9089a9ff7e6ef0688e6e591a066946418,ArmageddonRewardsBilly,4,8,7346.746045019674,,,,,46650445.619769,3242827.12665,394554014.033663,0.0,0.0
0x6a72f61820b26b1fe4d956e17b6dc2a1ea3033ee,kch123,3,3,,535657.6188357789,,12581131.890677309,,,,290391944.928868,12581131.890677309,535657.6188357789
0x1887879a1bda615e88f280b582514c7d54e2678a,tubeyou,3,2,,2751058.5403776723,,2751058.5403776723,,,5112377.3064870015,,2751058.5403776723,2751058.5403776723
0x19254b55e7c48e88baab9e62cc218223a6544654,coon777,3,3,69674.33810711087,311435.5597057198,121845.69744734501,,,,,,0.0,311435.5597057198
0x1e7792acc779a6af8304bd7991ff31d16d468c33,THEdirkdiggler,3,24,10295.42470173724,,76626.97049387544,,75000.0,,,,0.0,0.0
0x2663daca3cecf3767ca1c3b126002a8578a8ed1f,Q96s3kwozynxpau,3,15,,,,,,33329338.008008003,2258290.510245,311306399.41633004,0.0,0.0
0x2785e7022dc20757108204b13c08cea8613b70ae,poorsob,3,3,13096.619685790862,,,,,72055694.535616,,235495481.67767295,0.0,0.0
0x2c335066fe58fe9237c3d3dc7b275c2a034a0563,0x2c335066FE58fe9237c3d3Dc7b275C2a034a0563-1759935795465,3,4,,426040.706298565,,,325223.9808330001,,8486498.114681,,0.0,426040.706298565
0x4bff30af91642dc7d2b19a8664378fe55c45fc26,Sassy-Bucket,3,1,,,248941.49467886705,,,19364222.735235002,5902842.876188,,0.0,0.0
0x4f29e103339919c4baaea2a60195cf1c8bb27a7e,0x4f2,3,13,,,,,240797.57934800003,21396234.287446994,4687484.145762999,,0.0,0.0
0x5d189e816b4149be00977c1a3c8840374aec4972,gloriafoster,3,3,,,,,815684.543407,12000436.563625999,,198422522.97020304,0.0,0.0
0x6480542954b70a674a74bd1a6015dec362dc8dc5,tripping,3,2,,,,,,48211166.48600099,4329115.319142,679887038.768166,0.0,0.0
0x6d3c5bd13984b2de47c3a88ddc455309aab3d294,VeryLucky888,3,23,,,,,,23751120.329045992,2996780.1126779974,274413151.8164691,0.0,0.0
0x96489abcb9f583d6835c8ef95ffc923d05a86825,anoin123,3,16,5493.352257948274,797390.4352602822,,,57166.694864000005,,,,0.0,797390.4352602822
0xa7a8c1fd4bfff08ea30214efa7efaf75d7c6580c,asjabaasj,3,5,,,,,507819.1580579999,25295493.224317,6901821.363981999,,0.0,0.0
0xbee54d90051720e27921dc6874f02d646ffca636,downtownfee,3,9,,,133134.4877346512,,,27380381.797400996,4068127.768457,,0.0,0.0
0xfc25f141ed27bb1787338d2c4e7f51e3a15e1f7f,.Sisyphus,3,20,,,,,,17135123.262882,2079311.3579079998,297292715.02289796,0.0,0.0
0xe90bec87d9ef430f27f9dcfe72c34b76967d5da2,gmanas,2,5,,,,4955880.74869218,,,,529047708.5059911,4955880.74869218,0.0
0x16b29c50f2439faf627209b2ac0c7bbddaa8a881,SeriouslySirius,2,26,,,,3648171.8070388944,,,,192646024.93522802,3648171.8070388944,0.0
0x14964aefa2cd7caff7878b3820a690a03c5aa429,gmpm,2,7,,,159169.22142073605,3592898.643290251,,,,,3592898.643290251,0.0
0xee613b3fc183ee44f9da9c05f53e2da107e3debf,sovereign2013,2,14,,,,3588720.2180176615,,,,399254826.47477794,3588720.2180176615,0.0
0xdb27bf2ac5d428a9c63dbc914611036855a6c56e,DrPufferfish,2,28,,,,3535983.9495077766,,,,248466180.92618102,3535983.9495077766,0.0
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,ImJustKen,2,9,,,,3123603.3224329483,,,,474642693.2043521,3123603.3224329483,0.0
0xee00ba338c59557141789b127927a55f5cc5cea1,S-Works,2,16,14158.978598760015,,,2705566.647567133,,,,,2705566.647567133,0.0
0xd7f85d0eb0fe0732ca38d9107ad0d4d01b1289e4,tdrhrhhd,2,17,,778149.5027959975,,2447360.27518476,,,,,2447360.27518476,778149.5027959975
