short,seed_total_usd,n_seed_deposits,seed_likely_pre_scan,first_capital_in_usd,first_capital_in_ts,first_capital_in_from,scan_first_ts,first_trade_ts,lifetime_capital_in,lifetime_capital_out,net_capital,n_cap_in_total,n_cap_out_total,n_usdc_transfers
0x04b6d7e9,0.0,0.0,True,,,,2026-05-13 15:11:50+00:00,2026-05-13 15:11:50+00:00,6913.61,461.49,6452.11,3.0,104.0,100003.0
0x7cde1da9,,,,,,,,,,,,,,
0x89b5cdaa,10.12,2.0,False,4.6,2026-05-11 21:58:51+00:00,0xfb0f17657c9c24293b918adb86362a4d8fc90b02,2026-05-11 21:58:51+00:00,2026-05-11 21:58:57+00:00,53951.28,35.0,53916.28,6977.0,3.0,98584.0
0xce25e214,0.0,0.0,True,,,,2026-05-13 00:03:53+00:00,2026-05-13 00:03:53+00:00,61.26,23191.56,-23130.3,2.0,3532.0,59155.0
0xcfb103c3,0.0,0.0,True,,,,2026-05-12 01:03:57+00:00,2026-05-12 01:03:57+00:00,9411.71,6492.35,2919.36,5.0,312.0,15094.0
0xeebde7a0,0.0,0.0,True,,,,2026-05-15 08:35:32+00:00,2026-05-15 08:35:32+00:00,936.16,6976.94,-6040.78,2.0,1311.0,41230.0
0xf247584e,0.0,0.0,True,,,,2026-05-12 12:29:18+00:00,2026-05-12 12:29:18+00:00,958.55,1927.24,-968.7,186.0,384.0,8677.0
0xf7f0b0b1,24.31,1.0,False,24.3105,2026-05-13 00:35:05+00:00,0x1510565e93c9729410b6e41088e014e312fd8829,2026-05-13 00:35:05+00:00,2026-05-14 05:57:06+00:00,2141.06,10.19,2130.86,8.0,4.0,2357.0
