short,full,pseudonym,lb_profit_all,lb_profit_1d,lb_profit_7d,lb_profit_30d,lb_volume_all,lb_volume_1d,lb_volume_7d,lb_volume_30d,chain_per_day_expected,lb_per_day_30d,lb_per_day_7d,chain_vs_lb30_ratio
0x0fe40e88,0x0fe40e887acbd0022f89d996acce26ab428501b7,gobblewobble,397130.2580849528,-1069.1393590857042,3373.312771491648,4731.652562187694,26852941.41563701,5579.91,417036.50394599995,2229107.218947,19000.0,157.72175207292312,481.9018244988069,120.46531153937025
0x3e6bfd2f,0x3e6bfd2f791a10cf2404e09542c2a82e3e7b6d63,btcbeliver01,29593.598901185847,,,29593.598901185847,211026.97142399996,,148731.68256399996,211026.97142399996,166000.0,986.4532967061949,,168.279634275926
0x7f599984,0x7f59998477864871448e312011fa5cc6b210b636,0x7F59998477864871448e312011fA5c,41344.30631451543,,,41344.30631451543,537546.8534700001,,132776.710391,537546.8534700001,6300.0,1378.143543817181,,4.571367059885696
0x9dae874a,0x9dae874a2e804349e3004ccc98107799f15f97a2,Prgovindu1,49205.1096834261,,,49205.1096834261,551892.734231,,37402.098543,551892.734231,5900.0,1640.1703227808698,,3.597187388439446
0xa0a50783,0xa0a5078359dad63993a868f6d2db82d3a7b3606f,0xA0a5078359daD63993a868F6d2Db82,46438.311366415845,,,46438.311366415845,489683.80877500004,,35457.23921099999,489683.80877500004,6000.0,1547.9437122138615,,3.8761099338804956
0xeefe46de,0xeefe46deee8da83bf67dc95b6bc8b8f73e77be43,hqhjqoqggg,29406.162264970502,,,29406.162264970502,606602.5331059999,,,606602.5331059999,94.0,980.20540883235,,0.09589826698872801
0xf247584e,0xf247584e41117bbbe4cc06e4d2c95741792a5216,0xf247584e41117bbBe4Cc06E4d2C957,544693.8087685338,,60.912420750362855,6021.598264289474,52809766.68139002,,18049.782194,530402.941609,,200.71994214298246,8.701774392908979,
0xf3cfb6a6,0xf3cfb6a6ebfeb51876289eb235719eb1c65252b0,,,,,,,,,,,,,
0xf7f0b0b1,0xf7f0b0b1e9c0fe02ccad926916ee31aef74b912c,wapol,348054.25365990686,,,-1050.8999789607915,24551625.061792996,,,39557.27382999999,30000.0,-35.02999929869305,,-856.4088096090622
