counterparty,pseudonym,total_crosses,total_usdc,n_our_wallets_crossed,crossed_with,in_known_set,lb_profit_all,lb_profit_30d,lb_profit_7d,lb_profit_1d,lb_volume_all,lb_volume_30d
0xba679ab701e6162cc2c932b8b498124f47394727,,2789,71724.61962605265,6,"0x04b6d7e9,0x7dfc8aa2,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0x0028d3928b3b1c8a10331019581490d8446a3097,,2608,5353.6971604,6,"0x04b6d7e9,0x89b5cdaa,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0xd950a1a89f3e61a7a9efc85a46e440ce58c15e86,,2588,96933.0911338121,4,"0x04b6d7e9,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0xae489f4feb30d5690d6f93918c2ca2f23b359469,,2472,22624.035843287096,6,"0x04b6d7e9,0x7dfc8aa2,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0xa2809a3d16024174b40774ac343086b466513343,,2466,35611.163994987255,7,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,5.407581752677288,,
0xf6ab262d360c85f98782b84a04db35c6e18d3579,,2450,28218.310025687817,6,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xeebde7a0",False,,,,,,
0x2a6c7a642c4e27885ce8b8da585853f360d70b42,mmmakerbot,2434,25299.462517079555,6,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xeebde7a0",False,5317.785661985694,,,,,
0xb9c1ed9662316040ffd4db0144a23a296aba2ed1,,2411,108504.12993892371,3,"0x89b5cdaa,0xb27bc932,0xeebde7a0",False,,,,,,
0xb53ef1e5a63a9e0353422d4b6554c3c2190c2576,,2380,8227.601066029649,4,"0x04b6d7e9,0x7dfc8aa2,0xce25e214,0xeebde7a0",False,,,,,,
0x07480f204434ad41b1705b9d1de5bbfc451092a1,,2309,98913.03179174915,7,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0x27091ce48a08a3e21d63c42d33428cf1e55d20f5,,2309,38831.02991376589,7,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0x89e862feebbd32714027a8e09a20267999049f7b,,2305,3222.3302537637273,3,"0x04b6d7e9,0xce25e214,0xeebde7a0",False,,,,,,
0x227d4ca3b363cea6fb5fb6195f8f3f6f547e69fc,,2298,5250.843863,5,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xce25e214,0xeebde7a0",False,,,,,,
0xc76f85c258044adea3167f4ee7b29c24c4eba5db,,2278,13011.135147353325,4,"0x7dfc8aa2,0x89b5cdaa,0xce25e214,0xeebde7a0",False,,,,,,
0x9d57c42e847173d06841703825d3fe2299e456ea,,2258,159356.37950154333,7,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0x74a2b82f079e12bcc25cd0d479f17979fb62e32f,,2228,14093.212008073837,5,"0x04b6d7e9,0x7dfc8aa2,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0x69e2165a96d9dfe9dff3a72bff0a107427a03bf4,,2212,397833.81716073485,4,"0x7dfc8aa2,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0x8ef6a1cc3fb81a0e2c3eb405a09ce497a23563ee,,2181,12197.726648125628,6,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xeebde7a0",False,,,,,,
0x50ea9d870f0347402afbf9d42713bb857bda5963,,2136,40048.53141900413,7,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0x0c7c5204404e9d5402d258fedac59c7212bae4cb,,2069,2858.2942264506046,6,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xeebde7a0",False,,,,,,
0xfb94fe159e164bb0dba5a5eb607e734afd8196be,,1984,2332.7959980451105,3,"0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0x885278f0e304bc2d53f805af2ab779cb6011c569,gabigol,1954,133204.18672346862,5,"0x04b6d7e9,0x7dfc8aa2,0xce25e214,0xcfb103c3,0xeebde7a0",False,215198.6717373692,,,,,
0x1f19c48aee80ec95396d91f0d21ac249b8a7f57a,godspeed11,1929,69307.3259284,6,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xeebde7a0",False,26159.09704440991,,,,,
0xe522d2fe71d3db6b4efb7bc3059f26ab899cb700,,1921,14563.634129589846,6,"0x04b6d7e9,0x7dfc8aa2,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0x652c9e1d3a71f42ccd362d9976e117f9a2222af0,,1910,927421.9997614834,7,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0x7b55169899b8a8c9dac407f6d97f81c1f85d8f95,,1899,10884.388966425593,6,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xeebde7a0",False,,,,,,
0x32e4abe3e97aaf3c95c315ba3ffbe7b2a313beed,,1885,71970.21645810001,6,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xeebde7a0",False,,,,,,
0xc5d521074e88279556836998fb2a5d2e2c1c6caa,,1797,1301677.2948563648,6,"0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0x167a59f38ffe5eb3b116c793fae3ae295070d542,,1764,1863.2618105972372,6,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xeebde7a0",False,,,,,,
0x0de4458d107bb01a375879e8061c979269203158,,1762,23079.484608325027,5,"0x04b6d7e9,0x89b5cdaa,0xb27bc932,0xce25e214,0xeebde7a0",False,,,,,,
0x0484e64092ba4108c2786b61e6fc052d3bf41b1a,,1720,65470.9022081,6,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xeebde7a0",False,,,,,,
0xeac3394e6f8a9fc02e44b64aab12ca96914a77c8,,1698,4296.115323694794,3,"0x04b6d7e9,0xce25e214,0xeebde7a0",False,,,,,,
0x8692a1a820d3dd23cf0dcab4030ae369667dfbac,,1686,1172.206999358286,7,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0x4b1c18f27f1106ea48ca033479e3b82c20b11e90,,1669,159775.08082758554,7,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0x95f51617e900f7d4df2894d77a73c1b2b269779f,,1660,8206.783114416085,5,"0x04b6d7e9,0x7dfc8aa2,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0x8b642e2135c611047792dca86dc0dba792a2b5fc,,1655,2462.2561647204325,5,"0x04b6d7e9,0x7dfc8aa2,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0x0079c31913ed195a00d17c23562e78d46a3154d8,,1620,41834.68904011387,5,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xce25e214,0xeebde7a0",False,,,,,,
0xc0ca6cdf29cf135bb0bd25b8cecacf4f19290c2e,,1609,12094.144322951,6,"0x04b6d7e9,0x7dfc8aa2,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0x5d4aba8ad45bb5eab3499a0294b42da5d1e455d3,,1591,18209.126492176332,6,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xeebde7a0",False,,,,,,
0x25f4707c93e4bfdf26cd6c5cc46c5464691cf88e,,1584,10623.326326454287,6,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xeebde7a0",False,,,,,,
0x5eb2c2e2fe1a7bcd1390a094229b0e607cbc2dd6,,1567,7035.038213890832,2,"0xce25e214,0xeebde7a0",False,,,,,,
0x562463dbda0fad24395bd2380d37f2295a4e6d4d,,1566,12565.768810920663,6,"0x04b6d7e9,0x7dfc8aa2,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0xea9f038c28acdac1bd415f998c0d24e59e58045e,,1553,1865.261297,7,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0xd12a688eda06fb7cd9e447f01b350d1f1b2ab332,,1535,11708.077337981707,6,"0x04b6d7e9,0x7dfc8aa2,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0x1cebca56e012a574424d02ad98ba564a1ebeb8f4,,1531,11851.358363664016,6,"0x04b6d7e9,0x7dfc8aa2,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0xbf337426aa856996b8bb79b238345dd1a0276bf7,,1529,32315.648327975417,5,"0x04b6d7e9,0x7dfc8aa2,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
0x069cd074ad3bcfbd6fd82478aad02916bff5cf63,,1526,86774.09849550537,6,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xeebde7a0",False,,,,,,
0x6777a24d939db442b93e83a7394d56e106378c30,,1511,4323.280231034611,7,"0x04b6d7e9,0x7dfc8aa2,0x89b5cdaa,0xb27bc932,0xce25e214,0xcfb103c3,0xeebde7a0",False,,,,,,
