short,n_legs,n_resolved,won_pct,total_volume_usd,fees_total,pnl_gross_resolved,pnl_net_resolved,pnl_net_per_leg,best_subgroup
0xeebde7a0,100,56,50.0,99299.0,2115.09,-3304.37,-4530.48,-80.9015,
0xce25e214,120,94,50.0,164083.0,4421.83,-5871.81,-9322.94,-99.1802,
0x89b5cdaa,73,60,50.0,56741.0,1006.04,3073.25,2326.72,38.7787,
0xcfb103c3,100,94,50.0,142857.0,3991.88,-28.17,-3822.37,-40.6635,
0x04b6d7e9,100,100,50.0,135725.0,3736.55,-10198.35,-13934.9,-139.349,
