n_thr,flow_thr,sa_thr,asz_thr,off_thr,n,wr_follow,mean_follow,sum_follow,wr_fade,mean_fade,sum_fade
10,0.1,1.005,100,60,8246,0.5398981324278438,-0.1483954613655266,-1223.6689744201321,0.4601018675721562,0.35275945497332306,2908.854465710022
10,0.1,1.005,100,120,6295,0.5540905480540111,-0.15353681056880633,-966.5142225306358,0.44590945194598886,0.3674282300172186,2312.960707958391
10,0.1,1.005,100,240,1626,0.577490774907749,-0.12648161070523484,-205.65909900671184,0.4225092250922509,0.9785577890331179,1591.1349649678496
10,0.1,1.005,100,270,754,0.596816976127321,-0.08886352589193545,-67.00309852251934,0.40318302387267907,0.8786868447000554,662.5298809038418
10,0.1,1.005,500,60,2974,0.5359784801613988,-0.15365776573109788,-456.9781952842851,0.46402151983860124,0.40937279975161606,1217.4747064613061
10,0.1,1.005,500,120,2283,0.5707402540516864,-0.13738635788031803,-313.65305504076605,0.4292597459483136,0.36099269830679603,824.1463302344154
10,0.1,1.005,500,240,454,0.5925110132158591,-0.11516547611454167,-52.285126156001915,0.40748898678414097,1.237608911413453,561.8744457817077
10,0.1,1.005,500,270,249,0.6867469879518072,0.08015346039766891,19.95821163901956,0.3132530120481928,1.035091585144103,257.7378047008816
10,0.1,1.005,1000,60,666,0.581081081081081,-0.13574131319319196,-90.40371458666584,0.4189189189189189,0.6441338164016636,428.99312172350795
10,0.1,1.005,1000,120,528,0.6098484848484849,-0.1819346887930567,-96.06151568273393,0.39015151515151514,0.7451485114956697,393.43841406971364
10,0.1,1.005,1000,240,162,0.5555555555555556,-0.35829023634680685,-58.04301828818271,0.4444444444444444,2.72379850293995,441.2553574762719
10,0.1,1.005,1000,270,109,0.4954128440366973,-0.43870093245538144,-47.818401637636576,0.5045871559633027,2.9727793519122776,324.03294935843826
10,0.1,1.01,100,60,3917,0.5488894562164922,-0.17887673129748896,-700.6601564922643,0.4511105437835078,0.4150573851869374,1625.779777777234
10,0.1,1.01,100,120,3118,0.5715202052597819,-0.17694180410565377,-551.7045452014285,0.4284797947402181,0.40585120942203745,1265.4440709779128
10,0.1,1.01,100,240,899,0.5617352614015573,-0.20605232884734842,-185.24104363376622,0.4382647385984427,1.326544168209497,1192.5632072203377
