slug,buy_size_60s,sell_size_60s,ofi,ofi_total,ofi_pct
btc-updown-15m-1777675500,12426.166661,4094.6885,8331.478161,16520.855161,0.5043006599723252
btc-updown-15m-1778278500,1845.59,4702.9323460000005,-2857.3423460000004,6548.522346000001,-0.43633390786929194
btc-updown-15m-1779256800,5532.286333,1578.026664,3954.259669,7110.312997,0.5561301831111843
btc-updown-15m-1778365800,3592.002,1580.9,2011.1019999999999,5172.902,0.38877635802874494
btc-updown-15m-1779664500,225.39,0.0,225.39,225.39,0.9999999999955633
btc-updown-15m-1778996700,830.195,3002.425888,-2172.230888,3832.6208880000004,-0.5667742653077752
btc-updown-15m-1777207500,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1777546800,0.0,2667.64,-2667.64,2667.64,-0.9999999999996252
btc-updown-15m-1777606200,9623.371049999998,24032.452296,-14409.081246000002,33655.823346,-0.42813040399774077
btc-updown-15m-1779229800,0.0,485.38000000000005,-485.38000000000005,485.38000000000005,-0.9999999999979398
btc-updown-15m-1779759000,200.0,0.0,200.0,200.0,0.999999999995
btc-updown-15m-1777805100,65.92,598.674765,-532.754765,664.5947649999999,-0.8016234750196963
btc-updown-15m-1777862700,3803.0621340000002,11582.191296000005,-7779.129162000005,15385.253430000004,-0.5056224258763801
btc-updown-15m-1777198500,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1778460300,1232.8500000000001,3686.051767,-2453.2017669999996,4918.901767,-0.4987295707870355
btc-updown-15m-1778257800,2342.0,11359.762,-9017.762,13701.762,-0.6581461566767356
btc-updown-15m-1778869800,8088.919884999999,4885.712846,3203.207038999999,12974.632731,0.24688228988142386
btc-updown-15m-1777788900,24983.913203000004,1470.583298,23513.329905000002,26454.496501000005,0.8888216755178193
btc-updown-15m-1778104800,10220.78,0.0,10220.78,10220.78,0.9999999999999021
btc-updown-15m-1778263200,0.0,292.12,-292.12,292.12,-0.9999999999965767
btc-updown-15m-1779789600,8667.407436000001,509.38,8158.027436000001,9176.787436,0.8889851152044393
btc-updown-15m-1777210200,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1778179500,9917.533261,4564.646665,5352.886596,14482.179926,0.36961884352710883
btc-updown-15m-1779349500,415.0,0.0,415.0,415.0,0.9999999999975904
btc-updown-15m-1777372200,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1779327000,4623.954941999999,3450.203341,1173.7516009999995,8074.158282999999,0.1453713885534258
btc-updown-15m-1778427000,1461.8723120000002,2382.52,-920.6476879999998,3844.392312,-0.2394780795721663
btc-updown-15m-1779192000,879.984,662.45,217.534,1542.4340000000002,0.14103293884850757
btc-updown-15m-1779720300,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1777879800,31709.929776,5566.254198,26143.675578000002,37276.183974,0.7013506424432936
btc-updown-15m-1777794300,1723.2399999999998,1507.928816,215.31118399999968,3231.168816,0.06663569632566455
btc-updown-15m-1777677300,43023.907739,9077.066195,33946.841544,52100.973934,0.6515586750259644
btc-updown-15m-1777688100,9519.696616,8841.066861000001,678.6297549999981,18360.763477,0.0369608679862393
btc-updown-15m-1777760100,54064.353481,19532.563966999995,34531.789514000004,73596.917448,0.4692015740794853
btc-updown-15m-1777704300,1005.368,1674.4,-669.032,2679.768,-0.2496604183644817
btc-updown-15m-1778750100,36.0,0.0,36.0,36.0,0.9999999999722223
btc-updown-15m-1779132600,2091.2,3041.1,-949.9000000000001,5132.299999999999,-0.18508271145486724
btc-updown-15m-1779322500,3679.7875,1599.256665,2080.5308349999996,5279.044165,0.39411127658175316
btc-updown-15m-1778335200,3986.540579,10462.014383,-6475.473803999999,14448.554962,-0.4481744936452248
btc-updown-15m-1779037200,7128.757774999999,1332.3219999999997,5796.435775,8461.079774999998,0.6850704554430602
btc-updown-15m-1777131000,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1778934600,4636.1608320000005,3785.72,850.4408320000007,8421.880832,0.1009799175462733
btc-updown-15m-1777758300,1887.3700000000001,7013.547268,-5126.177268,8900.917268000001,-0.5759156178688148
btc-updown-15m-1778300100,4757.095553000001,1789.95,2967.145553000001,6547.045553000001,0.4532037434259085
btc-updown-15m-1777841100,13760.141900999999,1882.1224000000002,11878.019500999999,15642.264301,0.7593542259888734
btc-updown-15m-1778333400,903.1280640000001,8366.343406,-7463.2153419999995,9269.47147,-0.8051392537485412
btc-updown-15m-1778338800,421.25,802.719662,-381.46966199999997,1223.969662,-0.31166594552381016
btc-updown-15m-1779273000,1554.84,1837.522,-282.682,3392.362,-0.08332896076536546
btc-updown-15m-1777709700,3436.82669,6929.029811,-3492.2031210000005,10365.856501,-0.33689479693865804
btc-updown-15m-1778385600,14227.10311,9375.798856000001,4851.304253999999,23602.901966,0.2055384656085129
btc-updown-15m-1778238900,0.0,211.16,-211.16,211.16,-0.9999999999952643
btc-updown-15m-1778180400,2522.3199999999997,5432.812736,-2910.492736,7955.132736,-0.3658635038015831
btc-updown-15m-1777628700,9688.382076,8654.412135,1033.9699409999994,18342.794211,0.0563692711757013
btc-updown-15m-1777837500,27390.391617999994,6507.150707000001,20883.240910999994,33897.542324999995,0.6160694693077393
btc-updown-15m-1777851900,7243.313644,5324.249058,1919.0645859999995,12567.562702,0.15269982187512357
btc-updown-15m-1777597200,19446.334026000004,55254.49250000001,-35808.158474,74700.82652600002,-0.4793542473259824
btc-updown-15m-1778841000,17721.085605999997,9187.378952,8533.706653999998,26908.464557999996,0.3171383724108693
btc-updown-15m-1777815900,15432.458869,24065.867227000002,-8633.408358000002,39498.326096000004,-0.2185765628907016
btc-updown-15m-1778251500,2860.52,0.0,2860.52,2860.52,0.9999999999996504
btc-updown-15m-1779752700,4962.684394,5606.071466,-643.3870720000004,10568.755860000001,-0.0608763302438457
btc-updown-15m-1777498200,0.0,41.519999999999996,-41.519999999999996,41.519999999999996,-0.9999999999759153
btc-updown-15m-1777646700,99.99,54809.229999999996,-54709.24,54909.219999999994,-0.9963579886947768
btc-updown-15m-1777253400,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1777728600,4919.2001,34345.119999999995,-29425.919899999994,39264.3201,-0.7494315405196396
btc-updown-15m-1777580100,20937.264102,5425.0314849999995,15512.232617000001,26362.295587,0.5884249558543353
btc-updown-15m-1777966200,3121.5122979999996,10620.982896,-7499.470598,13742.495194,-0.5457138963580455
btc-updown-15m-1777218300,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1779538500,4571.525746999999,1364.918091,3206.6076559999988,5936.443837999999,0.540156319760581
btc-updown-15m-1779231600,4280.375100000001,3081.32,1199.055100000001,7361.695100000001,0.16287758236548508
btc-updown-15m-1777608900,4791.113332000001,983.0062329999998,3808.1070990000007,5774.119565000001,0.6595130315766747
btc-updown-15m-1778453100,2081.7372,7114.5199999999995,-5032.782799999999,9196.2572,-0.5472642500689793
btc-updown-15m-1778094000,6959.11,280.0,6679.11,7239.11,0.9226424242757849
btc-updown-15m-1779071400,3157.18,0.0,3157.18,3157.18,0.9999999999996833
btc-updown-15m-1779139800,15320.604585000001,8237.985858,7082.618727000001,23558.590443,0.3006384759791165
btc-updown-15m-1779354900,1185.829714,3838.6013759999996,-2652.7716619999997,5024.43109,-0.5279745337296429
btc-updown-15m-1777298400,0.0,889.2192,-889.2192,889.2192,-0.9999999999988755
btc-updown-15m-1778214600,5.0,0.0,5.0,5.0,0.9999999998
btc-updown-15m-1779653700,2686.785503,3007.7608280000004,-320.97532500000034,5694.5463310000005,-0.056365390031619694
btc-updown-15m-1777032000,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1777109400,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1777235400,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1778097600,0.0,40.0,-40.0,40.0,-0.9999999999750001
btc-updown-15m-1777779900,5156.627492000001,30247.715279,-25091.087786999997,35404.342771,-0.7087008491950206
btc-updown-15m-1778219100,28.659999999999997,7315.817000000001,-7287.157000000001,7344.477000000001,-0.9921954960168039
btc-updown-15m-1777098600,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1778423400,5493.3417389999995,8927.657086,-3434.3153469999997,14420.998824999999,-0.23814684327177746
btc-updown-15m-1777573800,0.0,597.9000000000001,-597.9000000000001,597.9000000000001,-0.9999999999983274
btc-updown-15m-1778129100,0.0,183.9,-183.9,183.9,-0.9999999999945623
btc-updown-15m-1778424300,2882.0190999999995,747.36,2134.6590999999994,3629.3790999999997,0.5881609611956523
btc-updown-15m-1779682500,0.0,56.78,-56.78,56.78,-0.9999999999823882
btc-updown-15m-1779719400,594.48,0.0,594.48,594.48,0.9999999999983179
btc-updown-15m-1777637700,0.0,424.81999999999994,-424.81999999999994,424.81999999999994,-0.9999999999976461
btc-updown-15m-1777989600,7971.531860000001,8413.413107,-441.88124699999935,16384.944967000003,-0.026968735500176567
btc-updown-15m-1779156000,8018.196903,3636.439034,4381.757869,11654.635937,0.37596694505821904
btc-updown-15m-1778112900,19.92,0.0,19.92,19.92,0.9999999999497992
btc-updown-15m-1778487300,732.94,0.0,732.94,732.94,0.9999999999986356
btc-updown-15m-1779416100,2660.499889,2695.2139930000003,-34.714104000000134,5355.713882,-0.006481695020464809
btc-updown-15m-1779066000,4806.6310300000005,8545.867614,-3739.236584,13352.498644000001,-0.28004021447176564
btc-updown-15m-1777382100,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1778425200,5646.84211,3154.10673,2492.7353799999996,8800.94884,0.28323484493743706
btc-updown-15m-1779781500,0.0,204.0,-204.0,204.0,-0.9999999999950981
btc-updown-15m-1778329800,200.0,875.129,-675.129,1075.129,-0.6279516225488961
btc-updown-15m-1778735700,0.0,5000.0,-5000.0,5000.0,-0.9999999999997999
btc-updown-15m-1778383800,1640.6411839999998,1444.4080000000001,196.2331839999997,3085.049184,0.06360779757342634
btc-updown-15m-1778256000,64.0,0.0,64.0,64.0,0.9999999999843749
btc-updown-15m-1778857200,11860.275585999998,11778.78,81.49558599999727,23639.055586,0.00344749754081795
btc-updown-15m-1777364100,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1779260400,3449.891668,2537.99323,911.8984380000002,5987.884898,0.15229057564290005
btc-updown-15m-1779463800,11318.456,10.0,11308.456,11328.456,0.9982345343442214
btc-updown-15m-1777552200,1075.82,2876.2889299999997,-1800.4689299999998,3952.1089299999994,-0.45557168638050277
btc-updown-15m-1777705200,1860.132063,3131.567927,-1271.435864,4991.69999,-0.25470999189591625
btc-updown-15m-1777567500,10052.498,465.186,9587.312,10517.684,0.9115421227714284
btc-updown-15m-1777659300,5115.07585,1629.2081480000002,3485.867702,6744.283998000001,0.5168625317429111
btc-updown-15m-1779219000,1379.957,1484.72,-104.76299999999992,2864.677,-0.03657061511645583
btc-updown-15m-1777502700,13368.933662,2908.685575,10460.248087,16277.619236999999,0.6426153563797947
btc-updown-15m-1779060600,5620.0,0.0,5620.0,5620.0,0.999999999999822
btc-updown-15m-1778031000,1901.131332,2475.06,-573.928668,4376.191332,-0.13114798336241226
btc-updown-15m-1778078700,98.52,0.0,98.52,98.52,0.9999999999898498
btc-updown-15m-1779179400,979.8440000000002,3905.306665,-2925.462665,4885.150665,-0.598847991722974
btc-updown-15m-1777267800,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1778822100,18630.563324,5090.4995770000005,13540.063746999998,23721.062900999998,0.5708034165040988
btc-updown-15m-1777745700,0.0,33887.21000000001,-33887.21000000001,33887.21000000001,-0.9999999999999706
btc-updown-15m-1777283100,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1779390000,819.99,10.0,809.99,829.99,0.9759033241352596
btc-updown-15m-1778978700,3033.66,0.0,3033.66,3033.66,0.9999999999996704
btc-updown-15m-1779329700,0.0,44.0,-44.0,44.0,-0.9999999999772728
btc-updown-15m-1777048200,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1777383900,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1777121100,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1777832100,0.0,1003.57,-1003.57,1003.57,-0.9999999999990036
btc-updown-15m-1777282200,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1779378300,1962.230306,1193.094664,769.135642,3155.3249699999997,0.243757980338791
btc-updown-15m-1777221000,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1778173200,3804.122708,927.38,2876.7427079999998,4731.502708,0.6079976881626655
btc-updown-15m-1778291100,3136.0,15288.676764000002,-12152.676764000002,18424.676764000003,-0.6595869723882739
btc-updown-15m-1777290300,1659.608209,514.89607,1144.712139,2174.5042789999998,0.5264244131659737
btc-updown-15m-1779444000,6156.234949,5084.092779,1072.14217,11240.327728,0.09538353293108756
btc-updown-15m-1778156100,2911.5689220000004,7463.323262000001,-4551.75434,10374.892184,-0.4387278690972044
btc-updown-15m-1777882500,41121.808614,10861.828175,30259.980439,51983.636789000004,0.5821058761591413
btc-updown-15m-1779521400,8203.715626999998,3698.8480700000005,4504.867556999998,11902.563696999998,0.37847876068372194
btc-updown-15m-1777076100,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1778584500,3853.70892,2487.20666,1366.5022600000002,6340.91558,0.21550551221812428
btc-updown-15m-1778468400,1034.27,0.0,1034.27,1034.27,0.9999999999990331
btc-updown-15m-1778148000,2310.7181269999996,2704.145389,-393.42726200000016,5014.863515999999,-0.0784522371834619
btc-updown-15m-1777205700,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1777144500,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1779645600,156.80709000000002,3489.558329,-3332.751239,3646.3654189999997,-0.9139926628398859
btc-updown-15m-1779158700,8052.04,991.922,7060.118,9043.962,0.7806443680324199
btc-updown-15m-1778988600,4824.617916000001,1646.72,3177.897916000001,6471.337916000001,0.491072782359633
btc-updown-15m-1779243300,2593.348422,5760.772036,-3167.4236140000003,8354.120458000001,-0.3791450733711243
btc-updown-15m-1778652900,14016.115667,8544.575450000002,5471.540216999998,22560.691117000002,0.24252538136461713
btc-updown-15m-1779797700,305.0,0.0,305.0,305.0,0.9999999999967214
btc-updown-15m-1778298300,2886.3518000000004,1160.119992,1726.2318080000005,4046.4717920000003,0.4266017154530491
btc-updown-15m-1779672600,6101.316731999999,9311.102554,-3209.785822,15412.419285999998,-0.20825970033889668
btc-updown-15m-1777288500,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1778666400,10.16,0.0,10.16,10.16,0.9999999999015748
btc-updown-15m-1779210900,5369.83,0.0,5369.83,5369.83,0.9999999999998137
btc-updown-15m-1778044500,454.138884,5391.654678,-4937.515794,5845.793562,-0.8446271223286066
btc-updown-15m-1778744700,72.53,0.0,72.53,72.53,0.9999999999862126
btc-updown-15m-1777415400,517.84,1206.407032,-688.567032,1724.2470320000002,-0.39934360867126645
btc-updown-15m-1778106600,0.0,343.03999999999996,-343.03999999999996,343.03999999999996,-0.9999999999970849
btc-updown-15m-1779480000,0.0,550.58,-550.58,550.58,-0.9999999999981838
btc-updown-15m-1779646500,2253.7883239999996,6252.967208,-3999.1788840000004,8506.755532,-0.4701179984490861
btc-updown-15m-1777519800,1290.3658190000003,1578.958,-288.59218099999975,2869.323819,-0.1005784635003231
btc-updown-15m-1777234500,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1779021000,4169.2463,985.4300000000001,3183.8162999999995,5154.6763,0.6176559137184582
btc-updown-15m-1778681700,180.0,502.0,-322.0,682.0,-0.47214076246265085
btc-updown-15m-1778760900,2247.3417,118.03,2129.3116999999997,2365.3717,0.9002017315076102
btc-updown-15m-1779387300,7110.889777,3067.392696,4043.4970810000004,10178.282473,0.39726713143654796
btc-updown-15m-1777518000,0.0,33.54,-33.54,33.54,-0.999999999970185
btc-updown-15m-1777479300,1461.06,0.0,1461.06,1461.06,0.9999999999993155
btc-updown-15m-1779339600,404.0,0.0,404.0,404.0,0.9999999999975248
btc-updown-15m-1777090500,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1779624000,2018.0,0.0,2018.0,2018.0,0.9999999999995045
btc-updown-15m-1778184900,12880.537923999998,3716.3233279999995,9164.214595999998,16596.861252,0.5521655243635368
btc-updown-15m-1777585500,27202.139999999996,7578.990164000001,19623.149835999997,34781.130163999995,0.5641895402326593
btc-updown-15m-1777887900,19320.248723,14472.906669,4847.342054000001,33793.155392,0.1434415341737336
btc-updown-15m-1777187700,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1778983200,1673.690666,3865.56,-2191.869334,5539.250666,-0.3956978057435331
btc-updown-15m-1779626700,4133.562785,8227.28391,-4093.721125,12360.846695,-0.3311845236827985
btc-updown-15m-1779777900,674.15,0.0,674.15,674.15,0.9999999999985166
btc-updown-15m-1778203800,1225.3685,1854.3200000000002,-628.9515000000001,3079.6885,-0.2042256871108217
btc-updown-15m-1779648300,5831.651228,3345.65666,2485.9945679999996,9177.307888,0.27088494777976757
btc-updown-15m-1777274100,0.0,0.0,0.0,0.0,0.0
btc-updown-15m-1777716000,10311.611051,9812.963366999998,498.6476840000014,20124.574417999997,0.024778048650508196
