period,sleeve,n,mean,ci_lo,ci_hi,ex_top2
FULL,sumpair_osc_btc_5m,779,0.9225574961656391,0.3810900497088102,1.7148265420728233,0.5264240534273271
FULL,sumpair_osc_eth_5m,1429,0.004492943208709904,-0.18297953665071465,0.2075284264467356,-0.07298029935883439
NEW,sumpair_osc_btc_5m,30,-0.21524612933152598,-1.3400918530581831,1.021361686416648,-0.8076215022058558
NEW,sumpair_osc_eth_5m,113,0.004811975272052166,-0.6711227186850721,0.7315721736818267,-0.2554076287771
