period,sleeve,n,mean,ci_lo,ci_hi,ex_top2,median,pct_pos,per_day,paired_pnl_locked_usd,rebate_usd,residual_pnl_usd,net_paired_estimate_usd
FULL,poly_ladder_btc_15m_v2,38,-1.1199504201473884,-3.197832453073409,0.9639780251007202,-2.02959163139157,-1.073438775510204,28.947368421052634,-110.42125758916868,2.1258121142066764,0.044510589786800156,-3.290273124140865,2.170322703993476
FULL,poly_ladder_btc_15m_v3,950,0.10113157944973233,-0.0830216013994401,0.29073228868427936,0.051049023239995765,0.0,23.473684210526315,9.723505444945372,0.19182386567862889,0.008410626833515938,-0.09910291306241245,0.20023449251214476
FULL,poly_ladder_btc_15m_v4_coc,691,0.22517285900146733,0.025913774913298465,0.4594055162455292,0.11578258429454719,0.0,21.99710564399421,21.62276667228296,0.36770399943363896,0.009219632025731977,0.10744973165473605,0.3769236314593709
FULL,poly_ladder_btc_5m_v3,2845,0.8161331074274405,0.6513351668661832,0.99964623458262,0.7439412636010815,0.0,45.202108963093146,234.90678745394942,0.7767145650708005,0.020766996821459587,0.018651545535180624,0.7974815618922599
FULL,poly_ladder_eth_5m_v3,2350,0.10340550778922532,0.03855733787862168,0.16830805517258787,0.09367568423718604,0.0,19.23404255319149,29.735871581004307,0.05741545722987319,0.004508994745873639,0.04148105581347848,0.061924451975746836
NEW,poly_ladder_btc_15m_v3,139,0.2739290945145604,-0.12253317370554234,0.6886182137526431,0.12790614367616843,0.0,29.496402877697843,26.484539663695774,0.12519886163828123,0.0078683028970365,0.14086192997924266,0.13306716453531772
NEW,poly_ladder_btc_15m_v4_coc,139,0.34010670921827146,0.06640550731950662,0.6293184357404576,0.22615291738434726,0.0,25.179856115107913,32.882851602583486,0.333984536382683,0.010309902981043825,0.23799213126970387,0.34429443936372683
NEW,poly_ladder_btc_5m_v3,415,1.1447830229770257,0.7201083489601998,1.6125713789675604,0.959512549424535,0.02287319999999999,50.84337349397591,329.6181131435168,1.118548770368913,0.02725833230994091,-0.001024079701828213,1.145807102678854
NEW,poly_ladder_eth_5m_v3,414,0.0870755867043918,-0.07049547096584688,0.24207285910777157,0.0528440894104553,0.0,22.705314009661837,25.07776484454276,0.03300978840083641,0.005765685545257613,0.048300112758297785,0.03877547394609402
