at,slug,direction,scalp_pnl_usd,cum,running_max,drawdown
2026-06-11 02:21:05.789619+02,btc-updown-5m-1781137200,UP,0.0980392156862746,0.0980392156862746,0.0980392156862746,0.0
2026-06-11 19:41:05.74597+02,btc-updown-5m-1781199600,UP,1.7502699999999995,1.8483092156862742,1.8483092156862742,0.0
2026-06-12 07:01:05.887806+02,btc-updown-5m-1781240400,UP,-1.118065789473684,0.7302434262125901,1.8483092156862742,-1.118065789473684
2026-06-12 19:16:05.678796+02,btc-updown-5m-1781284500,DOWN,-0.552615384615385,0.17762804159720513,1.8483092156862742,-1.670681174089069
2026-06-15 00:36:05.344683+02,btc-updown-5m-1781476500,UP,1.9188148148148145,2.0964428564120197,2.0964428564120197,0.0
2026-06-15 15:36:05.816636+02,btc-updown-5m-1781530500,UP,-1.4518518518518522,0.6445910045601675,2.0964428564120197,-1.4518518518518522
2026-06-17 14:01:05.334134+02,btc-updown-5m-1781697600,DOWN,0.363938490566037,1.0085294951262045,2.0964428564120197,-1.0879133612858152
2026-06-17 18:01:05.483756+02,btc-updown-5m-1781712000,UP,1.1806979166666673,2.1892274117928716,2.1892274117928716,0.0
2026-06-17 18:11:05.536511+02,btc-updown-5m-1781712600,DOWN,1.9558699999999996,4.145097411792872,4.145097411792872,0.0
2026-06-17 18:26:05.36181+02,btc-updown-5m-1781713500,UP,-0.08691903999999889,4.058178371792873,4.145097411792872,-0.08691903999999884
2026-06-17 18:31:05.34277+02,btc-updown-5m-1781713800,UP,-3.728302083333333,0.32987628845953987,4.145097411792872,-3.8152211233333317
2026-06-17 20:26:05.684352+02,btc-updown-5m-1781720700,DOWN,-0.16449999999999998,0.1653762884595399,4.145097411792872,-3.9797211233333316
2026-06-17 21:41:05.787285+02,btc-updown-5m-1781725200,DOWN,0.6536666666666681,0.819042955126208,4.145097411792872,-3.3260544566666637
2026-06-18 22:21:05.976668+02,btc-updown-5m-1781814000,UP,0.03530870000000019,0.8543516551262081,4.145097411792872,-3.2907457566666634
2026-06-19 11:11:05.959904+02,btc-updown-5m-1781860200,DOWN,3.620829999999999,4.475181655126207,4.475181655126207,0.0
2026-06-19 13:11:05.613226+02,btc-updown-5m-1781867400,DOWN,0.22612000000000035,4.7013016551262075,4.7013016551262075,0.0
2026-06-19 14:51:05.11618+02,btc-updown-5m-1781873400,UP,3.6671481481481485,8.368449803274356,8.368449803274356,0.0
2026-06-20 17:01:05.830278+02,btc-updown-5m-1781967600,UP,-2.358333333333334,6.010116469941021,8.368449803274356,-2.3583333333333343
2026-06-22 02:31:05.881784+02,btc-updown-5m-1782088200,UP,-0.6484326923076922,5.3616837776333295,8.368449803274356,-3.006766025641026
2026-06-22 09:06:06.691384+02,btc-updown-5m-1782111900,DOWN,1.13683,6.498513777633329,8.368449803274356,-1.8699360256410262
2026-06-22 14:01:09.900674+02,btc-updown-5m-1782129600,UP,-2.107578431372549,4.390935346260781,8.368449803274356,-3.9775144570135748
2026-06-22 15:51:05.555857+02,btc-updown-5m-1782136200,UP,1.8541702127659576,6.245105559026738,8.368449803274356,-2.123344244247617
2026-06-22 16:11:05.515361+02,btc-updown-5m-1782137400,UP,-0.07653061224489788,6.16857494678184,8.368449803274356,-2.1998748564925155
2026-06-23 09:36:05.853628+02,btc-updown-5m-1782200100,DOWN,2.36875,8.53732494678184,8.53732494678184,0.0
2026-06-23 10:41:05.566034+02,btc-updown-5m-1782204000,UP,1.7858137254901956,10.323138672272036,10.323138672272036,0.0
2026-06-23 16:26:05.464792+02,btc-updown-5m-1782224700,DOWN,4.200772727272725,14.523911399544762,14.523911399544762,0.0
2026-06-23 17:01:06.141872+02,btc-updown-5m-1782226800,DOWN,1.7502699999999995,16.274181399544762,16.274181399544762,0.0
2026-06-23 18:06:05.100439+02,btc-updown-5m-1782230700,UP,3.2892596153846148,19.563441014929378,19.563441014929378,0.0
2026-06-24 07:41:05.315975+02,btc-updown-5m-1782279600,DOWN,1.5173333333333339,21.08077434826271,21.08077434826271,0.0
2026-06-24 17:21:05.469884+02,btc-updown-5m-1782314400,UP,-0.020607162922746253,21.060167185339964,21.08077434826271,-0.020607162922747335
2026-06-24 19:26:05.722586+02,btc-updown-5m-1782321900,DOWN,-2.3932549019607845,18.66691228337918,21.08077434826271,-2.4138620648835314
2026-06-24 19:51:05.580855+02,btc-updown-5m-1782323400,UP,-0.161,18.50591228337918,21.08077434826271,-2.5748620648835328
2026-06-24 22:56:05.52566+02,btc-updown-5m-1782334500,DOWN,1.3453703703703697,19.851282653749546,21.08077434826271,-1.2294916945131646
2026-06-25 15:51:05.794279+02,btc-updown-5m-1782395400,UP,-2.488205882352941,17.363076771396607,21.08077434826271,-3.7176975768661045
2026-06-25 17:16:05.886639+02,btc-updown-5m-1782400500,DOWN,0.6822499999999997,18.045326771396606,21.08077434826271,-3.0354475768661047
2026-06-25 17:21:05.639744+02,btc-updown-5m-1782400800,DOWN,1.5359999999999994,19.581326771396604,21.08077434826271,-1.4994475768661069
2026-06-25 18:11:05.762673+02,btc-updown-5m-1782403800,DOWN,-2.308490566037736,17.272836205358868,21.08077434826271,-3.8079381429038435
2026-06-25 21:11:05.24751+02,btc-updown-5m-1782414600,UP,-0.8396634615384617,16.433172743820407,21.08077434826271,-4.647601604442304
2026-06-26 04:21:05.883466+02,btc-updown-5m-1782440400,UP,-1.5325196078431376,14.900653135977269,21.08077434826271,-6.180121212285442
2026-06-26 04:31:09.684316+02,btc-updown-5m-1782441000,DOWN,-2.24413,12.656523135977269,21.08077434826271,-8.424251212285442
2026-06-26 11:51:05.874647+02,btc-updown-5m-1782467400,UP,0.9656666666666667,13.622189802643936,21.08077434826271,-7.458584545618775
2026-06-26 14:06:05.24791+02,btc-updown-5m-1782475500,UP,2.6798800000000003,16.302069802643935,21.08077434826271,-4.778704545618776
2026-06-26 14:26:06.950504+02,btc-updown-5m-1782476700,UP,0.9684774730000003,17.270547275643935,21.08077434826271,-3.810227072618776
2026-06-26 14:51:05.381632+02,btc-updown-5m-1782478200,UP,0.6076923076923073,17.878239583336242,21.08077434826271,-3.202534764926469
2026-06-26 15:16:06.201564+02,btc-updown-5m-1782479700,UP,1.5452300000000003,19.423469583336242,21.08077434826271,-1.6573047649264687
2026-06-26 15:21:10.293216+02,btc-updown-5m-1782480000,UP,3.2458333333333336,22.669302916669576,22.669302916669576,0.0
2026-06-26 15:26:05.319607+02,btc-updown-5m-1782480300,DOWN,-0.7305377358490576,21.938765180820518,22.669302916669576,-0.7305377358490581
2026-06-26 15:56:06.159699+02,btc-updown-5m-1782482100,UP,2.0894545454545455,24.02821972627506,24.02821972627506,0.0
2026-06-26 16:16:10.67436+02,btc-updown-5m-1782483300,DOWN,1.216421568627451,25.24464129490251,25.24464129490251,0.0
2026-06-26 16:21:06.378232+02,btc-updown-5m-1782483600,UP,2.885798076923076,28.130439371825588,28.130439371825588,0.0
2026-06-26 16:31:07.273306+02,btc-updown-5m-1782484200,DOWN,2.1228627450980393,30.253302116923628,30.253302116923628,0.0
2026-06-26 16:41:06.573828+02,btc-updown-5m-1782484800,DOWN,0.7176470588235291,30.970949175747158,30.970949175747158,0.0
2026-06-26 17:21:08.389329+02,btc-updown-5m-1782487200,UP,-0.27492999999999956,30.696019175747157,30.970949175747158,-0.27493000000000123
2026-06-26 17:36:09.684803+02,btc-updown-5m-1782488100,UP,1.5173333333333339,32.213352509080494,32.213352509080494,0.0
2026-06-26 17:41:06.07874+02,btc-updown-5m-1782488400,DOWN,-0.6249351851851856,31.588417323895307,32.213352509080494,-0.624935185185187
2026-06-26 18:36:05.563274+02,btc-updown-5m-1782491700,UP,-0.06782407407407401,31.520593249821232,32.213352509080494,-0.6927592592592617
2026-06-26 18:56:05.956196+02,btc-updown-5m-1782492900,UP,-1.9895204081632651,29.531072841657966,32.213352509080494,-2.6822796674225273
2026-06-26 20:21:05.671628+02,btc-updown-5m-1782498000,UP,0.49395370370370323,30.02502654536167,32.213352509080494,-2.1883259637188246
2026-06-26 20:46:09.676059+02,btc-updown-5m-1782499500,DOWN,1.9558699999999996,31.98089654536167,32.213352509080494,-0.2324559637188237
2026-06-26 22:01:05.02965+02,btc-updown-5m-1782504000,UP,2.9379215686274507,34.91881811398912,34.91881811398912,0.0
2026-06-27 09:56:05.857362+02,btc-updown-5m-1782546900,UP,1.2502499999999992,36.16906811398912,36.16906811398912,0.0
2026-06-27 11:11:06.000652+02,btc-updown-5m-1782551400,DOWN,2.885798076923076,39.05486619091219,39.05486619091219,0.0
2026-06-27 15:41:05.308578+02,btc-updown-5m-1782567600,UP,-1.9268020833333328,37.12806410757886,39.05486619091219,-1.9268020833333352
2026-06-27 21:31:09.661319+02,btc-updown-5m-1782588600,DOWN,4.46675,41.594814107578856,41.594814107578856,0.0
2026-06-28 12:26:16.177794+02,btc-updown-5m-1782642300,DOWN,4.042669999999999,45.63748410757886,45.63748410757886,0.0
2026-06-28 13:21:06.668834+02,btc-updown-5m-1782645600,UP,1.232412000527498,46.86989610810635,46.86989610810635,0.0
2026-06-28 15:06:08.639888+02,btc-updown-5m-1782651900,DOWN,1.0778551138461538,47.94775122195251,47.94775122195251,0.0
2026-06-28 15:41:05.410067+02,btc-updown-5m-1782654000,DOWN,3.761197916666668,51.708949138619175,51.708949138619175,0.0
2026-06-28 19:36:12.298329+02,btc-updown-5m-1782668100,DOWN,3.327941860465115,55.03689099908429,55.03689099908429,0.0
2026-06-29 00:21:06.056946+02,btc-updown-5m-1782685200,DOWN,4.094386903516552,59.13127790260084,59.13127790260084,0.0
2026-06-29 00:26:05.90543+02,btc-updown-5m-1782685500,DOWN,2.111,61.24227790260084,61.24227790260084,0.0
2026-06-29 00:36:06.053016+02,btc-updown-5m-1782686100,DOWN,-1.4911020408163265,59.75117586178451,61.24227790260084,-1.4911020408163296
2026-06-29 01:06:06.574841+02,btc-updown-5m-1782687900,UP,-1.9648936170212772,57.786282244763235,61.24227790260084,-3.4559956578376045
2026-06-29 03:41:05.483911+02,btc-updown-5m-1782697200,UP,0.6965461728301885,58.482828417593424,61.24227790260084,-2.7594494850074156
