SET
2026-06-03 15:30:45.235927+02|2.5961538461538463|tp065|11329.748499999998|9.615384615384615|0.79
2026-06-03 15:36:02.794922+02|||||
2026-06-03 15:45:10.084484+02|1.50943396226415|tp065|3673.7392999999993|9.433962264150942|0.69
2026-06-03 15:51:01.796513+02|||||
2026-06-03 18:10:55.190317+02|-1.470588235294118|stop|2523.5687|9.803921568627452|0.36
2026-06-03 18:16:01.846332+02|||||
2026-06-03 22:50:40.255181+02|1.63265306122449|tp065|5885.544900000002|10.204081632653061|0.65
2026-06-03 22:56:05.889887+02|||||
2026-06-04 00:00:26.354804+02|3.181818181818181|tp065|4508.847599999999|11.363636363636363|0.72
2026-06-04 00:06:03.729202+02|||||
2026-06-04 02:30:15.018063+02|2.3529411764705883|tp065|2292.7694|9.803921568627452|0.75
2026-06-04 02:36:01.836263+02|||||
2026-06-04 02:45:15.023737+02|1.50943396226415|tp065|2495.3976000000007|9.433962264150942|0.69
2026-06-04 02:51:03.915648+02|||||
2026-06-04 03:16:01.606228+02|1.1111111111111112|tp065|3034.2620999999995|9.25925925925926|0.66
2026-06-04 03:21:02.958196+02|||||
2026-06-04 03:30:55.31119+02|1.132075471698113|tp065|5936.9313|9.433962264150942|0.65
2026-06-04 03:36:03.171654+02|||||
2026-06-04 05:15:35.357957+02|1.1957890909090914|tp065|5303.625099999999|9.111454545454546|0.68
2026-06-04 05:21:01.809493+02|||||
2026-06-04 07:15:50.189268+02|2.294897959183673|tp065|6468.8491|10.204081632653061|0.7149
2026-06-04 07:21:02.293729+02|||||
2026-06-04 08:00:45.369872+02|1.63265306122449|tp065|7283.144799999999|10.204081632653061|0.65
2026-06-04 08:06:01.843848+02|||||
2026-06-04 08:21:01.281388+02|-1.1465705882352937|stop|2797.8452|9.803921568627452|0.39304980000000006
2026-06-04 08:26:09.316941+02|||||
2026-06-04 08:30:45.189199+02|2.9000000000000004|tp065|9412.758|10.0|0.79
2026-06-04 08:36:03.724951+02|||||
2026-06-04 11:30:20.063394+02|2.2916666666666674|tp065|2528.0358999999994|10.416666666666668|0.7
2026-06-04 11:36:02.002328+02|||||
2026-06-04 11:36:05.204205+02|-0.12100000000000055|time60|4554.439300000001|10.0|0.48789999999999994
2026-06-04 11:41:03.859003+02|||||
2026-06-04 12:30:35.684284+02|-1.5000000000000002|stop|1180.5851999999998|10.0|0.35
2026-06-04 12:36:02.719171+02|||||
2026-06-04 13:05:50.321855+02|1.320754716981132|tp065|7744.604899999999|9.433962264150942|0.67
2026-06-04 13:11:02.049776+02|||||
2026-06-04 13:21:05.393143+02|0.7999999999999996|time60|5450.842200000001|10.0|0.58
2026-06-04 13:26:01.400195+02|||||
2026-06-04 14:31:04.38063+02|-1.2499999999999998|stop|2301.7579000000005|11.363636363636363|0.33
2026-06-04 14:36:02.923251+02|||||
2026-06-04 15:00:55.777229+02|3.0392156862745097|tp065|7411.0235|9.803921568627452|0.82
2026-06-04 15:06:02.918449+02|||||
2026-06-04 15:30:40.342995+02|-1.4000000000000001|stop|2211.8522000000003|10.0|0.36
2026-06-04 15:36:02.100568+02|||||
2026-06-04 15:45:30.880264+02|1.3725490196078434|tp065|8664.499399999999|9.803921568627452|0.65
2026-06-04 15:50:25.036671+02|1.0185185185185184|tp065|9650.0347|9.25925925925926|0.65
2026-06-04 15:51:01.914514+02|||||
2026-06-04 15:56:01.175071+02|||||
2026-06-04 16:55:20.041356+02|-0.943396226415094|stop|5600.999300000002|9.433962264150942|0.43000000000000005
2026-06-04 17:01:02.954781+02|||||
2026-06-04 18:40:55.339576+02|-0.9999999999999998|stop|5802.810800000001|10.0|0.4
2026-06-04 18:46:02.268209+02|||||
2026-06-04 19:15:30.591988+02|1.8269230769230764|tp065|8692.751400000001|9.615384615384615|0.71
2026-06-04 19:21:01.68009+02|||||
2026-06-04 20:55:30.81484+02|1.3888888888888882|tp065|8022.0034|9.25925925925926|0.69
2026-06-04 21:01:04.3793+02|||||
2026-06-04 22:20:20.021499+02|1.320754716981132|tp065|6267.4655|9.433962264150942|0.67
2026-06-04 22:26:02.403811+02|||||
2026-06-05 00:05:55.409701+02|1.470588235294118|tp065|2306.1150000000002|9.803921568627452|0.66
2026-06-05 00:10:15.02695+02|-0.943396226415094|stop|1147.5413999999998|9.433962264150942|0.43000000000000005
2026-06-05 00:11:02.013298+02|||||
2026-06-05 00:16:03.876214+02|||||
2026-06-05 05:01:05.232835+02|-0.5769230769230763|time60|1646.982|9.615384615384615|0.4600000000000001
2026-06-05 05:06:01.558547+02|||||
2026-06-05 05:20:20.024714+02|1.5935882352941186|tp065|1876.6774999999998|9.803921568627452|0.6725460000000001
2026-06-05 05:26:01.651217+02|||||
2026-06-05 05:50:20.026159+02|1.9999999999999996|tp065|3174.0753999999997|10.0|0.7
2026-06-05 05:56:01.505696+02|||||
2026-06-05 07:01:05.290004+02|-0.5660377358490576|time60|550.3243000000001|9.433962264150942|0.4699999999999999
2026-06-05 07:06:03.906767+02|||||
2026-06-05 07:40:15.039185+02|-1.2962962962962965|stop|2329.7581999999993|9.25925925925926|0.4
2026-06-05 07:46:01.903765+02|||||
2026-06-05 08:01:05.968963+02|0.9782608695652183|time60|1624.3475999999998|10.869565217391305|0.55
2026-06-05 08:06:02.647763+02|||||
2026-06-05 08:36:00.939018+02|-1.1538461538461537|stop|3889.9391000000005|9.615384615384615|0.4
2026-06-05 08:41:02.241553+02|||||
2026-06-05 09:20:25.406396+02|-1.2264150943396226|stop|3198.6263000000004|9.433962264150942|0.4
2026-06-05 09:26:01.637222+02|||||
2026-06-05 09:30:37.05773+02|-2.037037037037037|stop|791.8579999999998|9.25925925925926|0.32
2026-06-05 09:36:01.378784+02|||||
2026-06-05 09:36:05.115753+02|1.4871666666666674|time60|4999.409599999999|10.416666666666668|0.622768
2026-06-05 09:41:02.301605+02|||||
2026-06-05 09:55:25.181672+02|1.9387755102040822|tp065|5125.8918|10.204081632653061|0.68
2026-06-05 10:01:04.48424+02|||||
2026-06-05 10:01:05.595286+02|0.47169811320754645|time60|3194.2353000000003|9.433962264150942|0.58
2026-06-05 10:06:03.791909+02|||||
2026-06-05 10:21:05.80145+02|-0.49146545454545537|time60|2369.7433000000005|9.201090909090908|0.49
2026-06-05 10:26:01.451227+02|||||
2026-06-05 11:26:05.21751+02|0.277777777777777|time60|3653.1117|9.25925925925926|0.57
2026-06-05 11:31:02.747934+02|||||
2026-06-05 11:36:05.244417+02|-0.6250000000000013|time60|2588.9208000000003|10.937499999999998|0.39999999999999997
2026-06-05 11:41:03.362551+02|||||
2026-06-05 12:25:10.099361+02|1.5384615384615388|tp065|2148.4048000000003|9.615384615384615|0.68
2026-06-05 12:31:03.800541+02|||||
2026-06-05 12:36:05.246241+02|1.5000000000000002|tp065|7821.2521|10.0|0.65
2026-06-05 12:41:02.81526+02|||||
2026-06-05 14:15:20.099735+02|1.6037735849056596|tp065|6865.6836|9.433962264150942|0.7
2026-06-05 14:21:01.561098+02|||||
2026-06-05 14:50:20.190776+02|-1.1538461538461537|stop|3022.5629999999996|9.615384615384615|0.4
2026-06-05 14:56:03.408444+02|||||
2026-06-05 18:25:20.044475+02|-0.9999999999999998|stop|4103.1480999999985|10.0|0.4
2026-06-05 18:31:05.595459+02|||||
2026-06-05 19:00:20.395871+02|1.320754716981132|tp065|10030.108799999998|9.433962264150942|0.67
2026-06-05 19:06:04.446282+02|||||
2026-06-05 20:51:05.704827+02|-0.6862745098039211|time60|6066.255399999998|9.803921568627452|0.44000000000000006
2026-06-05 20:56:04.168598+02|||||
2026-06-05 21:05:40.866314+02|-1.7592592592592597|stop|3428.2538999999992|9.25925925925926|0.35
2026-06-05 21:11:05.202288+02|||||
2026-06-05 21:20:10.305244+02|-0.943396226415094|stop|5349.3456|9.433962264150942|0.43000000000000005
2026-06-05 21:26:05.915901+02|||||
2026-06-05 21:55:40.355883+02|1.2962962962962965|tp065|11024.573800000002|9.25925925925926|0.68
2026-06-05 22:01:04.418657+02|||||
2026-06-05 22:10:25.445689+02|-0.9803921568627455|stop|3474.6939|9.803921568627452|0.41
2026-06-05 22:15:25.096682+02|1.470588235294118|tp065|6394.4101|9.803921568627452|0.66
2026-06-05 22:16:06.19606+02|||||
2026-06-05 22:21:04.409997+02|||||
2026-06-05 23:00:57.356971+02|-1.3265306122448979|stop|2069.0434000000005|10.204081632653061|0.36
2026-06-05 23:06:03.855005+02|||||
2026-06-06 00:40:25.120983+02|-1.6999999999999997|stop|1866.5253000000002|10.0|0.33
2026-06-06 00:46:03.060045+02|||||
2026-06-06 01:25:35.443045+02|1.1111111111111112|tp065|4028.741000000001|9.25925925925926|0.66
2026-06-06 01:31:06.227738+02|||||
2026-06-06 02:35:21.461453+02|1.2962962962962965|tp065|4025.9548000000004|9.25925925925926|0.68
2026-06-06 02:41:01.335881+02|||||
2026-06-06 04:30:40.267996+02|-1.2245098039215687|stop|1307.3487999999998|9.803921568627452|0.3851
2026-06-06 04:36:01.880563+02|||||
