at,slug,direction,asset,tf,sleeve_id,fire_us,book_source,fill_method,entry_vwap,exit_vwap,shares,scalp_pnl_usd,exit_trigger,delta_bps,best_bid_at_exit,exit_book_depth,sell_leg_fee_charged,tp_bid,stop_bid,side
2026-06-26 15:56:06.159699+02,btc-updown-5m-1782482100,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782482400000000,ws_mirror,l25_walk,0.44,0.64,11.363636363636363,2.0894545454545455,time60,3.8618504535636866,0.64,10237.707000000002,0.1832727272727273,0.65,0.33999999999999997,UP
2026-06-26 16:16:10.67436+02,btc-updown-5m-1782483300,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782483600000000,ws_mirror,l25_walk,0.51,0.65,9.803921568627452,1.216421568627451,time60,-3.7356232264740274,0.65,11801.990799999998,0.15612745098039219,0.65,0.41000000000000003,DOWN
2026-06-26 16:21:06.378232+02,btc-updown-5m-1782483600,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782483900000000,ws_mirror,l25_walk,0.52,0.83,9.615384615384615,2.885798076923076,time60,5.479659064238085,0.83,12198.398900000002,0.09497115384615389,0.65,0.42000000000000004,UP
2026-06-26 16:31:07.273306+02,btc-updown-5m-1782484200,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782484500000000,ws_mirror,l25_walk,0.51,0.74,9.803921568627452,2.1228627450980393,time60,-8.002085937007797,0.74,13025.8179,0.13203921568627455,0.65,0.41000000000000003,DOWN
2026-06-26 16:41:06.573828+02,btc-updown-5m-1782484800,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782485100000000,ws_mirror,l25_walk,0.51,0.6,9.803921568627452,0.7176470588235291,time60,-3.9046559499955613,0.6,7732.4234000000015,0.1647058823529412,0.65,0.41000000000000003,DOWN
2026-06-26 17:21:08.389329+02,btc-updown-5m-1782487200,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782487500000000,ws_mirror,l25_walk,0.5,0.49000000000000005,10.0,-0.27492999999999956,time60,4.086401539822315,0.49,6540.298999999999,0.17493000000000003,0.65,0.4,UP
2026-06-26 17:36:09.684803+02,btc-updown-5m-1782488100,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782488400000000,ws_mirror,l25_walk,0.51,0.68,9.803921568627452,1.5173333333333339,time60,3.4939003846123917,0.68,10786.8712,0.14933333333333335,0.65,0.41000000000000003,UP
2026-06-26 17:41:06.07874+02,btc-updown-5m-1782488400,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782488700000000,ws_mirror,l25_walk,0.54,0.49,9.25925925925926,-0.6249351851851856,time60,-3.6391299766547203,0.49,10308.111900000004,0.16197222222222224,0.65,0.44000000000000006,DOWN
2026-06-26 18:36:05.563274+02,btc-updown-5m-1782491700,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782492000000000,ws_mirror,l25_walk,0.54,0.55,9.25925925925926,-0.06782407407407401,time60,5.217940227217888,0.55,5707.5747,0.16041666666666668,0.65,0.44000000000000006,UP
2026-06-26 18:56:05.956196+02,btc-updown-5m-1782492900,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782493200000000,ws_mirror,l25_walk,0.49,0.31,10.204081632653061,-1.9895204081632651,time60,7.137965438532845,0.31,5480.6373,0.15278571428571427,0.65,0.39,UP
2026-06-26 20:21:05.671628+02,btc-updown-5m-1782498000,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782498300000000,ws_mirror,l25_walk,0.54,0.61,9.25925925925926,0.49395370370370323,time60,4.113820704731985,0.61,8397.7722,0.15419444444444447,0.65,0.44000000000000006,UP
2026-06-26 20:46:09.676059+02,btc-updown-5m-1782499500,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782499800000000,ws_mirror,l25_walk,0.5,0.71,10.0,1.9558699999999996,time60,-4.680651744789488,0.71,10110.509000000002,0.14413000000000004,0.65,0.4,DOWN
2026-06-26 22:01:05.02965+02,btc-updown-5m-1782504000,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782504300000000,ws_mirror,l25_walk,0.51,0.82,9.803921568627452,2.9379215686274507,time60,7.569624901069272,0.82,13503.485799999999,0.10129411764705885,0.65,0.41000000000000003,UP
2026-06-27 09:56:05.857362+02,btc-updown-5m-1782546900,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782547200000000,ws_mirror,l25_walk,0.54,0.69,9.25925925925926,1.2502499999999992,time60,3.370904041763989,0.69,3094.6958999999997,0.13863888888888892,0.65,0.44000000000000006,UP
2026-06-27 11:11:06.000652+02,btc-updown-5m-1782551400,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782551700000000,ws_mirror,l25_walk,0.52,0.83,9.615384615384615,2.885798076923076,time60,-4.3153925038863505,0.83,3523.4750000000004,0.09497115384615389,0.65,0.42000000000000004,DOWN
2026-06-27 15:41:05.308578+02,btc-updown-5m-1782567600,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782567900000000,ws_mirror,l25_walk,0.4799999999999999,0.31,10.416666666666668,-1.9268020833333328,time60,3.376487048112331,0.31,1540.8495000000005,0.15596875,0.65,0.3799999999999999,UP
2026-06-27 21:31:09.661319+02,btc-updown-5m-1782588600,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782588900000000,ws_mirror,l25_walk,0.5,0.95,10.0,4.46675,time60,-3.540916231967728,0.95,7913.595000000003,0.03325000000000003,0.65,0.4,DOWN
2026-06-28 12:26:16.177794+02,btc-updown-5m-1782642300,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782642600000000,ws_mirror,l25_walk,0.5,0.9099999999999999,10.0,4.042669999999999,time60,-5.333470771066162,0.91,5695.9239,0.057330000000000055,0.65,0.4,DOWN
2026-06-28 13:21:06.668834+02,btc-updown-5m-1782645600,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782645900000000,ws_mirror,l25_walk,0.5385351842987076,0.6863439444710389,9.284444444444443,1.232412000527498,time60,3.4333837184186144,0.69,3661.8533999999995,0.13991022169472364,0.65,0.43853518429870764,UP
2026-06-28 15:06:08.639888+02,btc-updown-5m-1782651900,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782652200000000,ws_mirror,l25_walk,0.380502653762098,0.48,13.140512820512821,1.0778551138461538,time60,-3.905533716581644,0.48,2663.1749000000004,0.22959104000000002,0.65,0.28050265376209804,DOWN
2026-06-28 15:41:05.410067+02,btc-updown-5m-1782654000,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782654300000000,ws_mirror,l25_walk,0.4799999999999999,0.85,10.416666666666668,3.761197916666668,time60,-3.659469709571539,0.85,7228.206,0.09296875000000003,0.65,0.3799999999999999,DOWN
2026-06-28 19:36:12.298329+02,btc-updown-5m-1782668100,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782668400000000,ws_mirror,l25_walk,0.43000000000000005,0.73,11.627906976744185,3.327941860465115,time60,-6.854570978378494,0.73,5398.2366,0.16043023255813954,0.65,0.33000000000000007,DOWN
2026-06-29 00:21:06.056946+02,btc-updown-5m-1782685200,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782685500000000,ws_mirror,l25_walk,0.39,0.7233696,12.82051282051282,4.094386903516552,time60,-3.6648299830610576,0.73,4283.8704,0.17958232725267692,0.65,0.29000000000000004,DOWN
2026-06-29 00:26:05.90543+02,btc-updown-5m-1782685500,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782685800000000,ws_mirror,l25_walk,0.54,0.78,9.25925925925926,2.111,time60,-6.696454459318435,0.78,6592.960100000001,0.11122222222222222,0.65,0.44000000000000006,DOWN
2026-06-29 00:36:06.053016+02,btc-updown-5m-1782686100,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782686400000000,ws_mirror,l25_walk,0.49,0.36,10.204081632653061,-1.4911020408163265,time60,-4.16080498067295,0.36,2340.3146000000006,0.16457142857142856,0.65,0.39,DOWN
2026-06-29 01:06:06.574841+02,btc-updown-5m-1782687900,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782688200000000,ws_mirror,l25_walk,0.47000000000000003,0.3,10.638297872340425,-1.9648936170212772,time60,3.287734858699043,0.3,2323.5717,0.15638297872340426,0.65,0.37,UP
2026-06-29 03:41:05.483911+02,btc-updown-5m-1782697200,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782697500000000,ws_mirror,l25_walk,0.5297139544645891,0.62,9.439056603773585,0.6965461728301885,time60,3.019096795839893,0.62,3521.2243999999996,0.15566892150943396,0.65,0.42971395446458915,UP
2026-06-29 05:11:06.050276+02,btc-updown-5m-1782702600,UP,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782702900000000,ws_mirror,l25_walk,0.52,0.53,9.615384615384615,-0.07150961538461531,time60,3.5701784739705644,0.53,3913.5361000000003,0.16766346153846154,0.65,0.42000000000000004,UP
2026-06-29 09:06:05.879979+02,btc-updown-5m-1782716700,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782717000000000,ws_mirror,l25_walk,0.4957464950722799,0.57,10.085799999999999,0.5758639293999986,time60,-5.39383756971934,0.57,3458.6926,0.17304207060000001,0.65,0.3957464950722799,DOWN
2026-06-29 10:26:05.400516+02,btc-updown-5m-1782721500,DOWN,BTC,5m,shadow_scalp_exit_btc_5m_d3_v1,1782721800000000,ws_mirror,l25_walk,0.53,0.68,9.433962264150942,1.2713962264150944,time60,-3.004240485444676,0.68,5418.885300000001,0.14369811320754716,0.65,0.43000000000000005,DOWN
