strategy_id,family,variant,asset,tf,n_trades,win_rate,avg_pnl_usd,total_pnl_usd,sharpe_ann,calmar,max_dd_usd,profit_factor,avg_bars_held,avg_fees,avg_funding,oos_sharpe,oos_pf
B1_BTC_1h,B_mean_reversion,B1,BTC,1h,1173,0.4219948849104859,-0.4706848879623572,-552.113373579845,-2.8757814189924114,-0.7607904725046893,-725.7101574394937,0.8058102372030799,7.742540494458653,0.22500000000000006,-0.0019876614023875785,-3.4332233651082196,0.7953655906498238
B1_BTC_4h,B_mean_reversion,B1,BTC,4h,346,0.3872832369942196,-1.0837023331091924,-374.9610072557806,-1.599192901097686,-0.7079125947632359,-529.671332350271,0.7807078836807533,7.078034682080925,0.22500000000000006,-0.034455524855491214,-1.5998909937950685,0.8143297810841731
B1_BTC_1d,B_mean_reversion,B1,BTC,1d,41,0.34146341463414637,-5.062469350413032,-207.56124336693432,-1.7869431615033438,-0.6117847763683009,-339.2716709936245,0.5714539761490822,6.658536585365853,0.22499999999999998,-0.2645374609756293,-4.705719738335897,0.19486084650511798
B1_ETH_1h,B_mean_reversion,B1,ETH,1h,1151,0.38748913987836664,-0.9254710051911316,-1065.2171269749924,-4.478176545786697,-0.9254167356188091,-1151.0674985391327,0.7194539821562218,7.245873153779322,0.22500000000000006,-0.005352395938314971,-6.851643794300927,0.6173598037334037
B1_ETH_4h,B_mean_reversion,B1,ETH,4h,353,0.4164305949008499,-0.7906914688297231,-279.11408849689224,-0.9065721406728564,-0.4968197409957412,-561.8015257153094,0.8731139117187482,6.328611898016997,0.22500000000000003,-0.022022616288951,-3.684238619802746,0.6183328349082144
B1_ETH_1d,B_mean_reversion,B1,ETH,1d,33,0.2727272727272727,-4.874434487357025,-160.85633808278183,-1.161411077947895,-0.5902948290327368,-272.50168927680204,0.6930919447997529,5.0,0.225,-0.288604324999946,-1.2564793375151573,0.7130114252002419
B1_SOL_1h,B_mean_reversion,B1,SOL,1h,608,0.4276315789473684,-0.6652150975108901,-404.4507792866212,-2.3204352313130503,-0.983234318899235,-411.34729688790554,0.8413691809903661,7.171052631578948,0.225,-0.015535538692435102,-2.4293244642736003,0.8409088263434613
B1_SOL_4h,B_mean_reversion,B1,SOL,4h,181,0.425414364640884,-1.9571044721641229,-354.2359094617062,-2.061145575531067,-0.5475416513011919,-646.9570097907456,0.7707431898049941,6.1602209944751385,0.2250000000000001,-0.07023948052486526,1.5292168429496256,1.2229336787749432
B1_SOL_1d,B_mean_reversion,B1,SOL,1d,33,0.30303030303030304,-13.496747117937948,-445.3926548919523,-2.27102229483591,-0.8789282782924356,-506.7451644146122,0.5059937618591335,6.484848484848484,0.225,-0.3347736166667157,-0.6288661472537408,0.8489675271575547
B1_AVAX_1h,B_mean_reversion,B1,AVAX,1h,667,0.4362818590704648,-0.4461731501238164,-297.59749113258556,-1.5404780739262174,-0.8475926083742306,-351.1091156203073,0.888102876764242,7.077961019490255,0.22500000000000006,-0.0164722997751123,-7.003737341523597,0.6588650445874135
B1_AVAX_4h,B_mean_reversion,B1,AVAX,4h,175,0.38857142857142857,-3.151742684827971,-551.5549698448949,-2.5546375513620836,-0.8324532115234652,-662.5657300732844,0.6768008010909173,7.388571428571429,0.2250000000000001,-0.09019354699999918,-1.0816676921513753,0.8485927654725942
