label,family,asset,z_thresh,hold_h,z_window_d,expected_proxy,atr_exit,n_signals,status,n_trades,win_rate,total_pnl_usd,avg_pnl_usd,sharpe,g1_p,g1_pass,g2_pass,g3_wf_stable,g3_wf_mean_sharpe,g4_perm_p,g4_pass,g5_pos_folds,g5_pass,g6_boot_lo,g6_boot_hi,g6_pass,g7_regime_min_sharpe,g7_pass,all_gates_pass,avg_funding,avg_fees,mkt_corr,mkt_neutral,fund_z_filter
D1|SOL|z1.5|h48h|zwin7d|zero_fund|atr0,D1,SOL,1.5,48,7,zero_fund,0,301,OK,300,0.5766666666666667,718.1745472417749,2.393915157472583,3.7714009048639143,0.009261206676410538,True,True,True,3.2778730735730783,0.000999000999000999,True,2,True,0.12718415683216844,0.34934349181989516,True,-1.2973263662372405,False,False,-0.07881216533333128,0.22500000000000006,,,
D1|SOL|z1.5|h48h|zwin7d|zero_fund|atr1,D1,SOL,1.5,48,7,zero_fund,1,301,OK,300,0.45,-48.206803554021334,-0.1606893451800711,-1.0808207673749495,0.09390370091881962,False,False,True,-1.1034874598781144,0.8711288711288712,False,2,True,-0.1811640561515073,0.04309613776316605,False,-2.6102286157584187,False,False,-0.012845825083332858,0.22500000000000006,,,
D1|SOL|z2.0|h48h|zwin7d|zero_fund|atr0,D1,SOL,2.0,48,7,zero_fund,0,134,OK,133,0.6015037593984962,404.2992508096283,3.0398439910498367,5.001592212402716,0.023801099334890996,True,True,True,3.984028300676615,0.000999000999000999,True,2,True,0.1500738084949271,0.4807326327149752,True,1.7367620580397956,True,True,-0.10430056917292857,0.22500000000000003,,,
D1|SOL|z2.0|h48h|zwin7d|zero_fund|atr1,D1,SOL,2.0,48,7,zero_fund,1,134,OK,133,0.49624060150375937,13.904349410303675,0.10454398052859906,0.7470080661043215,1.0,False,True,True,0.3663985591155634,0.2817182817182817,False,2,True,-0.12958367172822233,0.20647797408770083,False,-7.854616969464274,False,False,-0.018517395676690848,0.22500000000000003,,,
D1|SOL|z2.5|h48h|zwin7d|zero_fund|atr0,D1,SOL,2.5,48,7,zero_fund,0,60,OK,59,0.5932203389830508,205.97174771683976,3.4910465714718604,5.801649877889325,0.19252645776146274,False,True,True,5.154604016741719,0.007992007992007992,True,2,True,0.12034423561591089,0.6144596254903498,True,-0.2881052446567805,False,False,-0.10857500423728292,0.225,,,
D1|SOL|z2.5|h48h|zwin7d|zero_fund|atr1,D1,SOL,2.5,48,7,zero_fund,1,60,OK,59,0.576271186440678,25.49275056491814,0.43208051804946,2.4459349900362723,0.2975952082844287,False,True,True,2.3543303036117678,0.12387612387612387,False,3,True,-0.10764789703506425,0.4107986671309075,False,-0.8805945762755703,False,False,-0.026123825423727345,0.225,,,
D1|SOL|z3.0|h48h|zwin7d|zero_fund|atr0,D1,SOL,3.0,48,7,zero_fund,0,31,OK,30,0.43333333333333335,86.67861046925137,2.8892870156417123,4.308642137706552,0.5846647117286922,False,True,False,0.38119288196025874,0.07592407592407592,False,1,False,-0.09156774815644085,0.6152722951700094,False,-9.462206083262966,False,False,-0.138577396666659,0.22499999999999995,,,
D1|SOL|z3.0|h48h|zwin7d|zero_fund|atr1,D1,SOL,3.0,48,7,zero_fund,1,31,OK,30,0.5,-2.2934253709889285,-0.07644751236629761,-0.41825059422452954,1.0,False,False,False,1.4127957099076776,0.5614385614385614,False,1,False,-0.4755683262070753,0.3126446196834782,False,-6.427666636596007,False,False,-0.0340020741666645,0.22499999999999995,,,
D1|SOL|z1.0|h72h|zwin7d|zero_fund|atr0,D1,SOL,1.0,72,7,zero_fund,0,654,OK,653,0.5375191424196019,1173.1525626896266,1.7965582889580807,2.2397398434588007,0.060245580451559935,False,True,True,2.008246223857007,0.000999000999000999,True,2,True,0.06335582844034103,0.22028521797095854,True,-0.8571014456031762,False,False,-0.04961981209800785,0.225,,,
D1|SOL|z1.0|h72h|zwin7d|zero_fund|atr1,D1,SOL,1.0,72,7,zero_fund,1,654,OK,653,0.41347626339969373,-159.8684766300104,-0.24482155686065912,-1.8403760317420117,1.1169746808307074e-05,True,False,False,-1.9902110476959296,0.998001998001998,False,0,False,-0.19405780877935777,-0.03787185575393907,False,-3.70253730520728,False,False,-0.007873638935681222,0.225,,,
