strategy,asset,tf,variant,n_trades,win_rate,total_pnl_usd,avg_pnl_usd,sharpe_ann,max_dd_usd,calmar,profit_factor,avg_bars_held,avg_funding,avg_fees
E1_router,BTC,1h,composite,515,0.42524271844660194,-375.76941884480306,-0.7296493569802001,-2.365351977007635,-385.76742532384105,-0.9740828130559626,0.7140051694246079,23.998058252427185,0.006948751747570044,0.22500000000000006
E1_router,BTC,1h,A2_only,645,0.4232558139534884,-292.4784682941166,-0.45345498960328157,-1.558399431099314,-313.90963703240504,-0.9317282229978939,0.7993077022963916,23.9984496124031,0.016269510542632423,0.2250000000000001
E1_router,BTC,1h,B1_only,230,0.44782608695652176,-219.72756430392727,-0.9553372361040315,-2.7580849323409162,-227.94591978601235,-0.9639460294362795,0.6838772519982934,24.0,-0.04099010967391078,0.2250000000000001
E2_vol_sized,BTC,1h,vol_sized,569,0.4446397188049209,-189.88578304946577,-0.3337184236370224,-0.9528027863913651,-368.4143978965203,-0.5154135781164574,0.8584958764242228,23.95957820738137,4.224931898077946e-05,0.2420035149384886
E2_vol_sized,BTC,1h,flat_1x,569,0.4446397188049209,-155.27031092204817,-0.2728827959965697,-0.9100599949460303,-304.00582673726615,-0.5107478122655817,0.8772422309482938,23.95957820738137,1.4846221440477664e-05,0.22500000000000006
E3_session,BTC,1h,composite,612,0.42320261437908496,-449.39692137467415,-0.7343086950566571,-2.352748786057399,-492.6207315923635,-0.9122574275792834,0.7168402888509477,23.980392156862745,0.009739306699347373,0.22500000000000003
E3_session,BTC,1h,A1_only,667,0.4332833583208396,-263.8130666442964,-0.3955218390469211,-1.2771248180979404,-352.53403536285015,-0.7483336080522365,0.8323750828869931,23.982008995502248,0.010944898950524215,0.22500000000000006
E3_session,BTC,1h,B1_only,230,0.44782608695652176,-219.72756430392727,-0.9553372361040315,-2.7580849323409162,-227.94591978601235,-0.9639460294362795,0.6838772519982934,24.0,-0.04099010967391078,0.2250000000000001
E4_cyclops_conf,BTC,1h,composite,407,0.40786240786240785,-389.9401600382292,-0.9580839312978604,-3.269100481542205,-431.8339646876104,-0.9029863140114807,0.6285654022114208,23.96805896805897,-0.012118543243247376,0.2250000000000001
E4_cyclops_conf,BTC,1h,A2_only,645,0.4232558139534884,-292.4784682941166,-0.45345498960328157,-1.558399431099314,-313.90963703240504,-0.9317282229978939,0.7993077022963916,23.9984496124031,0.016269510542632423,0.2250000000000001
