variant,gates,n_tr,wr_tr,n_va,wr_va,n_lo,wr_lo,dpt_lo,dpt_ci_lo,dpt_ci_hi,p,n_full,dd_lo,ls_lo
V1_no_offset_early,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_vol_high,467,82.22698072805139,127,83.46456692913385,183,87.43169398907104,2.805031042162898,1.4125514928092084,3.645406169786307,0.0001,777,133.93039546384964,4
V2_no_vol_high,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early,167,67.06586826347305,51,68.62745098039215,67,62.68656716417911,0.2726556129276053,-5.049066619980118,5.255354277000554,0.476,285,200.4771331849468,4
V3_no_tr_stack,g_above_1h_dailyvwap_with&g_offset_early&g_vol_high,288,57.638888888888886,75,54.666666666666664,100,62.0,5.176517751701486,4.222899238892112,5.9382797661842215,0.0001,463,145.84866848818507,4
V4_no_vwap,g_tr_stack_full_with&g_offset_early&g_vol_high,99,62.62626262626263,26,73.07692307692307,38,71.05263157894737,3.0406610021722345,0.5000068000522304,7.306941628745255,0.0001,163,113.99275350049874,4
V5_swap_voll_for_volH,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_low,59,62.71186440677966,22,63.63636363636363,26,38.46153846153847,-9.482126194636889,-20.3273582410286,-2.70385616564207,0.5,107,279.2573534091591,5
V6_swap_vol_for_hurst,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_hurst_trending,68,67.64705882352942,27,59.25925925925925,22,50.0,-4.754897409091114,-25.0,5.390440804996426,0.5,117,163.25185717997113,5
V7_add_rf_aged,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_rf_aged,7,85.71428571428571,0,0.0,1,100.0,10.500000596046457,,,,8,0.0,0
V8_add_tr50,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_tr_above_ema50,59,74.57627118644068,15,73.33333333333333,26,88.46153846153845,10.532423419839851,8.196627643679264,15.177578539727268,0.0001,100,50.0,2
V9_add_ribbon,g_tr_stack_full_with&g_above_1h_dailyvwap_with&g_offset_early&g_vol_high&g_ribbon_agrees,59,74.57627118644068,15,73.33333333333333,26,88.46153846153845,10.532423419839851,8.196627643679264,15.177578539727268,0.0001,100,50.0,2
