sleeve_id,cohort,gate_stack,depth,n_train,n_val,n_lockbox,n_full,wr_train,wr_val,wr_lockbox,wr_full,dpt_25,dpt_train,dpt_val,dpt_full,sum_25_28d,sum_lockbox,max_dd_25,max_dd_full,loss_streak,loss_streak_full,sharpe,sharpe_full,n_days_lock,n_days_full,fires_per_day,fires_per_day_lock,days_lock,days_full,bootstrap_p_lockbox,bootstrap_p_full
HURST22_HURST_STRONG_TREND_VWAP,22D,g_trend_slope_strong_with&g_hurst_trending&g_above_1h_dailyvwap_with,3,489,151,147,787,49.693251533742334,58.27814569536424,52.38095238095239,51.84243964421855,2.634281275122562,-1.162388301508012,1.487275589438837,0.05515893521075356,43.41008201086305,387.23934744301664,439.6287297739116,995.4561157572334,10,21,7.689927457062276,0.11054619929570825,4,21,37.476190476190474,36.75,4.0,21.0,0.129,0.494
HURST22_HURST_MPSKEW_VWAP,22D,g_hurst_trending&g_mp_skew_with&g_above_1h_dailyvwap_with,3,1816,455,474,2745,51.92731277533039,56.48351648351648,56.9620253164557,53.551912568306015,3.433006592898146,-1.704884444282745,7.653652309072024,0.7335470946608472,2013.5867748440255,1627.2451250337213,774.9635505139339,3750.8466140970245,11,22,9.245925538352918,1.7524458263157148,4,21,130.71428571428572,118.5,4.0,21.0,0.066,0.341
HURST22_HURST_MPSKEW_RIB,22D,g_hurst_trending&g_mp_skew_with&g_ribbon_agrees,3,1607,476,484,2567,56.00497822028625,55.67226890756303,58.67768595041323,56.447214647448384,-0.4619608184311242,-2.9882850047363583,4.572048470429255,-1.110038163929749,-2849.4679668076656,-223.5890361206641,1519.709796479842,5182.7478250332115,5,8,-1.3740786431518202,-2.8263261007733305,4,21,122.23809523809524,121.0,4.0,21.0,0.5,0.5
SMS22_MARKOV_TREND_VWAP,22D,g_markov_with&g_trend_slope_with&g_above_1h_dailyvwap_with,3,2855,807,766,4428,47.285464098073554,50.30978934324659,49.869451697127936,48.2836495031617,-2.516528948374327,-1.4676461962849539,4.644311832319165,-0.535192280073783,-2369.8314161667113,-1927.6611744547345,3669.718433501538,8399.152506493012,30,51,-6.403250371360572,-1.1037719418175715,4,21,210.85714285714286,191.5,4.0,21.0,0.5,0.5
SMS22_MARKOV_MPSKEW_VWAP,22D,g_markov_with&g_mp_skew_with&g_above_1h_dailyvwap_with,3,2532,633,620,3785,48.93364928909952,54.34439178515008,48.38709677419355,49.74900924702774,-3.995117080457979,-1.9996947203253577,4.733525030738777,-1.2004962423487733,-4543.878277290107,-2476.972589883947,2952.8178277935526,5371.577335422737,25,25,-13.773808879219558,-2.971051360759735,4,21,180.23809523809524,155.0,4.0,21.0,0.5,0.5
SMS22_CVD_TREND_VWAP,22D,g_cvd_with&g_trend_slope_with&g_above_1h_dailyvwap_with,3,2809,735,650,4194,50.943396226415096,54.5578231292517,59.38461538461538,52.885073915116834,4.476802944364163,-0.49895797001360337,1.1456060330771924,0.5604123534526062,2350.3694103802304,2909.921913836706,1487.7714733831365,3073.518998792377,22,47,7.148893479171667,1.8121636212308336,4,21,199.71428571428572,162.5,4.0,21.0,0.127,0.301
SMS22_CVD_HURST_VWAP,22D,g_cvd_with&g_hurst_trending&g_above_1h_dailyvwap_with,3,2015,544,458,3017,50.71960297766749,55.88235294117647,55.67685589519651,52.403049386808085,3.5326453155448787,-2.017871188687426,1.5316236017840879,-0.5352521217484473,-1614.8556513150654,1617.9515545195545,1674.3171287160098,4407.141555125865,21,34,5.8095430921292195,-1.6200361190631414,4,21,143.66666666666666,114.5,4.0,21.0,0.191,0.5
SMS22_RSI_EXT_TREND_VWAP,22D,g_rsi_extreme_with&g_trend_slope_with&g_above_1h_dailyvwap_with,3,4,0,21,25,100.0,,23.809523809523807,36.0,-16.5567737668963,205.1545727724249,,18.917041679395094,472.9260419848773,-347.6922491048223,400.0,400.0,16,16,0.0,4.543810461803733,1,2,1.1904761904761905,5.25,4.0,21.0,,
SMS22_RSI_OVERBOUGHT_TREND,22D,g_rsi_overbought&g_trend_slope_with&g_above_1h_dailyvwap_with,3,318,45,28,391,37.42138364779874,40.0,46.42857142857143,38.36317135549872,-9.109177718148405,4.324292683531254,94.3474802882089,13.723029949422466,5365.704710224184,-255.05697610815534,375.0,2560.889225530097,15,44,0.0,4.048337773361271,1,12,18.61904761904762,7.0,4.0,21.0,,0.16
SMS22_RSI_OVERSOLD_TREND,22D,g_rsi_oversold&g_trend_slope_with&g_above_1h_dailyvwap_with,3,211,106,91,408,46.44549763033176,44.339622641509436,42.857142857142854,45.09803921568628,-8.056911939590504,-4.639356510615556,-5.49884282364558,-5.624903307718259,-2294.9605495490496,-733.1789865027358,1013.1862710022806,2560.0751778988383,23,36,-55.21599636864662,-13.3417366895109,3,12,19.428571428571427,22.75,4.0,21.0,0.5,0.5
SMS22_TREND_STRONG60_VWAP_RIB,22D,g_trend_strong_60&g_above_1h_dailyvwap_with&g_ribbon_agrees,3,578,110,73,761,56.92041522491349,47.27272727272727,54.794520547945204,55.32194480946123,-2.1552990608856333,0.3679454068507714,23.202051556723717,3.426493147115247,2607.561284954703,-157.33683144465124,457.9664099807588,2234.630027374033,9,26,-4.464475243121595,2.9027320387062967,4,16,36.23809523809524,18.25,4.0,21.0,0.5,0.241
SMS22_TREND_STRONG80_VWAP,22D,g_trend_strong_80&g_above_1h_dailyvwap_with,2,262,50,0,312,46.18320610687023,48.0,,46.47435897435898,,10.55083781333136,91.2129602219478,23.477459994199382,7324.967518190208,0.0,0.0,1141.6552196795597,0,36,0.0,9.276156284087486,0,6,14.857142857142858,0.0,4.0,21.0,,0.082
SMS22_MULTI_TF_VWAP,22D,g_multi_tf_align_with&g_above_1h_dailyvwap_with,2,4374,1282,1064,6720,49.382716049382715,51.716068642745704,47.650375939849624,49.55357142857143,-2.4237324823378055,-2.2411736276361838,1.7305623713273661,-1.5123755726854775,-10163.16384844641,-2578.851361207425,4206.920452851133,11465.204238821174,43,44,-7.725517396383123,-3.7728384115589013,4,21,320.0,266.0,4.0,21.0,0.5,0.5
SMS22_MULTI_TF_VWAP_TR50,22D,g_multi_tf_align_with&g_above_1h_dailyvwap_with&g_tr_above_ema50,3,2248,618,532,3398,56.895017793594306,58.252427184466015,53.94736842105263,56.68040023543261,-1.833921426037215,-1.7438223669135249,4.220581398099002,-0.6731723294432664,-2287.4395754482193,-975.6461986517984,2076.0216396218907,4484.982061521011,22,22,-4.19599897724616,-1.4908604528532237,4,21,161.8095238095238,133.0,4.0,21.0,0.5,0.5
