gate,n,wr,dpt,sum,max_dd,loss_streak,sharpe
g_rsi_overbought,950,48.84210526315789,4.62997122964084,4398.472668158798,1938.378695378645,4,3.9501053763580263
g_above_1h_dailyvwap_with,19638,54.82737549648641,0.25349599341067225,4978.154318598782,11840.199568116861,57,1.250962568105723
g_tr_stack_with,6389,75.01956487713257,-0.2699987149806575,-1725.0217900114208,3290.894369222552,8,-2.750354092953474
g_tr_stack_full_with,6389,75.01956487713257,-0.2699987149806575,-1725.0217900114208,3290.894369222552,8,-2.750354092953474
g_tr_above_ema800,19250,67.93246753246753,-0.8159163739729981,-15706.390198980214,16401.766196740522,28,-10.056307897538996
g_offset_early,5039,50.2282198848978,-0.8892852412128163,-4481.108330471381,4517.8191182779165,4,-19.662964491787417
g_mp_no_extreme_150,14116,50.127514876735624,-0.9165610704622986,-12938.176070645808,12996.072938322985,3,-12.705089920858093
g_mp_no_extreme,9058,50.09935968204901,-0.9342539967984416,-8462.472703000283,8528.731868519684,3,-9.565074728442557
g_stoch_with,18680,65.42291220556746,-1.284624216766576,-23996.78036919964,24286.03716015648,15,-13.46911508655664
g_rv_with,2296,48.08362369337979,-1.3105364937302353,-3008.9917896046204,3433.4380584961123,4,-3.072094153451346
g_within_dev,999,51.051051051051054,-1.323392494316336,-1322.0691018220195,1732.3921463515455,5,-7.110399511647802
g_vol_expanding,2372,48.102866779089375,-1.3380890497043465,-3173.94722589871,3388.1709707766654,4,-3.2682206413199286
g_trend_strong_60,3368,48.90142517814727,-1.4768463919162607,-4974.018647973966,9071.669094165825,4,-3.7450988366415427
g_mp_change_with,1985,53.14861460957179,-1.5050009351123026,-2987.4268561979206,4320.870945285102,9,-5.091952460238697
g_flow_with_and_no_whale,844,51.18483412322274,-1.5060474950340235,-1271.1040858087158,1600.2924051301168,4,-7.458788185466825
g_tr_above_ema200,19530,60.814132104454686,-1.5363330750844608,-30004.584956399518,30374.07747612702,28,-13.950063960176584
g_hawkes_imbalance_with,850,51.05882352941177,-1.6025246063478897,-1362.1459153957062,1621.2577993251184,5,-7.999799135905866
g_ribbon_agrees,19059,58.035573744687554,-1.7918895248728117,-34151.62245455092,34497.55829744268,9,-15.422510662686863
g_tr_above_cloud,19617,57.939542233776834,-1.8513493868967308,-36317.92092275317,36724.1962649923,28,-14.70344170052654
g_offset_mid,15356,49.94139098723626,-1.887552146124365,-28985.250755885747,29031.188190805176,4,-19.90975012507407
g_cci_with,19148,54.67411740129518,-2.107302934673938,-40350.636593136565,41348.95535602902,11,-16.235846189922206
g_tr_above_pp,19712,49.320211038961034,-2.2353726029517422,-44063.66474938474,44709.624497223675,55,-10.956812272271481
g_tr_above_ema50,19661,55.23116830273129,-2.242466361389156,-44089.131131272195,45083.05140080546,28,-21.492966825340197
g_bb_pos_with,19146,54.64326752324246,-2.2521363796632685,-43119.40312503294,44056.538333220204,11,-18.119657274662064
g_mfi_with,19112,54.82419422352449,-2.3116359077969193,-44179.985469814725,44874.90258556004,11,-21.062740426793113
g_ribbon_slope_with,19195,51.430059911435265,-2.4466096466378136,-46962.67216721283,47231.02040764047,15,-18.50541186708462
g_hurst_trending,11761,48.56729869909021,-2.4775747022455388,-29138.756073109784,31537.784346051827,6,-13.534488205300336
g_mp_imbalance_with,18642,49.03980259628795,-2.5196351634838856,-46971.0387176666,47439.79118987724,16,-18.945259799358038
g_mp_skew_with,18425,49.009497964721845,-2.548594518938259,-46957.85401143742,47461.59035491972,18,-18.88158049292469
g_rf_with,19175,52.17209908735333,-2.656199419632269,-50932.623871448755,51566.8180820699,11,-23.0373078968975
g_rf_strong,17207,51.76381705120009,-2.713098355961761,-46684.28341103402,47292.6595318642,13,-22.04171886599945
g_range_compressed,8586,48.4509666899604,-2.716455769374015,-23323.489235845293,23463.037544246556,6,-15.872723964554249
g_rf_in_band,7865,48.55689764780674,-2.7387730196274678,-21540.449799370035,21587.676215986707,5,-11.417209385988276
g_near_pivot,12243,48.5583598791146,-2.7539331465674537,-33716.403513425335,33917.78649216846,5,-18.219669574028043
g_adx_strong,16658,48.39716652659383,-2.7790540082993824,-46293.481670251116,47858.28681239997,5,-14.174202262195791
g_tr_within_adr,21472,48.57488822652757,-2.8675146841258385,-61571.275297550004,61640.456741683935,6,-17.706557617012958
g_trend_slope_with,17174,46.01723535577035,-2.894419430419162,-49708.75929801869,51030.66569139469,94,-16.201373472072984
g_tight_ribbon,36806,48.600771613323914,-2.932395955271534,-107929.76552972407,107984.41218353064,6,-31.657819947008516
g_vol_med,7921,48.83221815427345,-2.959572059902109,-23442.770286484607,24313.98856594662,5,-20.939984472455258
g_rf_aged,6026,48.55625622303352,-2.978553732058508,-17948.764789384568,18029.720089802224,5,-14.114053227136262
g_hurst_reverting,1947,48.99845916795069,-2.979795151921383,-5801.661160790933,6090.643427185885,4,-12.221036487067195
g_atr_high,8590,48.33527357392317,-2.9940588041583567,-25718.965127720283,26171.162143031153,5,-11.421102374687232
g_tr_in_active_session,35087,48.493744121754496,-2.9954342658586985,-105100.80208618415,105145.46486871905,6,-29.435901767434288
g_rf_fresh,32595,48.52891547783402,-3.0343307929797225,-98904.01219717406,98948.67497970957,5,-30.538955678033812
g_vol_low,9960,48.72489959839357,-3.079139407264692,-30668.22849635633,31232.842768101036,6,-18.33269530089078
g_vol_contracting,7815,48.68841970569418,-3.0802348667831776,-24072.03548391053,24412.440713874323,4,-16.99909771505059
g_cvd_with,15418,48.13205344402646,-3.088580061070498,-47619.72738158493,48272.78936989275,57,-14.304974835026023
g_vol_high,8255,48.14052089642641,-3.179491179017192,-26246.69968278692,26247.1946318053,5,-14.38987825925623
g_multi_tf_align_with,10826,46.28671716238685,-3.320630391072655,-35949.14461375256,36939.883846448734,54,-11.554866333154791
g_far_from_pivot,6844,48.56808883693746,-3.393689470433872,-23226.41073564942,23314.18499065878,4,-16.985220006155398
g_mp_weighted_skew_with,18455,34.18043890544568,-3.412816168894316,-62983.52239694461,63305.36349898801,26,-18.02682141932355
g_markov_with,12289,46.61892749613475,-3.4475391764716004,-42366.808939659495,43019.87092796777,52,-12.588334537200016
g_bb_squeeze,6587,48.61090025808411,-3.8787889539755627,-25549.582839837032,25974.506257354224,5,-17.807715928422287
g_trend_slope_strong_with,4299,43.19609211444522,-3.9116788392885318,-16816.307330101397,18075.374091566115,74,-10.957788325562138
g_rsi_extreme_with,1130,51.592920353982294,-4.168027392945846,-4709.870954028806,6096.614538949427,32,-7.6676685644136855
g_rsi_oversold,1305,47.89272030651341,-4.862074889065736,-6345.0077302307855,6345.007730230802,4,-18.70362112389173
g_offset_late,14143,45.775295199038396,-5.681970715448145,-80360.11182858312,80474.0644078278,6,-31.69835569251432
