variant,version,fire_offset_s,slug,asset,tf,ws,day,signal,outcome,ret_2m,exit_reason,vwap_e,shares_e,usd_e,fee_in,pnl,fired,slot_start_s,window_s,ws_s,ws_us,fire_us,won,rsi_14,f7_pass,regime_w20_1m_voladaptive,markov_pass_w20_1m_voladaptive,regime_w20_1m_fixed,markov_pass_w20_1m_fixed,regime_w20_5m_voladaptive,markov_pass_w20_5m_voladaptive,regime_w20_5m_fixed,markov_pass_w20_5m_fixed
SELL_5bp,v1,-180,btc-updown-5m-1777471200,BTC,5m,1777471200,2026-04-29,UP,Down,0.0011387106310192,sell_5bp,0.5199999809265137,48.07692484037417,25.0,0.8400000333786011,-25.8400000333786,True,1777471200,300,1777470900,1777470900000000,1777471020000000,False,56.37700875775865,True,-1,False,1,False,-1,False,0,False
SELL_5bp,v1,-180,btc-updown-5m-1777473600,BTC,5m,1777473600,2026-04-29,UP,Down,0.0017261175735871,sell_5bp,0.5099999904632568,49.01960875977925,25.0,0.8575000166893006,-25.8575000166893,True,1777473600,300,1777473300,1777473300000000,1777473420000000,False,60.7534377648377,True,-1,False,1,False,-1,False,0,False
SELL_5bp,v1,-180,btc-updown-5m-1777476300,BTC,5m,1777476300,2026-04-29,DOWN,Down,-0.0007165845542482,sell_5bp,0.4761904691510009,52.50000077610216,25.0,0.9166666789857486,26.583334097116413,True,1777476300,300,1777476000,1777476000000000,1777476120000000,True,32.56693830034902,True,-1,False,0,True,-1,False,0,True
SELL_5bp,v1,-180,btc-updown-5m-1777476900,BTC,5m,1777476900,2026-04-29,UP,Down,0.0008823278343396,sell_5bp,0.5243371357244525,47.67924737098518,25.0,0.8324100124822083,-25.832410012482207,True,1777476900,300,1777476600,1777476600000000,1777476720000000,False,43.41498047568341,False,-1,False,1,False,-1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777480800,BTC,5m,1777480800,2026-04-29,DOWN,Up,-0.0013354719754598,sell_5bp,0.4900000095367431,51.02040717026833,25.0,0.8924999833106996,-25.8924999833107,True,1777480800,300,1777480500,1777480500000000,1777480620000000,False,52.87226286547562,False,-1,False,0,True,-1,False,0,True
SELL_5bp,v1,-180,btc-updown-5m-1777485000,BTC,5m,1777485000,2026-04-29,DOWN,Down,-0.0008622690342331,sell_5bp,0.5,50.0,25.0,0.8750000000000001,24.125,True,1777485000,300,1777484700,1777484700000000,1777484820000000,True,69.84605783232928,False,-1,False,1,False,-1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777487700,BTC,5m,1777487700,2026-04-29,DOWN,Up,-0.0013524710620232,sell_5bp,0.5,50.0,25.0,0.8750000000000001,-25.875,True,1777487700,300,1777487400,1777487400000000,1777487520000000,False,48.045694711499294,True,-1,False,1,False,-1,False,0,True
SELL_5bp,v1,-180,btc-updown-5m-1777488000,BTC,5m,1777488000,2026-04-29,UP,Down,0.00236725949372,sell_5bp,0.5263994028278787,47.49245509340835,25.0,0.8288010450512123,-25.82880104505121,True,1777488000,300,1777487700,1777487700000000,1777487820000000,False,44.09021639743957,False,-1,False,1,False,-1,False,0,False
SELL_5bp,v1,-180,btc-updown-5m-1777495800,BTC,5m,1777495800,2026-04-29,UP,Up,0.0007098896657861,sell_5bp,0.4699999988079071,53.19148949661531,25.0,0.9275000020861626,27.26398949452915,True,1777495800,300,1777495500,1777495500000000,1777495620000000,True,62.2737342627115,True,-1,False,1,False,-1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777511100,BTC,5m,1777511100,2026-04-30,UP,Up,0.0012616508746502,sell_5bp,0.5099999904632568,49.01960875977925,25.0,0.8575000166893006,23.162108743089952,True,1777511100,300,1777510800,1777510800000000,1777510920000000,True,59.93882318938437,True,-1,False,1,False,-1,False,1,False
SELL_5bp,v1,-180,btc-updown-5m-1777512900,BTC,5m,1777512900,2026-04-30,UP,Down,0.0007858119588023,sell_5bp,0.5,50.0,25.0,0.8750000000000001,-25.875,True,1777512900,300,1777512600,1777512600000000,1777512720000000,False,69.70320305612769,True,-1,False,1,False,-1,False,2,True
SELL_5bp,v1,-180,btc-updown-5m-1777513200,BTC,5m,1777513200,2026-04-30,DOWN,Up,-0.0016133407220356,sell_5bp,0.5099999904632568,49.01960875977925,25.0,0.8575000166893006,-25.8575000166893,True,1777513200,300,1777512900,1777512900000000,1777513020000000,False,60.581403435565484,False,-1,False,1,False,-1,False,2,False
