stack,n_t,wr_t,dpt_t,dd_t,ls_t,shp_t,n_l,wr_l,dpt_l,dd_l,ls_l,shp_l,size,val_n,val_wr,val_dpt,val_sum_pnl,val_max_dd,val_max_ls,val_sharpe,val_n_per_day
g_R1_six+g_regime_trending_dn+g_ribbon_slope_strong+g_tr_full_stack_with,26,0.9615384615384616,4.4053149372545315,25.0,1,15.083266102130139,34,0.8823529411764706,5.786834284357353,50.0,2,43.567023253821944,Q,57,0.7719298245614035,-2.8509797058264343,-162.50584323210677,190.10751046077846,3,-14.939116950407072,9.5
g_dir_dn+g_regime_trending_dn+g_rf_with+g_ribbon_slope_strong,25,0.76,4.561646917356593,140.16774923235144,5,3.8192352602412614,34,0.7941176470588235,5.217771477094188,76.42220085247983,3,16.93683176702647,Q,61,0.7213114754098361,-1.813564378334053,-110.62742707837722,232.88174611908568,4,-6.687506660882125,10.166666666666666
g_dir_dn+g_regime_trending_dn+g_rf_fresh+g_ribbon_slope_strong,25,0.76,5.3899450636357225,117.83391259003909,3,5.219850452396922,34,0.7941176470588235,5.200600021446342,76.42220085247983,3,17.019447078139223,Q,61,0.7213114754098361,-1.7329542578191999,-105.71020972697119,227.9645287676796,4,-6.478529899997632,10.166666666666666
g_dir_dn+g_regime_trending_dn+g_ribbon_slope_strong+g_ribbon_slope_with,26,0.7692307692307693,5.245192676008738,117.83391259003909,3,4.970242579466834,35,0.8,5.096692302357633,76.42220085247983,3,17.01699523669926,Q,62,0.7258064516129032,-1.6792704789174648,-104.11476969288282,226.36908873359127,4,-6.399429814230077,10.333333333333334
g_adx_strong+g_dir_dn+g_regime_trending_dn+g_ribbon_slope_strong,26,0.7692307692307693,5.245192676008738,117.83391259003909,3,4.970242579466834,35,0.8,5.096692302357633,76.42220085247983,3,17.01699523669926,Q,62,0.7258064516129032,-1.6792704789174648,-104.11476969288282,226.36908873359127,4,-6.399429814230077,10.333333333333334
g_cci_strong_with+g_favorite+g_regime_trending_dn+g_ribbon_slope_strong,27,0.9259259259259259,3.116363514381435,25.0,1,14.650790162045558,34,0.9117647058823529,4.754861105910652,36.41363658489601,1,47.43208281151266,Q,71,0.8450704225352113,0.8063588217155802,57.25147634180619,66.3094503895484,2,5.1374189786117945,11.833333333333334
g_bb_pos_strong_with+g_favorite+g_regime_trending_dn+g_ribbon_slope_strong,27,0.9259259259259259,3.116363514381435,25.0,1,14.650790162045558,36,0.9166666666666666,4.586018826933809,36.41363658489601,1,48.80917197097551,Q,72,0.8472222222222222,0.8154060141084263,58.70923301580669,66.3094503895484,2,5.292246417550426,12.0
g_bb_pos_with+g_regime_trending_dn+g_ribbon_slope_strong+g_trend_slope_strong_with,29,0.8620689655172413,8.854995760953797,52.731098029751195,2,12.384343060157319,32,0.78125,4.516133590982677,75.0,3,42.19849338692837,Q,40,0.725,-2.062864055122341,-82.51456220489365,151.15353470053037,3,-5.74881544767355,6.666666666666667
g_R1_five+g_regime_trending_dn+g_ribbon_slope_strong+g_tr_full_stack_with,29,0.9655172413793104,4.631936703726666,25.0,1,14.245548329476833,41,0.8536585365853658,4.490222811782464,75.0,3,31.045919957474773,Q,62,0.7903225806451613,-1.969024490172508,-122.0795183906955,177.21563415776336,3,-9.787026427764838,10.333333333333334
g_bb_pos_with+g_regime_trending_dn+g_ribbon_slope_strong+g_tr_full_stack_with,29,0.9655172413793104,4.631936703726666,25.0,1,14.245548329476833,41,0.8536585365853658,4.490222811782464,75.0,3,31.045919957474773,Q,62,0.7903225806451613,-1.969024490172508,-122.0795183906955,177.21563415776336,3,-9.787026427764838,10.333333333333334
g_cci_with+g_regime_trending_dn+g_ribbon_slope_strong+g_tr_full_stack_with,29,0.9655172413793104,4.631936703726666,25.0,1,14.245548329476833,41,0.8536585365853658,4.490222811782464,75.0,3,31.045919957474773,Q,62,0.7903225806451613,-1.969024490172508,-122.0795183906955,177.21563415776336,3,-9.787026427764838,10.333333333333334
g_bb_pos_extreme_with+g_favorite+g_regime_trending_dn+g_ribbon_slope_strong,27,0.9259259259259259,3.116363514381435,25.0,1,14.650790162045558,35,0.9142857142857143,4.120751691488663,36.41363658489601,1,45.99696796580545,Q,69,0.8405797101449275,0.5580286574314355,38.50397736276905,68.86852992839525,2,3.8477502241340864,11.5
g_R1_six+g_regime_trending_dn+g_ribbon_slope_strong+g_tr_above_ema800,26,0.9615384615384616,4.4053149372545315,25.0,1,15.083266102130139,36,0.8333333333333334,4.076454601893055,50.0,2,48.53404737426495,Q,57,0.7719298245614035,-2.8509797058264343,-162.50584323210677,190.10751046077846,3,-14.939116950407072,9.5
g_bb_pos_with+g_favorite+g_regime_trending_dn+g_ribbon_slope_strong,32,0.9375,3.666564265890362,25.0,1,18.074360865911984,38,0.8947368421052632,3.931860632432855,36.41363658489601,1,49.50471548571883,Q,75,0.84,0.6546954883709657,49.102161627822426,73.33643175043485,2,4.909479467902104,12.5
