band,off_lo,off_hi,stack,n_t,wr_t,dpt_t,sum_t,dd_t,ls_t,shp_t,n_v,wr_v,dpt_v,sum_v,dd_v,ls_v,shp_v,n_l,wr_l,dpt_l,sum_l,dd_l,ls_l,shp_l,np_d_l,score
early,30,90,g_R1_full+g_compression_tight+g_regime_trending_dn+g_tr_within_adr,33,0.8484848484848485,7.310065843511881,241.23217283589207,74.96408101570813,2,20.998368315422923,14,0.8571428571428571,9.093306289826957,127.3062880575774,25.0,1,15.7108490687958,15,0.8666666666666667,13.92126055401066,208.81890831015988,25.0,1,25.451948924416804,1.6666666666666667,24.514566843837617
early,30,90,g_R1_full+g_ev_le_70+g_regime_trending_dn+g_tr_within_adr,28,0.7857142857142857,7.290721633176858,204.14020572895203,101.5428856042505,3,11.966938887470489,14,0.8571428571428571,10.15724969567601,142.20149573946412,25.0,1,16.425238627769193,19,0.7894736842105263,10.209119862410411,193.97327738579781,50.0,2,17.12028482701123,2.111111111111111,21.86636955808642
early,30,90,g_R1_full+g_ev_in_40_70+g_regime_trending_dn+g_tr_within_adr,28,0.7857142857142857,7.290721633176858,204.14020572895203,101.5428856042505,3,11.966938887470489,14,0.8571428571428571,10.15724969567601,142.20149573946412,25.0,1,16.425238627769193,19,0.7894736842105263,10.209119862410411,193.97327738579781,50.0,2,17.12028482701123,2.111111111111111,21.86636955808642
mid_early,60,150,g_cci_extreme_with+g_mp_wt_no_extreme_100+g_rf_aged,48,0.8125,2.5332569059075087,121.59633148356042,64.50830616468127,2,5.806818373420225,11,0.9090909090909091,12.513882883876693,137.65271172264363,25.0,1,9.991282596803549,47,0.8723404255319149,2.704301251128549,127.1021588030418,52.25795115399836,1,9.191669587229276,5.222222222222222,16.71818413500524
mid,90,180,g_cci_strong_with+g_rf_strict_align+g_tr_above_pp+g_tr_full_stack_with,41,0.9024390243902439,5.649286568798398,231.62074932073432,25.0,1,10.988913804621003,11,0.9090909090909091,3.632813363284679,39.96094699613147,25.0,1,15.796209431190928,24,0.9583333333333334,11.573373431271877,277.76096235052506,25.0,1,16.4508882599161,2.6666666666666665,16.706186794556558
mid,90,180,g_cci_strong_with+g_rf_strict_align+g_tr_above_pp+g_tr_partial_stack_with,48,0.8541666666666666,4.973829881494111,238.74383431171734,73.71052599217423,2,7.949780262501281,13,0.9230769230769231,3.3183240695294947,43.13821290388343,25.0,1,15.492048397437848,26,0.9615384615384616,11.826915649474493,307.49980688633684,25.0,1,16.383942558162907,2.888888888888889,16.64523971900399
mid,90,180,g_cci_strong_with+g_rf_strict_align+g_tr_above_ema200+g_tr_above_pp,48,0.8541666666666666,4.973829881494111,238.74383431171734,73.71052599217423,2,7.949780262501281,13,0.9230769230769231,3.3183240695294947,43.13821290388343,25.0,1,15.492048397437848,26,0.9615384615384616,11.826915649474493,307.49980688633684,25.0,1,16.383942558162907,2.888888888888889,16.64523971900399
mid,90,180,g_dir_up+g_rf_strict_align+g_tight_ribbon+g_tr_partial_stack_with,45,0.8222222222222222,4.568470623831459,205.58117807241564,50.0,2,8.19302531345116,6,0.8333333333333334,6.363508468214225,38.18105080928535,25.0,1,12.990280867784467,19,0.9473684210526315,8.077695130714815,153.47620748358148,25.0,1,10.853957811193409,2.111111111111111,15.94120359892904
mid,90,180,g_bb_pos_extreme_with+g_rf_strict_align+g_tr_above_pp+g_tr_full_stack_with,33,0.9090909090909091,5.233159421606851,172.69426091302608,48.710525992174226,1,10.305574259953632,6,1.0,2.8516709819374397,17.110025891624637,0.0,0,20.630498812950393,18,0.9444444444444444,11.56863050531872,208.23534909573698,25.0,1,18.083335723968062,2.0,15.920301487256161
early,30,90,g_R1_full+g_hod_active+g_regime_trending_dn+g_tr_within_adr,28,0.8571428571428571,4.68110088391696,131.07082474967487,75.0,3,13.861507571670437,18,0.8888888888888888,7.9160117561107235,142.48821160999302,25.0,1,17.873575997042302,23,0.782608695652174,6.369155044143283,146.4905660152955,60.33235552375699,2,24.231751488477553,2.5555555555555554,15.785166800254007
mid,90,180,g_offset_le_120+g_rf_strict_align+g_tr_above_pp+g_tr_full_stack_with,25,0.88,5.7965010356633835,144.91252589158458,25.0,1,11.244891128729028,14,0.7857142857142857,0.8960884274922343,12.54523798489128,66.43580555550051,1,1.591576086038188,16,0.9375,14.277860037389072,228.44576059822515,25.0,1,26.256093175231605,1.7777777777777777,15.777860037389072
mid,90,180,g_bb_pos_extreme_with+g_rf_strict_align+g_tr_above_pp+g_tr_partial_stack_with,38,0.8421052631578947,4.238326451278689,161.0564051485902,98.71052599217423,2,6.211061835738572,8,1.0,2.5359114749220737,20.28729179937659,0.0,0,21.563481531384827,19,0.9473684210526315,11.07345075110877,210.3955642710666,25.0,1,16.102564254861804,2.111111111111111,15.109362226030843
mid,90,180,g_bb_pos_extreme_with+g_rf_strict_align+g_tr_above_ema200+g_tr_above_pp,38,0.8421052631578947,4.238326451278689,161.0564051485902,98.71052599217423,2,6.211061835738572,8,1.0,2.5359114749220737,20.28729179937659,0.0,0,21.563481531384827,19,0.9473684210526315,11.07345075110877,210.3955642710666,25.0,1,16.102564254861804,2.111111111111111,15.109362226030843
mid,90,180,g_R1_full+g_cci_strong_with+g_rf_strict_align+g_ribbon_slope_with,22,0.9090909090909091,3.9657214710709794,87.24587236356155,25.0,1,10.07029587661043,11,0.9090909090909091,3.9104365660669824,43.014802226736805,25.0,1,7.060136347103543,15,1.0,9.64005166826855,144.60077502402825,0.0,0,11.575200568840886,1.6666666666666667,15.050488234335532
mid_early,60,150,g_cci_extreme_with+g_dir_up+g_mp_wt_no_extreme_100+g_rf_aged,25,0.92,8.073650014040398,201.84125035100996,25.0,1,12.005075245292277,5,1.0,10.5725194350607,52.8625971753035,0.0,0,21.381369474868453,24,0.875,2.920113710069412,70.08272904166589,39.20392138301152,1,12.02848893431731,2.6666666666666665,14.992633145130112
mid,90,180,g_rf_strict_align+g_tr_above_pp+g_tr_partial_stack_with+g_tr_within_adr,24,0.9166666666666666,7.200076360897019,172.80183266152846,48.710525992174226,1,13.480299044273153,10,0.9,0.48666480115199784,4.866648011519978,25.0,1,1.191424267155853,21,1.0,13.460385428517085,282.6680939988588,0.0,0,17.86317075779328,2.3333333333333335,14.960385428517085
mid,90,180,g_rf_strict_align+g_tr_above_ema200+g_tr_above_pp+g_tr_within_adr,25,0.92,7.016155770524376,175.4038942631094,48.710525992174226,1,12.951098719130197,10,0.9,0.48666480115199784,4.866648011519978,25.0,1,1.191424267155853,21,1.0,13.460385428517085,282.6680939988588,0.0,0,17.86317075779328,2.3333333333333335,14.960385428517085
early,30,90,g_R1_full+g_favorite+g_mp_wt_no_extreme_100+g_regime_trending_dn,28,0.75,4.183349244956153,117.13377885877227,50.0,2,7.0211744994397085,28,0.8571428571428571,7.412663055216756,207.55456554606917,46.51119999235327,1,15.67767191891528,17,0.8235294117647058,5.957171640447543,101.27191788760823,29.262163337756352,1,12.792218587175922,1.8888888888888888,14.869834695664299
mid,90,180,g_regime_ranging+g_rf_strict_align+g_tr_above_pp+g_tr_full_stack_with,35,0.9714285714285714,6.477389309864776,226.70862584526716,25.0,1,18.217456931035745,18,0.7777777777777778,-0.4421767027884983,-7.95918065019297,86.94022419058476,1,-1.0031547073698108,16,1.0,13.204067201254528,211.26507522007245,0.0,0,16.07650749357451,1.7777777777777777,14.704067201254528
early,30,90,g_R1_full+g_mp_wt_no_extreme_100+g_regime_trending_dn+g_tr_full_stack_with,27,0.7407407407407407,3.6943144192081014,99.74648931861874,50.0,2,5.941638006646049,27,0.8518518518518519,7.08345236698752,191.25321390866304,25.0,1,16.76083171811842,17,0.8235294117647058,5.957171640447543,101.27191788760823,29.262163337756352,1,12.792218587175922,1.8888888888888888,14.540624007435063
early,30,90,g_R1_full+g_bb_pos_strong_with+g_mp_wt_no_extreme_100+g_regime_trending_dn,26,0.7692307692307693,4.743221474125915,123.32375832727378,50.0,2,9.19481423800607,24,0.8333333333333334,6.678481734765225,160.2835616343654,46.51119999235327,1,15.990001854935636,17,0.8235294117647058,5.957171640447542,101.27191788760821,25.0,1,21.776949499972584,1.8888888888888888,14.135653375212767
mid,90,180,g_cci_strong_with+g_offset_le_120+g_rf_strict_align+g_tr_above_ema200,34,0.7647058823529411,4.313298215494063,146.65213932679814,38.61896410320439,1,6.872933923614389,14,0.8571428571428571,1.399376331404466,19.591268639662523,50.0,2,4.854048221760669,24,0.9166666666666666,11.006816947540166,264.163606740964,25.0,1,20.443507117120355,2.6666666666666665,13.906193278944633
mid,90,180,g_cci_strong_with+g_offset_le_120+g_rf_strict_align+g_tr_partial_stack_with,34,0.7647058823529411,4.313298215494063,146.65213932679814,38.61896410320439,1,6.872933923614389,14,0.8571428571428571,1.399376331404466,19.591268639662523,50.0,2,4.854048221760669,24,0.9166666666666666,11.006816947540166,264.163606740964,25.0,1,20.443507117120355,2.6666666666666665,13.906193278944633
mid,90,180,g_offset_le_120+g_rf_strict_align+g_tr_above_pp+g_tr_partial_stack_with,32,0.875,7.306793076737027,233.81737845558487,25.0,1,11.324198005594951,15,0.8,0.9976515119239465,14.964772678859198,66.43580555550051,1,1.768853990614133,19,0.8947368421052632,12.272873954423,233.184605134037,25.0,1,26.721325032525147,2.111111111111111,13.772873954423
early,30,90,g_R1_full+g_mfi_strong_with+g_mp_wt_no_extreme_100+g_regime_trending_dn,27,0.7407407407407407,3.775770427297618,101.94580153703568,50.0,2,6.659151793641465,24,0.875,7.660974159377749,183.86337982506598,25.0,1,18.302132582363296,15,0.8,4.506192280890662,67.59288421335994,29.26216333775635,1,9.553570233891381,1.6666666666666667,13.66716644026841
mid,90,180,g_dir_up+g_rf_strict_align+g_tight_ribbon+g_tr_above_ema200,46,0.8260869565217391,4.578244585980643,210.5992509551096,50.0,2,8.106027095856767,7,0.8571428571428571,5.671056680131114,39.6973967609178,25.0,1,13.653919775213579,20,0.9,6.423810374179074,128.47620748358148,50.0,2,7.900801890326799,2.2222222222222223,13.594867054310189
mid,90,180,g_rf_strict_align+g_sms_no_liquidity_above+g_tr_above_pp+g_tr_full_stack_with,50,0.86,4.356347015843409,217.81735079217043,74.50000048656852,2,8.707636267871994,14,0.7857142857142857,-0.6070590825623354,-8.498827155872696,73.75252646405654,1,-0.9176814033669354,20,1.0,12.048611237582787,240.97222475165574,0.0,0,18.435160860955147,2.2222222222222223,13.548611237582787
mid,90,180,g_cci_strong_with+g_offset_le_120+g_rf_strict_align+g_tr_full_stack_with,27,0.8148148148148148,4.819742473036634,130.13304677198911,38.61896410320439,1,8.744636704399895,13,0.8461538461538461,1.3209026112072775,17.17173394569461,50.0,2,4.237793769808545,20,0.9,10.657886399344878,213.15772798689758,25.0,1,24.061442591065685,2.2222222222222223,13.478789010552156
early,30,90,g_R1_full+g_mp_wt_no_extreme_100+g_regime_trending_dn+g_tr_above_ema800,28,0.75,4.183349244956153,117.13377885877227,50.0,2,7.0211744994397085,28,0.8214285714285714,5.937614782452251,166.25321390866304,46.51119999235327,1,14.937393713651671,17,0.8235294117647058,5.957171640447543,101.27191788760823,29.262163337756352,1,12.792218587175922,1.8888888888888888,13.394786422899795
mid,90,180,g_offset_le_120+g_rf_strict_align+g_tr_above_ema200+g_tr_above_pp,33,0.8787878787878788,7.237437919341783,238.83545133827883,25.0,1,11.06269288248678,16,0.8125,1.4103784530372416,22.566055248595866,66.43580555550051,1,2.546407363289179,20,0.85,10.40923025670185,208.184605134037,25.0,1,15.869925614265671,2.2222222222222223,13.319608709739091
early,30,90,g_R1_full+g_regime_trending_dn+g_ribbon_slope_with+g_tr_within_adr,42,0.8571428571428571,5.805165187226618,243.81693786351795,71.50305167287097,2,14.346258640805477,33,0.8181818181818182,3.3082112666806025,109.17097180045988,75.0,3,11.001883912889284,23,0.8260869565217391,8.491484198519144,195.30413656594033,35.33235552375699,1,15.421422185650336,2.5555555555555554,13.299695465199747
mid,90,180,g_rf_strict_align+g_tr_above_pp+g_tr_full_stack_with+g_tr_in_active_session,56,0.8928571428571429,5.206473836658014,291.5625348528488,25.0,1,13.651826701365302,19,0.7894736842105263,-0.3923144442505218,-7.453974440759914,87.19274919493574,2,-0.9324115684464392,22,0.9545454545454546,11.675206058630353,256.8545332898678,25.0,1,19.551828621163416,2.4444444444444446,13.175206058630353
