gate,n,pct,wr,wr_lift_pp,dpt_25,dpt_lift,sum_pnl
g_sms_bos_with,1546,0.01523152709359606,0.9890038809831824,50.62551125102759,10.59954496335372,14.928147444972932,16386.89651334485
g_sms_choch_with,778,0.007665024630541872,1.0,51.725123152709365,10.20705168064631,14.535654162265523,7941.08620754283
g_rsi_extreme_with,1983,0.019536945812807884,0.7700453857791225,28.729661730621608,6.500019000178921,10.828621481798134,12889.5376773548
g_rsi_overbought_with,4781,0.04710344827586207,0.7318552604057729,24.910649193286645,5.207574341216549,9.536176822835763,24897.412925356322
g_trend_slope_very_strong_with,38566,0.3799605911330049,0.6010216252657782,11.827285679287176,0.33830310006971354,4.666905581688926,13046.997357288572
g_trend_slope_strong_with,38566,0.3799605911330049,0.6010216252657782,11.827285679287176,0.33830310006971354,4.666905581688926,13046.997357288572
g_tr_stack_with,16442,0.16199014778325124,0.7799537769127843,29.72050084398779,-0.14250509394105995,4.186097387678153,-2343.068754578908
g_tr_stack_full_with,16442,0.16199014778325124,0.7799537769127843,29.72050084398779,-0.14250509394105995,4.186097387678153,-2343.068754578908
g_depth_250_strict,12635,0.12448275862068965,0.9343094578551642,45.15606893822577,-0.17961887032014756,4.148983611299066,-2269.4844264950643
g_depth_250_med,17787,0.17524137931034484,0.8975656378253781,41.48168693524717,-0.27592645184382764,4.052676029775386,-4907.903798946162
g_cci_extreme_with,11059,0.10895566502463054,0.697350574192965,21.460180572005854,-0.3374065252512852,3.991195956367928,-3731.378762753963
g_R1_full,12561,0.12375369458128078,0.7527266937345752,26.99779252616688,-0.3933708979242006,3.9352315836950122,-4941.131848825884
g_tr_full_stack_with,30916,0.30459113300492613,0.7362854185534998,25.35366500805934,-0.5006139030701373,3.8279885785490757,-15476.979427316366
g_depth_250_loose,30203,0.29756650246305416,0.8072376916200378,32.448892314713135,-0.562710636518352,3.765891845100861,-16995.549354763785
g_tr_partial_stack_with,39245,0.3866502463054187,0.7011084214549624,21.8359652982056,-0.7494788377308812,3.579123643888332,-29413.29698674843
g_tr_above_ema200,49221,0.48493596059113303,0.6985433046870239,21.579453621411744,-0.8857518539221935,3.4428506276970197,-43597.59200190428
g_mp_wt_no_extreme_100,24640,0.24275862068965517,0.6573051948051948,17.455642633228834,-0.911796130371881,3.416806351247332,-22466.656652363148
g_R1_six,31695,0.31226600985221675,0.6892885313140874,20.653976284118098,-1.0462433380206788,3.2823591435985344,-33160.682598565414
g_bb_pos_extreme_with,20267,0.19967487684729063,0.6698080623673953,18.70592938944889,-1.1149645193184081,3.2136379623008047,-22596.985913026176
g_mp_no_extreme_50,39781,0.3919310344827586,0.6818581734999121,19.910940502700562,-1.1792272649347153,3.149375216684498,-46910.83982636791
g_ribbon_agrees,48233,0.4752019704433498,0.6717392656480003,18.899049717509392,-1.2919859058236305,3.0366165757955823,-62316.356195591165
g_cci_strong_with,27910,0.27497536945812806,0.6549623790756002,17.221361060269373,-1.3130815472350148,3.015520934384198,-36648.10598332926
g_mp_no_extreme_100,63250,0.6231527093596059,0.6381660079051383,15.54172394322319,-1.3530467968653868,2.975555684753826,-85580.20990173571
g_tr_above_cloud,49626,0.4889261083743842,0.6576189900455407,17.487022157263425,-1.3934447160606278,2.935157765558585,-69151.08747922472
g_tr_above_ema800,49158,0.4843152709359606,0.6636152813377273,18.086651286482088,-1.5227061503842105,2.8058963312350027,-74853.18894058702
g_R1_five,42866,0.42232512315270937,0.6482060374189335,16.5457268946027,-1.5448721814228368,2.7837303001963765,-66222.49092887132
g_bb_pos_strong_with,31460,0.30995073891625613,0.6472027972027972,16.445402872989074,-1.5467225871346817,2.7818798944845313,-48659.892591257085
g_mp_no_extreme_150,72880,0.7180295566502463,0.607917124039517,12.51683555666106,-1.611236792070012,2.717365689549201,-117426.93740606247
g_stoch_extreme_with,18369,0.1809753694581281,0.6535467363492842,17.079796787637775,-1.9193215132163932,2.40928096840282,-35256.016876271926
g_tr_above_ema50,50068,0.4932807881773399,0.6115882399936087,12.883947152070224,-2.0659420047458874,2.2626604768733256,-103437.58429361708
g_bb_pos_with,48667,0.4794778325123153,0.6101670536503174,12.7418285177411,-2.100219776279681,2.228382705339532,-102211.39585220323
g_cci_with,48730,0.48009852216748766,0.610465832136261,12.771706366335462,-2.119567766298935,2.209034715320278,-103286.5372517471
g_stoch_strong_with,28985,0.2855665024630542,0.6142487493531137,13.149998088020725,-2.3217970657993594,2.0068054158198536,-67297.28795219443
g_ribbon_slope_strong,3354,0.03304433497536946,0.6168753726893261,13.41266042164197,-2.465171004709052,1.863431476910161,-8268.183549794161
g_mfi_extreme_with,31003,0.30544827586206896,0.6230687352836822,14.03199668107758,-2.4712414096529933,1.8573610719662197,-76615.89742347175
g_rf_full_align,31950,0.31477832512315274,0.5702034428794992,8.745467440659278,-2.4844585517101834,1.8441439299090296,-79378.45072714036
g_mfi_strong_with,39865,0.39275862068965517,0.6042643923240938,12.151562385118735,-2.5884225912732806,1.7401798903459325,-103187.46660110934
g_rf_with,49139,0.484128078817734,0.5643175481796536,8.156877970674719,-2.754069589101937,1.5745328925172761,-135332.22553888007
