n,wr,dpt,sum_pnl,max_dd,max_ls,sharpe,n_per_day,stack,score,stack_size
8580,0.9241258741258741,-0.07863991302732529,-674.730453774451,1094.7990684569825,8,-4.030806887167431,476.6666666666667,g_depth_250_med,-5.78537185633841,R1
6540,0.9454128440366972,-0.14022371236707168,-917.0630788806488,1149.5612567361036,7,-6.909866414018542,363.3333333333333,g_depth_250_strict,-5.1817078393611355,R1
13753,0.8451247000654403,-0.4628544993703353,-6365.637929840222,6499.984216671399,14,-17.490903034155917,764.0555555555555,g_depth_250_loose,-15.011607498715932,R1
8624,0.7704081632653061,-0.6564746649921799,-5661.43751089256,5783.192891987089,13,-18.456117780093376,479.1111111111111,g_tr_stack_with,-14.952393032339119,R1
5609,0.7024425031199857,-0.9634650138385853,-5404.075262620625,6027.565571203541,7,-13.153971853221886,311.6111111111111,g_cci_extreme_with,-9.939039982638729,R1
12589,0.657161013583287,-1.0153317092987257,-12782.010888361658,12816.061879200377,5,-33.075898298829806,699.3888888888889,g_mp_wt_no_extreme_100,-9.443721573465854,R1
6553,0.7485121318480086,-1.0211117967522059,-6691.345604117205,6959.638966884187,10,-19.60368063559399,364.05555555555554,g_R1_full,-12.53599047827212,R1
16834,0.7208031365094452,-1.1031386031103436,-18570.235244759526,18695.139653500606,42,-13.006640901118312,935.2222222222222,g_tr_full_stack_with,-38.895107238015896,R1
21567,0.6862335976260027,-1.2048808094877024,-25985.664418221277,26674.42313480192,8,-55.506123538071925,1198.1666666666667,g_mp_no_extreme_50,-11.342544833227675,R1
21071,0.6926106971667221,-1.212290885505713,-25544.18124849088,26164.15822437977,42,-18.369908556975723,1170.611111111111,g_tr_partial_stack_with,-39.28618391383849,R1
26346,0.6919456463979352,-1.2844513000964048,-33840.15395233988,34218.91444946051,42,-24.38243680755816,1463.6666666666667,g_tr_above_ema200,-39.36499483611705,R1
16386,0.6912608324179177,-1.4116873258911633,-23131.908522052603,23433.01347322589,10,-41.25744773259703,910.3333333333334,g_R1_six,-13.499079001711987,R1
34756,0.6405224997122799,-1.4397295942502564,-50039.24177776191,50069.140534049424,10,-64.06809401453087,1930.888888888889,g_mp_no_extreme_100,-14.034504597127457,R1
10255,0.6744027303754266,-1.5377381122207843,-15769.504340824144,15966.494425748007,7,-23.038542122059564,569.7222222222222,g_bb_pos_extreme_with,-10.793710808466518,R1
25151,0.6743270645302374,-1.5593181805834004,-39218.411559853106,39817.42705477208,11,-39.15737141162333,1397.2777777777778,g_ribbon_agrees,-14.816047535281026,R1
14562,0.6573272902073891,-1.7342879471438397,-25254.701086308592,25314.327494164896,9,-41.455737412090684,809.0,g_cci_strong_with,-13.161015045069949,R1
40180,0.6091090094574415,-1.791150606255621,-71968.43135935086,72085.85295341758,7,-73.3114092921397,2232.222222222222,g_mp_no_extreme_150,-11.700060511681206,R1
